,Ground truth varnodes (metatype=ARRAY),Array comparisons,Array varnodes inferred as array,Array varnodes inferred as array fraction,Array length (elements) average error,Array length (elements) average error ratio,Array size (bytes) average error,Array size (bytes) average error ratio,"Array dimension match score [0,1]","Array average element type comparison score [0,1]"
[,15,16,15,1.0,0.0,0.0,0.0,0.0,1.0,1.0
b2sum,24,25,24,1.0,0.0,0.0,0.0,0.0,1.0,1.0
base32,12,13,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
base64,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
basename,10,10,10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
basenc,20,21,20,1.0,0.0,0.0,0.0,0.0,1.0,1.0
cat,11,12,11,1.0,0.0,0.0,0.0,0.0,1.0,1.0
chcon,18,18,18,1.0,0.0,0.0,0.0,0.0,1.0,1.0
chgrp,15,15,15,1.0,0.0,0.0,0.0,0.0,1.0,1.0
chmod,19,20,19,1.0,0.0,0.0,0.0,0.0,1.0,1.0
chown,16,16,16,1.0,0.0,0.0,0.0,0.0,1.0,1.0
chroot,11,11,11,1.0,0.0,0.0,0.0,0.0,1.0,1.0
cksum,66,67,66,1.0,0.0,0.0,0.0,0.0,1.0,1.0
comm,22,22,22,1.0,0.0,0.0,0.0,0.0,1.0,1.0
cp,40,44,39,0.975,0.0,0.0,0.0,0.0,1.0,1.0
csplit,35,36,35,1.0,6.666666666666667,0.0260416666666666,6.666666666666667,0.0260416666666666,1.0,1.0
cut,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
date,63,70,63,1.0,31.071428571428573,0.1003058862433862,31.071428571428573,0.1003058862433862,1.0,1.0
dd,34,37,34,1.0,0.0,0.0,0.0,0.0,1.0,1.0
df,25,26,25,1.0,24.26923076923077,1.1556776556776556,24.26923076923077,1.1556776556776556,1.0,1.0
dir,71,75,71,1.0,47.2,0.8403067788976532,47.2,0.8403067788976532,1.0,1.0
dircolors,13,13,13,1.0,0.0,0.0,0.0,0.0,1.0,1.0
dirname,10,10,10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
du,51,54,51,1.0,23.25925925925926,0.0357349537037037,23.25925925925926,0.0357349537037037,1.0,1.0
echo,9,9,9,1.0,0.0,0.0,0.0,0.0,1.0,1.0
env,18,19,18,1.0,0.0,0.0,0.0,0.0,1.0,1.0
expand,13,13,13,1.0,0.0,0.0,0.0,0.0,1.0,1.0
expr,33,33,33,1.0,7.272727272727272,0.0284090909090909,7.272727272727272,0.0284090909090909,1.0,1.0
factor,37,32,32,0.8648648648648649,0.0,0.0,0.0,0.0,1.0,1.0
false,9,9,9,1.0,0.0,0.0,0.0,0.0,1.0,1.0
fmt,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
fold,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
groups,11,12,11,1.0,0.0,0.0,0.0,0.0,1.0,1.0
head,18,19,18,1.0,0.0,0.0,0.0,0.0,1.0,1.0
hostid,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
id,14,17,14,1.0,0.0,0.0,0.0,0.0,1.0,1.0
join,18,18,18,1.0,0.0,0.0,0.0,0.0,1.0,1.0
kill,14,14,14,1.0,0.0,0.0,0.0,0.0,1.0,1.0
link,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
ln,22,23,22,1.0,0.0,0.0,0.0,0.0,1.0,1.0
logname,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
ls,71,75,71,1.0,47.2,0.8403067788976532,47.2,0.8403067788976532,1.0,1.0
md5sum,16,17,16,1.0,0.0,0.0,0.0,0.0,1.0,1.0
mkdir,19,20,18,0.9473684210526316,0.0,0.0,0.0,0.0,1.0,1.0
mkfifo,12,13,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
mknod,12,13,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
mktemp,12,13,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
mv,34,36,33,0.9705882352941176,0.0,0.0,0.0,0.0,1.0,1.0
nice,10,10,10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
nl,36,36,36,1.0,6.666666666666667,0.0260416666666666,6.666666666666667,0.0260416666666666,1.0,1.0
nohup,13,13,13,1.0,0.0,0.0,0.0,0.0,1.0,1.0
nproc,10,10,10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
numfmt,20,20,20,1.0,0.0,0.0,0.0,0.0,1.0,1.0
od,40,42,40,1.0,0.0,0.0,0.0,0.0,1.0,1.0
paste,10,10,10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
pathchk,10,10,10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
pinky,17,19,17,1.0,11.789473684210526,0.0458734384599631,11.789473684210526,0.0458734384599631,1.0,1.0
pr,20,21,20,1.0,48.38095238095238,0.0472470238095238,48.38095238095238,0.0472470238095238,1.0,1.0
printenv,10,10,10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
printf,17,18,17,1.0,0.0,0.0,0.0,0.0,1.0,1.0
ptx,39,39,39,1.0,6.153846153846154,0.0240384615384615,6.153846153846154,0.0240384615384615,1.0,1.0
pwd,10,10,10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
readlink,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
realpath,11,11,11,1.0,0.0,0.0,0.0,0.0,1.0,1.0
rm,15,15,15,1.0,0.0,0.0,0.0,0.0,1.0,1.0
rmdir,14,15,14,1.0,0.0,0.0,0.0,0.0,1.0,1.0
runcon,10,10,10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
seq,15,17,15,1.0,0.0,0.0,0.0,0.0,1.0,1.0
sha1sum,16,17,16,1.0,0.0,0.0,0.0,0.0,1.0,1.0
sha224sum,17,18,17,1.0,0.0,0.0,0.0,0.0,1.0,1.0
sha256sum,17,18,17,1.0,0.0,0.0,0.0,0.0,1.0,1.0
sha384sum,17,18,17,1.0,0.0,0.0,0.0,0.0,1.0,1.0
sha512sum,17,18,17,1.0,0.0,0.0,0.0,0.0,1.0,1.0
shred,27,27,27,1.0,23.37037037037037,0.0358441263349238,23.37037037037037,0.0358441263349238,1.0,1.0
shuf,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
sleep,12,12,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
sort,46,50,46,1.0,0.32,0.0103225806451612,0.32,0.0103225806451612,1.0,1.0
split,18,18,17,0.9444444444444444,0.0,0.0,0.0,0.0,1.0,1.0
stat,32,37,32,1.0,27.45945945945946,0.0268158783783783,27.45945945945946,0.0268158783783783,1.0,1.0
stdbuf,16,17,16,1.0,0.0,0.0,0.0,0.0,1.0,1.0
stty,19,21,19,1.0,0.0,0.0,0.0,0.0,1.0,1.0
sum,22,23,22,1.0,0.0,0.0,0.0,0.0,1.0,1.0
sync,11,11,11,1.0,0.0,0.0,0.0,0.0,1.0,1.0
tac,33,35,33,1.0,6.857142857142857,0.0267857142857142,6.857142857142857,0.0267857142857142,1.0,1.0
tail,20,19,19,0.95,0.0,0.0,0.0,0.0,1.0,1.0
tee,14,14,14,1.0,0.0,0.0,0.0,0.0,1.0,1.0
test,12,13,12,1.0,0.0,0.0,0.0,0.0,1.0,1.0
timeout,13,13,13,1.0,0.0,0.0,0.0,0.0,1.0,1.0
touch,56,60,56,1.0,19.316666666666663,0.1004870756172839,19.316666666666663,0.1004870756172839,1.0,0.9833333333333334
tr,17,17,17,1.0,0.0,0.0,0.0,0.0,1.0,1.0
true,9,9,9,1.0,0.0,0.0,0.0,0.0,1.0,1.0
truncate,10,10,10,1.0,0.0,0.0,0.0,0.0,1.0,1.0
