,Ground truth varnodes (metatype=ARRAY),Array comparisons,Array varnodes inferred as array,Array varnodes inferred as array fraction,Array length (elements) average error,Array length (elements) average error ratio,Array size (bytes) average error,Array size (bytes) average error ratio,"Array dimension match score [0,1]","Array average element type comparison score [0,1]"
[,15,6,6,0.4,3.6666666666666665,0.1323173367920449,4.833333333333333,0.1323173367920449,1.0,0.8333333333333334
b2sum,24,23,13,0.5416666666666666,30.52173913043478,26.45118423278633,37.34782608695652,0.521836406699374,1.0,0.3188405797101449
base32,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
base64,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
basename,10,3,3,0.3,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
basenc,20,4,4,0.2,2.0,0.0318093385214007,3.75,0.0318093385214007,1.0,0.9166666666666666
cat,11,3,3,0.2727272727272727,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
chcon,18,8,8,0.4444444444444444,6.0,0.0481467327527638,6.875,0.0481467327527638,1.0,0.7916666666666666
chgrp,15,5,5,0.3333333333333333,2.8,0.0825903279599777,4.2,0.0825903279599777,1.0,0.7999999999999999
chmod,19,6,6,0.3157894736842105,4.666666666666667,0.1942831487578569,5.833333333333333,0.1942831487578569,1.0,0.8333333333333334
chown,16,6,6,0.375,2.833333333333333,0.0926347971095052,4.0,0.0926347971095052,1.0,0.7777777777777778
chroot,11,4,4,0.3636363636363636,2.75,0.0675236242356864,4.5,0.0675236242356864,1.0,0.8333333333333334
cksum,66,39,27,0.4090909090909091,755.5897435897435,16.510533207200133,6749.25641025641,0.5011995233059039,1.0,0.4444444444444444
comm,22,12,12,0.5454545454545454,18.25,2.0542539064912604,4.0,0.1375872398245939,0.75,0.75
cp,40,10,9,0.225,8.2,1.485319889254714,9.3,0.1853198892547141,1.0,0.7666666666666666
csplit,35,23,21,0.6,123.2608695652174,0.5367032060006163,359.0869565217391,0.1499844560006162,0.9565217391304348,0.753623188405797
cut,12,4,4,0.3333333333333333,4.0,0.0322976197714007,5.75,0.0322976197714007,1.0,0.8333333333333334
date,63,28,26,0.4126984126984127,85.07142857142857,0.5714504001381093,81.03571428571429,0.357164685852395,1.0,0.8452380952380952
dd,34,11,9,0.2647058823529412,360.45454545454544,0.2297129749634157,361.09090909090907,0.2297129749634157,0.7272727272727273,0.787878787878788
df,25,8,8,0.32,86.125,3.8934236086118608,87.0,3.8934236086118608,1.0,0.7916666666666666
dir,71,32,31,0.4366197183098591,156.6875,5.807217391967743,156.90625,5.807217391967743,0.96875,0.78125
dircolors,13,3,3,0.2307692307692307,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
dirname,10,3,3,0.3,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
du,51,26,23,0.4509803921568627,148.96153846153845,0.5359817937240137,357.5769230769231,0.1938844379547829,0.9615384615384616,0.7948717948717948
echo,9,3,3,0.3333333333333333,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
env,18,8,8,0.4444444444444444,4.125,0.1803783534712267,5.0,0.1803783534712267,1.0,0.75
expand,13,3,3,0.2307692307692307,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
expr,33,20,18,0.5454545454545454,141.55,0.5901997583292802,412.75,0.1454731958292801,0.95,0.7666666666666666
factor,37,18,18,0.4864864864864865,15.666666666666666,13.570560805385709,3.6666666666666665,0.1677830276079303,1.0,0.2222222222222222
false,9,3,3,0.3333333333333333,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
fmt,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
fold,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
groups,11,3,3,0.2727272727272727,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
head,18,10,10,0.5555555555555556,4.9,0.1916857889799889,7.7,0.1916857889799889,1.0,0.7666666666666666
hostid,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
id,14,4,4,0.2857142857142857,2.75,0.0675236242356864,4.5,0.0675236242356864,1.0,0.8333333333333334
join,18,5,5,0.2777777777777778,2.8,0.6254474708171206,3.0,0.0254474708171206,1.0,0.8666666666666667
kill,14,5,5,0.3571428571428571,3.6,0.1307106287118574,5.0,0.1307106287118574,1.0,0.8666666666666667
link,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
ln,22,5,5,0.2272727272727272,4.8,0.0379474708171206,6.2,0.0379474708171206,1.0,0.9333333333333332
logname,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
ls,71,32,31,0.4366197183098591,156.6875,5.807217391967743,156.90625,5.807217391967743,0.96875,0.78125
md5sum,16,5,5,0.3125,3.2,0.1054474708171206,4.6,0.1054474708171206,1.0,0.7999999999999999
mkdir,19,7,7,0.3684210526315789,4.857142857142857,0.3813855560781631,7.571428571428571,0.3813855560781631,1.0,0.8571428571428572
mkfifo,12,4,4,0.3333333333333333,5.5,0.1664247231367853,7.25,0.1664247231367853,1.0,0.9166666666666666
mknod,12,4,4,0.3333333333333333,5.5,0.1664247231367853,7.25,0.1664247231367853,1.0,0.9166666666666666
mktemp,12,3,3,0.25,2.6666666666666665,0.0424124513618677,5.0,0.0424124513618677,1.0,0.8888888888888888
mv,34,10,9,0.2647058823529412,8.2,1.485319889254714,9.3,0.1853198892547141,1.0,0.7666666666666666
