,Ground truth data bytes,Bytes found,Bytes missed,Bytes recovery fraction
[,4463,4463,0,1.0
b2sum,4472,4472,0,1.0
base32,2671,2671,0,1.0
base64,2699,2699,0,1.0
basename,2193,2193,0,1.0
basenc,3793,3793,0,1.0
cat,2644,2644,0,1.0
chcon,20631,20631,0,1.0
chgrp,4803,4803,0,1.0
chmod,4776,4776,0,1.0
chown,4964,4964,0,1.0
chroot,2626,2626,0,1.0
cksum,162392,161248,1144,0.9929553179959604
comm,2785,2785,0,1.0
cp,12062,12062,0,1.0
csplit,31426,31186,240,0.9923630115191243
cut,6800,6800,0,1.0
date,18373,18321,52,0.9971697599738747
dd,11354,11354,0,1.0
df,13992,13992,0,1.0
dir,52786,51516,1270,0.9759405903080363
dircolors,8180,8180,0,1.0
dirname,2101,2101,0,1.0
du,37625,37385,240,0.9936212624584717
echo,1915,1915,0,1.0
env,4112,4112,0,1.0
expand,2319,2319,0,1.0
expr,30758,30518,240,0.9921971519604655
factor,23027,22782,245,0.9893603161506058
false,1885,1885,0,1.0
fmt,47599,47599,0,1.0
fold,2276,2276,0,1.0
groups,2165,2165,0,1.0
head,35911,35911,0,1.0
hostid,2057,2057,0,1.0
id,2721,2721,0,1.0
join,3126,3126,0,1.0
kill,2834,2834,0,1.0
link,2053,2053,0,1.0
ln,9709,9709,0,1.0
logname,2061,2061,0,1.0
ls,52786,51516,1270,0.9759405903080363
md5sum,3345,3345,0,1.0
mkdir,6846,6846,0,1.0
mkfifo,2546,2546,0,1.0
mknod,2655,2655,0,1.0
mktemp,2681,2681,0,1.0
mv,12285,12285,0,1.0
nice,2122,2122,0,1.0
nl,31193,30953,240,0.9923059660821338
nohup,2299,2299,0,1.0
nproc,2358,2358,0,1.0
numfmt,4029,4029,0,1.0
od,16365,16365,0,1.0
paste,2217,2217,0,1.0
pathchk,2344,2344,0,1.0
pinky,5002,4778,224,0.955217912834866
pr,6996,6996,0,1.0
printenv,2052,2052,0,1.0
printf,6293,6293,0,1.0
ptx,38637,38381,256,0.9933742267774414
pwd,3093,3093,0,1.0
readlink,6710,6710,0,1.0
realpath,6801,6801,0,1.0
rm,5075,5075,0,1.0
rmdir,5987,5987,0,1.0
runcon,2214,2214,0,1.0
seq,4357,4357,0,1.0
sha1sum,3349,3349,0,1.0
sha224sum,3869,3869,0,1.0
sha256sum,3877,3877,0,1.0
sha384sum,6229,6229,0,1.0
sha512sum,6261,6261,0,1.0
shred,6721,6090,631,0.9061151614343104
shuf,4465,4465,0,1.0
sleep,2255,2255,0,1.0
sort,20811,20811,0,1.0
split,4729,4729,0,1.0
stat,9167,9167,0,1.0
stdbuf,5343,5343,0,1.0
stty,8535,8535,0,1.0
sum,4413,4413,0,1.0
sync,2146,2146,0,1.0
tac,38680,38440,240,0.9937952430196484
tail,38862,38862,0,1.0
tee,10555,10555,0,1.0
test,4288,4288,0,1.0
timeout,3663,3663,0,1.0
touch,15837,15785,52,0.9967165498516133
tr,12260,12260,0,1.0
true,1885,1885,0,1.0
truncate,2585,2585,0,1.0
tsort,2391,2391,0,1.0
tty,2062,2062,0,1.0
uname,2860,2860,0,1.0
unexpand,2344,2344,0,1.0
uniq,2943,2943,0,1.0
unlink,2053,2053,0,1.0
uptime,13110,13110,0,1.0
users,2167,2167,0,1.0
vdir,52786,51516,1270,0.9759405903080363
wc,36613,36613,0,1.0
who,5007,5007,0,1.0
whoami,2069,2069,0,1.0
yes,2166,2166,0,1.0
