,Ground truth varnodes (decomposed),Varnodes matched @ level=NO_MATCH (decomposed),Varnodes matched @ level=OVERLAP (decomposed),Varnodes matched @ level=SUBSET (decomposed),Varnodes matched @ level=ALIGNED (decomposed),Varnodes matched @ level=MATCH (decomposed),"Varnode average comparison score [0,1] (decomposed)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,1190,47,152,0,484,507,0.7630252100840336,0.9605042016806723,0.4260504201680672
b2sum,1954,47,277,0,1234,396,0.7117451381780963,0.9759467758444217,0.20266120777891505
base32,1169,79,145,0,609,336,0.7091531223267751,0.932420872540633,0.2874251497005988
base64,1197,47,141,0,673,336,0.731829573934837,0.960735171261487,0.2807017543859649
basename,844,47,137,0,349,311,0.7191943127962085,0.9443127962085308,0.3684834123222749
basenc,1847,308,171,0,1003,365,0.6280454791553871,0.8332430969139144,0.19761775852734165
cat,933,47,153,0,390,343,0.7221329046087889,0.9496248660235799,0.36763129689174706
chcon,17348,49,180,0,16645,474,0.7495244408577357,0.9971754669126124,0.027323034355545308
chgrp,1264,50,171,0,539,504,0.752373417721519,0.9604430379746836,0.3987341772151899
chmod,1305,70,163,0,543,529,0.7486590038314176,0.946360153256705,0.4053639846743295
chown,1308,49,175,0,566,518,0.7540137614678899,0.9625382262996942,0.39602446483180426
chroot,933,47,138,0,380,368,0.7368703108252947,0.9496248660235799,0.39442658092175775
cksum,31779,8427,19512,0,3271,569,0.2485997042071808,0.7348248843575946,0.017904905755373044
comm,998,47,171,0,451,329,0.7114228456913828,0.9529058116232465,0.32965931863727455
cp,4028,205,399,0,1746,1678,0.7664473684210527,0.9491062562065541,0.41658391261171795
csplit,5532,455,584,0,2129,2364,0.7423626174981923,0.9177512653651483,0.42733188720173537
cut,5022,47,157,0,4485,333,0.743926722421346,0.9906411788132218,0.06630824372759857
date,8648,338,790,0,4470,3050,0.7631822386679001,0.9609158186864015,0.3526827012025902
dd,6329,625,208,0,4278,1218,0.7076157370832675,0.9012482224680044,0.19244746405435298
df,3581,49,342,0,2002,1188,0.7749232058084334,0.9863166713208601,0.3317509075677185
dir,39265,4924,745,0,19731,13865,0.7347383165669171,0.8745956959123902,0.353113459824271
dircolors,5810,4855,238,0,386,331,0.1170395869191049,0.16437177280550774,0.056970740103270225
dirname,832,47,129,0,346,310,0.7232572115384616,0.9435096153846154,0.37259615384615385
du,8033,514,789,0,3114,3616,0.7654363251587203,0.9360139424872401,0.4501431594671978
echo,810,47,113,0,343,307,0.7314814814814815,0.9419753086419753,0.3790123456790123
env,1464,362,197,0,486,419,0.568818306010929,0.7527322404371585,0.28620218579234974
expand,898,47,135,0,398,318,0.7241091314031181,0.9476614699331849,0.35412026726057905
expr,5727,601,552,0,2275,2299,0.7234590536057273,0.895058494848961,0.40143181421337526
factor,4701,281,1750,0,1989,681,0.55525420123378,0.9402254839395873,0.14486279514996808
false,801,47,113,0,338,303,0.7300249687890137,0.9413233458177278,0.3782771535580524
fmt,15915,47,10153,0,5382,333,0.4340402136349356,0.9970468111844172,0.020923656927426957
fold,893,47,137,0,387,322,0.7239641657334827,0.9473684210526315,0.36058230683090703
groups,865,47,125,0,373,320,0.7294797687861272,0.945664739884393,0.3699421965317919
head,33790,47,155,0,25008,8580,0.8101435335898195,0.9986090559337082,0.2539212784847588
hostid,827,47,125,0,348,307,0.7246070133010882,0.9431680773881499,0.37122128174123337
id,1007,47,153,0,458,349,0.7256703078450845,0.9533267130089375,0.34657398212512414
join,1004,47,166,0,424,367,0.723605577689243,0.953187250996016,0.3655378486055777
kill,1325,475,137,0,370,343,0.4941509433962264,0.6415094339622641,0.2588679245283019
link,826,47,125,0,347,307,0.7245762711864406,0.9430992736077481,0.37167070217917675
ln,1997,112,210,0,525,1150,0.7993239859789685,0.9439158738107161,0.5758637956935403
logname,827,47,125,0,348,307,0.7246070133010882,0.9431680773881499,0.37122128174123337
ls,39265,4924,745,0,19731,13865,0.7347383165669171,0.8745956959123902,0.353113459824271
md5sum,1170,63,245,0,514,348,0.6792735042735043,0.9461538461538461,0.29743589743589743
mkdir,3260,64,182,0,2456,558,0.7501533742331289,0.9803680981595092,0.17116564417177915
mkfifo,938,64,133,0,358,383,0.7300106609808102,0.9317697228144989,0.40831556503198296
mknod,955,64,133,0,361,397,0.7340314136125654,0.9329842931937172,0.4157068062827225
mktemp,971,110,148,0,366,347,0.6781668383110195,0.8867147270854789,0.3573635427394439
mv,4056,257,296,0,1795,1708,0.7712647928994083,0.9366370808678501,0.42110453648915186
nice,837,47,129,0,345,316,0.7252090800477897,0.9438470728793309,0.37753882915173237
nl,6115,478,617,0,2744,2276,0.7339738348323794,0.9218315617334424,0.3721995094031071
nohup,874,47,125,0,385,317,0.7288329519450801,0.9462242562929062,0.36270022883295194
nproc,865,47,133,0,349,336,0.7294797687861272,0.945664739884393,0.3884393063583815
numfmt,1280,47,297,0,414,522,0.7083984375,0.96328125,0.4078125
od,11965,103,313,0,10991,558,0.7421228583368157,0.9913915587129126,0.04663602173004597
paste,857,47,137,0,357,316,0.721120186697783,0.9451575262543758,0.3687281213535589
pathchk,869,47,133,0,358,331,0.7281357882623706,0.9459148446490219,0.380897583429229
pinky,3335,47,137,0,2518,633,0.7663418290854572,0.9859070464767616,0.18980509745127436
pr,2854,102,293,0,651,1808,0.8302382620882971,0.964260686755431,0.6334968465311843
printenv,826,47,129,0,340,310,0.7230629539951574,0.9430992736077481,0.37530266343825663
printf,3369,222,164,0,2447,536,0.7160136539032353,0.9341050756901158,0.1590976550905313
