,Ground truth varnodes (decomposed) (metatype=INT),Varnodes matched @ level=NO_MATCH (decomposed) (metatype=INT),Varnodes matched @ level=OVERLAP (decomposed) (metatype=INT),Varnodes matched @ level=SUBSET (decomposed) (metatype=INT),Varnodes matched @ level=ALIGNED (decomposed) (metatype=INT),Varnodes matched @ level=MATCH (decomposed) (metatype=INT),"Varnode average compare score [0,1] (decomposed) (metatype=INT)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,1010,47,123,0,424,416,0.7571782178217822,0.9534653465346534,0.41188118811881186
b2sum,1813,47,228,0,1180,358,0.7170435741864313,0.9740761169332598,0.19746276889134032
base32,1061,79,112,0,565,305,0.7132422243166824,0.9255419415645617,0.2874646559849199
base64,1089,47,108,0,629,305,0.7380624426078971,0.9568411386593205,0.2800734618916437
basename,739,47,104,0,305,283,0.7276725304465493,0.9364005412719891,0.38294993234100133
basenc,1707,308,121,0,952,326,0.6269771528998243,0.8195664909197422,0.19097832454598712
cat,817,47,112,0,342,316,0.7350061199510404,0.9424724602203183,0.386780905752754
chcon,17106,47,123,0,16523,413,0.7503799836314743,0.9972524260493394,0.02414357535367707
chgrp,1026,47,120,0,418,441,0.7646198830409356,0.9541910331384016,0.4298245614035088
chmod,1080,68,116,0,425,471,0.7581018518518519,0.937037037037037,0.4361111111111111
chown,1059,47,122,0,440,450,0.7653446647780925,0.95561850802644,0.42492917847025496
chroot,799,47,105,0,332,315,0.7387359198998749,0.9411764705882353,0.39424280350438046
cksum,31526,8412,19409,0,3193,512,0.2461143183404174,0.7331726194252363,0.016240563344541013
comm,870,47,126,0,397,300,0.7232758620689655,0.9459770114942528,0.3448275862068966
cp,3616,202,280,0,1579,1555,0.7768943584070797,0.9441371681415929,0.430033185840708
csplit,4086,444,272,0,1102,2268,0.7739843367596672,0.8913362701908958,0.5550660792951542
cut,4899,47,114,0,4436,302,0.7465809348846704,0.9904062053480303,0.061645233721167585
date,8190,333,557,0,4388,2912,0.7743894993894994,0.9593406593406594,0.35555555555555557
dd,6097,625,167,0,4202,1103,0.7046498277841562,0.8974905691323601,0.18090864359521075
df,3127,47,242,0,1860,978,0.7782219379597057,0.9849696194435561,0.3127598337064279
dir,38592,4921,431,0,19529,13711,0.7376010572139303,0.8724865257048093,0.3552808872305141
dircolors,5577,4855,115,0,316,291,0.0998296575219652,0.12946028330643716,0.0521785906401291
dirname,737,47,100,0,305,285,0.7310040705563093,0.9362279511533242,0.38670284938941657
du,6341,500,421,0,1980,3440,0.7932897019397571,0.9211480838984387,0.5425011827787415
echo,725,47,92,0,303,283,0.7355172413793103,0.9351724137931035,0.3903448275862069
env,1323,362,150,0,432,379,0.5597127739984883,0.7263794406651549,0.28647014361300077
expand,796,47,102,0,353,294,0.7339824120603015,0.9409547738693468,0.3693467336683417
expr,4293,590,250,0,1250,2203,0.746098299557419,0.8625669694852085,0.5131609597018402
factor,4491,280,1694,0,1904,613,0.5487641950567802,0.9376530839456692,0.13649521264751727
false,718,47,92,0,298,281,0.7346796657381616,0.9345403899721448,0.39136490250696376
fmt,13788,47,8112,0,5330,299,0.458695967507978,0.9965912387583405,0.02168552364374819
fold,793,47,104,0,346,296,0.7332912988650694,0.9407313997477932,0.37326607818411095
groups,764,47,98,0,330,289,0.7342931937172775,0.9384816753926701,0.3782722513089005
head,33664,47,112,0,24958,8547,0.8107622385931559,0.9986038498098859,0.25389139733840305
hostid,733,47,98,0,307,281,0.7309004092769441,0.9358799454297408,0.38335607094133695
id,872,47,112,0,411,302,0.7319380733944955,0.9461009174311926,0.3463302752293578
join,854,47,120,0,364,323,0.7330210772833724,0.9449648711943794,0.37822014051522246
kill,1222,475,104,0,329,314,0.4801554828150572,0.6112929623567921,0.2569558101472995
link,732,47,98,0,306,281,0.7308743169398907,0.9357923497267759,0.383879781420765
ln,1705,110,139,0,402,1054,0.8153958944281525,0.9354838709677419,0.6181818181818182
logname,732,47,98,0,306,281,0.7308743169398907,0.9357923497267759,0.383879781420765
ls,38592,4921,431,0,19529,13711,0.7376010572139303,0.8724865257048093,0.3552808872305141
md5sum,1037,63,198,0,459,317,0.6853905496624879,0.9392478302796529,0.3056894889103182
mkdir,3057,64,138,0,2390,465,0.7497546614327772,0.9790644422636572,0.1521099116781158
mkfifo,837,64,102,0,311,360,0.739247311827957,0.9235364396654719,0.43010752688172044
mknod,849,64,102,0,312,371,0.7426383981154299,0.9246171967020024,0.4369846878680801
mktemp,853,110,108,0,318,317,0.6828839390386869,0.8710433763188745,0.3716295427901524
mv,3668,252,227,0,1585,1604,0.7768538713195202,0.9312977099236641,0.4372955288985823
nice,741,47,100,0,305,289,0.7324561403508771,0.9365721997300944,0.3900134952766532
nl,4682,467,289,0,1747,2179,0.7606791969243912,0.9002563007261853,0.46539940196497226
nohup,767,47,98,0,335,287,0.733702737940026,0.9387222946544981,0.3741851368970013
nproc,768,47,102,0,309,310,0.7386067708333334,0.9388020833333334,0.4036458333333333
numfmt,1088,47,210,0,357,474,0.7300091911764706,0.9568014705882353,0.43566176470588236
od,11712,103,251,0,10921,437,0.7420167349726776,0.9912056010928961,0.03731215846994536
paste,753,47,104,0,313,289,0.7300796812749004,0.9375830013280213,0.3837981407702523
pathchk,771,47,102,0,315,307,0.7376783398184177,0.9390402075226978,0.3981841763942931
pinky,3214,47,107,0,2460,600,0.7690572495332918,0.9853764779091475,0.18668326073428748
pr,2634,101,218,0,563,1752,0.8461465451784358,0.9616552771450265,0.6651480637813212
printenv,732,47,100,0,300,285,0.7308743169398907,0.9357923497267759,0.38934426229508196
printf,3173,222,126,0,2386,439,0.7122596911440278,0.9300346675070911,0.13835486920895051
ptx,5754,652,454,0,2340,2308,0.725842891901286,0.8866875217240181,0.4011122697254084
pwd,863,47,111,0,308,397,0.7598493626882966,0.9455388180764774,0.4600231749710313
readlink,949,47,117,0,333,452,0.7702845100105374,0.9504741833508957,0.47629083245521603
realpath,845,47,121,0,329,348,0.7396449704142012,0.9443786982248521,0.41183431952662725
rm,1032,64,127,0,392,449,0.7507267441860465,0.937984496124031,0.43507751937984496
rmdir,2886,47,135,0,2356,348,0.7445426195426196,0.9837144837144837,0.12058212058212059
runcon,737,47,108,0,300,282,0.7245590230664858,0.9362279511533242,0.38263229308005425
seq,921,47,138,0,398,338,0.7285559174809989,0.9489685124864278,0.36699239956568946
sha1sum,1046,63,200,0,448,335,0.6892925430210325,0.9397705544933078,0.3202676864244742
sha224sum,1182,63,313,0,466,340,0.6495346869712352,0.9467005076142132,0.2876480541455161
sha256sum,1190,63,313,0,474,340,0.6502100840336135,0.9470588235294117,0.2857142857142857
sha384sum,1466,143,249,0,734,340,0.6498976807639836,0.902455661664393,0.23192360163710776
sha512sum,1498,143,249,0,766,340,0.6520360480640854,0.904539385847797,0.22696929238985314
shred,3159,112,178,0,1792,1077,0.7804685026907249,0.9645457423235201,0.3409306742640076
shuf,942,47,114,0,393,388,0.7550424628450106,0.9501061571125266,0.4118895966029724
sleep,748,47,100,0,313,288,0.7322860962566845,0.9371657754010695,0.3850267379679144
sort,11317,243,450,0,2063,8561,0.9031324555977732,0.978527878413007,0.7564725634001944
split,1369,379,181,0,426,383,0.5462016070124178,0.7231555880204529,0.27976625273922573
stat,2845,224,257,0,682,1682,0.793585237258348,0.9212653778558875,0.5912126537785589
stdbuf,1931,47,139,0,1387,358,0.7421025375453133,0.9756602796478508,0.18539616778871051
stty,1527,53,512,0,600,362,0.6155861165684349,0.9652914210870989,0.23706614276358873
sum,2233,63,104,0,1723,343,0.7439543215405284,0.9717868338557993,0.1536050156739812
sync,751,47,102,0,314,288,0.7310252996005326,0.9374167776298269,0.38348868175765644
tac,12325,444,247,0,9451,2183,0.7572413793103449,0.9639756592292089,0.17711967545638946
tail,33975,68,141,0,33205,561,0.7505518763796909,0.9979985283296542,0.0165121412803532
tee,8961,47,108,0,8514,292,0.7481865863184912,0.9947550496596362,0.03258564892311126
test,959,0,123,0,422,414,0.7937956204379562,1.0,0.4316996871741397
timeout,1210,362,110,0,334,404,0.5636363636363636,0.7008264462809918,0.3338842975206612
touch,6684,308,519,0,4017,1840,0.7454368641532017,0.9539198084979055,0.27528426092160385
tr,10057,50,369,0,9295,343,0.7364522223327036,0.9950283384707169,0.03410559809088197
true,718,47,92,0,298,281,0.7346796657381616,0.9345403899721448,0.39136490250696376
truncate,801,47,106,0,313,335,0.7443820224719101,0.9413233458177278,0.418227215980025
tsort,757,47,104,0,317,289,0.7301849405548216,0.9379128137384413,0.3817701453104359
tty,731,47,102,0,301,281,0.7281121751025992,0.9357045143638851,0.3844049247606019
uname,1155,55,126,0,301,673,0.8054112554112555,0.9523809523809523,0.5826839826839827
unexpand,769,47,104,0,319,299,0.7337451235370611,0.9388816644993498,0.38881664499349805
uniq,818,47,128,0,337,306,0.7221882640586798,0.9425427872860636,0.3740831295843521
unlink,732,47,98,0,306,281,0.7308743169398907,0.9357923497267759,0.383879781420765
uptime,10247,48,157,0,450,9592,0.9728457109397872,0.9953157021567288,0.9360788523470284
users,739,47,98,0,309,285,0.7324086603518268,0.9364005412719891,0.38565629228687415
vdir,38592,4921,431,0,19529,13711,0.7376010572139303,0.8724865257048093,0.3552808872305141
wc,33696,62,124,0,33091,419,0.7498887108262108,0.9981600189933523,0.012434710351377018
who,1345,47,175,0,440,683,0.7856877323420074,0.9650557620817843,0.5078066914498142
whoami,734,47,98,0,308,281,0.7309264305177112,0.9359673024523161,0.38283378746594005
yes,742,47,98,0,312,285,0.7324797843665768,0.9366576819407008,0.38409703504043125
