,Ground truth varnodes (decomposed) (metatype=POINTER),Varnodes matched @ level=NO_MATCH (decomposed) (metatype=POINTER),Varnodes matched @ level=OVERLAP (decomposed) (metatype=POINTER),Varnodes matched @ level=SUBSET (decomposed) (metatype=POINTER),Varnodes matched @ level=ALIGNED (decomposed) (metatype=POINTER),Varnodes matched @ level=MATCH (decomposed) (metatype=POINTER),"Varnode average compare score [0,1] (decomposed) (metatype=POINTER)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,170,12,4,0,61,93,0.8220588235294117,0.9294117647058824,0.5470588235294118
b2sum,140,40,4,0,56,40,0.5928571428571429,0.7142857142857143,0.2857142857142857
base32,107,24,4,0,46,33,0.6401869158878505,0.7757009345794392,0.308411214953271
base64,107,24,4,0,46,33,0.6401869158878505,0.7757009345794392,0.308411214953271
basename,104,24,4,0,46,30,0.6298076923076923,0.7692307692307693,0.28846153846153844
basenc,138,40,4,0,53,41,0.592391304347826,0.7101449275362319,0.2971014492753623
cat,115,32,4,0,47,32,0.5934782608695652,0.7217391304347827,0.2782608695652174
chcon,234,42,8,0,121,63,0.6655982905982906,0.8205128205128205,0.2692307692307692
chgrp,230,41,4,0,120,65,0.6782608695652174,0.8217391304347826,0.2826086956521739
chmod,217,36,4,0,117,60,0.6854838709677419,0.8341013824884793,0.2764976958525346
chown,241,42,4,0,125,70,0.6836099585062241,0.8257261410788381,0.29045643153526973
chroot,133,24,4,0,50,55,0.7030075187969925,0.8195488721804511,0.41353383458646614
cksum,234,82,4,0,80,68,0.5512820512820513,0.6495726495726496,0.2905982905982906
comm,127,28,12,0,56,31,0.5984251968503937,0.7795275590551181,0.2440944881889764
cp,403,104,4,0,167,128,0.6308933002481389,0.7419354838709677,0.3176178660049628
csplit,1416,44,266,0,1023,83,0.6474223163841808,0.9689265536723164,0.05861581920903955
cut,122,34,4,0,51,33,0.5922131147540983,0.7213114754098361,0.27049180327868855
date,426,182,5,0,86,153,0.5134976525821596,0.5727699530516432,0.3591549295774648
dd,216,20,4,0,75,117,0.8067129629629629,0.9074074074074074,0.5416666666666666
df,419,71,6,0,140,202,0.7362768496420048,0.8305489260143198,0.4821002386634845
dir,642,267,7,0,204,164,0.4964953271028037,0.5841121495327103,0.2554517133956386
dircolors,229,105,4,0,76,44,0.445414847161572,0.5414847161572053,0.19213973799126638
dirname,94,20,4,0,43,27,0.6409574468085106,0.7872340425531915,0.2872340425531915
du,1650,90,267,0,1126,167,0.6534848484848484,0.9454545454545454,0.10121212121212121
echo,84,12,4,0,42,26,0.6964285714285714,0.8571428571428571,0.30952380952380953
env,138,38,4,0,56,40,0.6014492753623188,0.7246376811594203,0.2898550724637681
expand,101,23,4,0,47,27,0.6262376237623762,0.7722772277227723,0.26732673267326734
expr,1399,28,266,0,1021,84,0.6549320943531094,0.9799857040743388,0.06004288777698356
factor,196,21,18,0,88,69,0.7117346938775511,0.8928571428571429,0.3520408163265306
false,82,12,4,0,42,24,0.6890243902439024,0.8536585365853658,0.2926829268292683
fmt,2126,2031,4,0,55,36,0.0368062088428974,0.044684854186265284,0.016933207902163686
fold,99,24,4,0,43,28,0.6186868686868687,0.7575757575757576,0.2828282828282828
groups,100,18,4,0,45,33,0.6775,0.82,0.33
head,125,33,4,0,52,36,0.608,0.736,0.288
hostid,93,18,4,0,43,28,0.6586021505376344,0.8064516129032258,0.3010752688172043
id,134,32,4,0,49,49,0.6473880597014925,0.7611940298507462,0.3656716417910448
join,149,34,4,0,65,46,0.6426174496644296,0.7718120805369127,0.3087248322147651
kill,102,24,4,0,43,31,0.6299019607843137,0.7647058823529411,0.30392156862745096
link,93,18,4,0,43,28,0.6586021505376344,0.8064516129032258,0.3010752688172043
ln,276,54,5,0,122,95,0.6802536231884058,0.8043478260869565,0.3442028985507246
logname,94,18,4,0,44,28,0.6595744680851063,0.8085106382978723,0.2978723404255319
ls,642,267,7,0,204,164,0.4964953271028037,0.5841121495327103,0.2554517133956386
md5sum,132,38,4,0,57,33,0.5814393939393939,0.7121212121212122,0.25
mkdir,192,26,4,0,67,95,0.76171875,0.8645833333333334,0.4947916666666667
mkfifo,100,22,4,0,49,25,0.6275,0.78,0.25
mknod,105,22,4,0,51,28,0.6404761904761904,0.7904761904761904,0.26666666666666666
mktemp,117,30,4,0,50,33,0.6111111111111112,0.7435897435897436,0.28205128205128205
mv,379,58,5,0,212,104,0.6972295514511874,0.8469656992084432,0.27440633245382584
nice,95,20,4,0,42,29,0.6473684210526316,0.7894736842105263,0.30526315789473685
nl,1404,59,266,0,994,85,0.6388888888888888,0.957977207977208,0.06054131054131054
nohup,106,18,4,0,52,32,0.6792452830188679,0.8301886792452831,0.3018867924528302
nproc,96,22,4,0,42,28,0.6302083333333334,0.7708333333333334,0.2916666666666667
numfmt,184,68,4,0,58,54,0.5353260869565217,0.6304347826086957,0.29347826086956524
od,226,39,4,0,64,119,0.7433628318584071,0.827433628318584,0.5265486725663717
paste,103,24,4,0,46,29,0.6262135922330098,0.7669902912621359,0.2815533980582524
pathchk,95,20,4,0,45,26,0.6394736842105263,0.7894736842105263,0.2736842105263158
pinky,120,21,4,0,60,35,0.675,0.825,0.2916666666666667
pr,218,68,5,0,89,56,0.5688073394495413,0.6880733944954128,0.25688073394495414
printenv,93,20,4,0,42,27,0.6397849462365591,0.7849462365591398,0.2903225806451613
printf,178,13,5,0,62,98,0.8188202247191011,0.9269662921348315,0.550561797752809
ptx,1540,71,266,0,1060,143,0.6522727272727272,0.9538961038961039,0.09285714285714286
pwd,105,22,4,0,52,27,0.638095238095238,0.7904761904761904,0.2571428571428571
readlink,187,34,5,0,80,68,0.6911764705882353,0.8181818181818182,0.36363636363636365
realpath,196,38,5,0,85,68,0.6785714285714286,0.8061224489795918,0.3469387755102041
rm,236,44,4,0,125,63,0.6684322033898306,0.8135593220338984,0.2669491525423729
rmdir,180,26,4,0,57,93,0.7597222222222222,0.8555555555555555,0.5166666666666667
runcon,106,28,4,0,49,25,0.5919811320754716,0.7358490566037735,0.2358490566037736
seq,193,24,4,0,61,104,0.7810880829015544,0.8756476683937824,0.538860103626943
sha1sum,131,38,4,0,56,33,0.5801526717557252,0.7099236641221374,0.25190839694656486
sha224sum,132,38,4,0,57,33,0.5814393939393939,0.7121212121212122,0.25
sha256sum,132,38,4,0,57,33,0.5814393939393939,0.7121212121212122,0.25
sha384sum,132,38,4,0,57,33,0.5814393939393939,0.7121212121212122,0.25
sha512sum,132,38,4,0,57,33,0.5814393939393939,0.7121212121212122,0.25
shred,174,39,4,0,82,49,0.6408045977011494,0.7758620689655172,0.28160919540229884
shuf,218,32,5,0,103,78,0.7178899082568807,0.8532110091743119,0.3577981651376147
sleep,99,18,4,0,45,32,0.6742424242424242,0.8181818181818182,0.32323232323232326
sort,492,114,9,0,223,146,0.641260162601626,0.7682926829268293,0.2967479674796748
split,162,46,5,0,66,45,0.5910493827160493,0.7160493827160493,0.2777777777777778
stat,286,34,6,0,103,143,0.7753496503496503,0.8811188811188811,0.5
stdbuf,201,27,4,0,65,105,0.7699004975124378,0.8656716417910447,0.5223880597014925
stty,331,165,4,0,63,99,0.4448640483383685,0.5015105740181269,0.2990936555891239
sum,131,24,4,0,57,46,0.6851145038167938,0.816793893129771,0.3511450381679389
sync,95,22,4,0,45,24,0.618421052631579,0.7684210526315789,0.25263157894736843
tac,1390,38,266,0,1007,79,0.6480215827338129,0.9726618705035971,0.05683453237410072
tail,225,46,6,0,91,82,0.6744444444444444,0.7955555555555556,0.36444444444444446
tee,108,28,4,0,49,27,0.5995370370370371,0.7407407407407407,0.25
test,157,12,4,0,51,90,0.8232484076433121,0.9235668789808917,0.5732484076433121
timeout,113,28,4,0,45,36,0.6261061946902655,0.7522123893805309,0.3185840707964602
touch,391,165,4,0,79,143,0.5198209718670077,0.578005115089514,0.3657289002557545
tr,146,37,12,0,61,36,0.5804794520547946,0.7465753424657534,0.2465753424657534
true,82,12,4,0,42,24,0.6890243902439024,0.8536585365853658,0.2926829268292683
truncate,100,26,4,0,44,26,0.6,0.74,0.26
tsort,118,18,5,0,58,37,0.6927966101694916,0.847457627118644,0.3135593220338983
tty,93,22,4,0,42,25,0.6182795698924731,0.7634408602150538,0.26881720430107525
uname,118,45,4,0,44,25,0.5,0.6186440677966102,0.211864406779661
unexpand,104,25,4,0,47,28,0.6177884615384616,0.7596153846153846,0.2692307692307692
uniq,143,45,4,0,54,40,0.5699300699300699,0.6853146853146853,0.27972027972027974
unlink,93,18,4,0,43,28,0.6586021505376344,0.8064516129032258,0.3010752688172043
