,Ground truth varnodes (metatype=INT),Decompiler varnodes matched @ level=NO_MATCH (metatype=INT),Decompiler varnodes matched @ level=OVERLAP (metatype=INT),Decompiler varnodes matched @ level=SUBSET (metatype=INT),Decompiler varnodes matched @ level=ALIGNED (metatype=INT),Decompiler varnodes matched @ level=MATCH (metatype=INT),"Varnode average compare score [0,1] (metatype=INT)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,157,0,0,0,83,74,0.8678343949044586,1.0,0.4713375796178344
b2sum,147,0,0,0,80,67,0.8639455782312925,1.0,0.4557823129251701
base32,96,0,0,0,51,45,0.8671875,1.0,0.46875
base64,96,0,0,0,51,45,0.8671875,1.0,0.46875
basename,71,0,0,0,47,24,0.8345070422535211,1.0,0.3380281690140845
basenc,133,0,1,0,70,62,0.8627819548872181,1.0,0.46616541353383456
cat,101,0,0,0,64,37,0.8415841584158416,1.0,0.36633663366336633
chcon,185,0,0,0,124,61,0.8324324324324325,1.0,0.32972972972972975
chgrp,166,0,0,0,102,64,0.8463855421686747,1.0,0.3855421686746988
chmod,176,0,0,0,110,66,0.84375,1.0,0.375
chown,176,0,0,0,103,73,0.8536931818181818,1.0,0.4147727272727273
chroot,110,0,1,0,53,56,0.8727272727272727,1.0,0.509090909090909
cksum,516,30,0,0,329,157,0.7824612403100775,0.9418604651162791,0.30426356589147285
comm,104,0,0,0,74,30,0.8221153846153846,1.0,0.28846153846153844
cp,382,0,1,0,208,173,0.8619109947643979,1.0,0.45287958115183247
csplit,632,0,1,0,331,300,0.867879746835443,1.0,0.47468354430379744
cut,124,0,0,0,81,43,0.8366935483870968,1.0,0.3467741935483871
date,516,0,10,0,321,185,0.8299418604651163,1.0,0.35852713178294576
dd,332,0,0,0,187,145,0.8591867469879518,1.0,0.4367469879518072
df,327,0,0,0,158,169,0.8792048929663608,1.0,0.5168195718654435
dir,616,0,3,0,368,245,0.8469967532467533,1.0,0.3977272727272727
dircolors,90,0,0,0,58,32,0.8388888888888889,1.0,0.35555555555555557
dirname,73,0,0,0,47,26,0.839041095890411,1.0,0.3561643835616438
du,944,0,3,0,528,413,0.8577860169491526,1.0,0.4375
echo,69,0,0,0,45,24,0.8369565217391305,1.0,0.34782608695652173
env,112,0,0,0,61,51,0.8638392857142857,1.0,0.45535714285714285
expand,94,0,0,0,59,35,0.8430851063829787,1.0,0.3723404255319149
expr,573,0,1,0,292,280,0.8712914485165794,1.0,0.4886561954624782
factor,343,21,2,0,128,192,0.8411078717201166,0.9387755102040817,0.5597667638483965
false,62,0,0,0,40,22,0.8387096774193549,1.0,0.3548387096774194
fmt,112,0,0,0,72,40,0.8392857142857143,1.0,0.35714285714285715
fold,88,0,0,0,51,37,0.8551136363636364,1.0,0.42045454545454547
groups,81,0,0,0,51,30,0.8425925925925926,1.0,0.37037037037037035
head,138,0,0,0,82,56,0.8514492753623188,1.0,0.4057971014492754
hostid,67,0,0,0,45,22,0.832089552238806,1.0,0.3283582089552239
id,112,0,0,0,69,43,0.8459821428571429,1.0,0.38392857142857145
join,162,0,0,0,104,58,0.8395061728395061,1.0,0.35802469135802467
kill,88,0,0,0,52,36,0.8522727272727273,1.0,0.4090909090909091
link,66,0,0,0,44,22,0.8333333333333334,1.0,0.3333333333333333
ln,220,0,0,0,125,95,0.8579545454545454,1.0,0.4318181818181818
logname,66,0,0,0,44,22,0.8333333333333334,1.0,0.3333333333333333
ls,616,0,3,0,368,245,0.8469967532467533,1.0,0.3977272727272727
md5sum,139,0,0,0,81,58,0.85431654676259,1.0,0.4172661870503597
mkdir,196,0,0,0,102,94,0.8698979591836735,1.0,0.47959183673469385
mkfifo,88,0,0,0,53,35,0.8494318181818182,1.0,0.3977272727272727
mknod,100,0,0,0,54,46,0.865,1.0,0.46
