,Ground truth data bytes,Overlapped data bytes,Missed data bytes
[,4463,4320,143
b2sum,4472,4304,168
base32,2671,2548,123
base64,2699,2608,91
basename,2193,2102,91
basenc,3793,3423,370
cat,2644,2553,91
chcon,20631,20496,135
chgrp,4803,4651,152
chmod,4776,4602,174
chown,4964,4820,144
chroot,2626,2535,91
cksum,162392,29876,132516
comm,2785,2690,95
cp,12062,11214,848
csplit,31426,30330,1096
cut,6800,6709,91
date,18373,17641,732
dd,11354,10131,1223
df,13992,11788,2204
dir,52786,44647,8139
dircolors,8180,3281,4899
dirname,2101,2010,91
du,37625,36314,1311
echo,1915,1824,91
env,4112,3590,522
expand,2319,2227,92
expr,30758,29415,1343
factor,23027,22319,708
false,1885,1794,91
fmt,47599,47508,91
fold,2276,2184,92
groups,2165,2074,91
head,35911,35820,91
hostid,2057,1958,99
id,2721,2630,91
join,3126,3023,103
kill,2834,2210,624
link,2053,1954,99
ln,9709,7471,2238
logname,2061,1962,99
ls,52786,44647,8139
md5sum,3345,3230,115
mkdir,6846,6714,132
mkfifo,2546,2438,108
mknod,2655,2547,108
mktemp,2681,2527,154
mv,12285,11168,1117
nice,2122,2031,91
nl,31193,30078,1115
nohup,2299,2196,103
nproc,2358,2267,91
numfmt,4029,3924,105
od,16365,16171,194
paste,2217,2126,91
pathchk,2344,2253,91
pinky,5002,4911,91
pr,6996,6799,197
printenv,2052,1961,91
printf,6293,5994,299
ptx,38637,37108,1529
pwd,3093,3002,91
readlink,6710,4547,2163
realpath,6801,4638,2163
rm,5075,4806,269
rmdir,5987,5884,103
runcon,2214,2123,91
seq,4357,4208,149
sha1sum,3349,3234,115
sha224sum,3869,3754,115
sha256sum,3877,3762,115
sha384sum,6229,5470,759
sha512sum,6261,5502,759
shred,6721,6533,188
shuf,4465,4362,103
sleep,2255,2148,107
sort,20811,19990,821
split,4729,4074,655
stat,9167,8617,550
stdbuf,5343,5240,103
stty,8535,8403,132
sum,4413,4290,123
sync,2146,2051,95
tac,38680,37584,1096
tail,38862,38568,294
tee,10555,10460,95
test,4288,4196,92
timeout,3663,3144,519
touch,15837,15142,695
tr,12260,12165,95
true,1885,1794,91
truncate,2585,2494,91
tsort,2391,2284,107
tty,2062,1971,91
uname,2860,2761,99
unexpand,2344,2253,91
uniq,2943,2844,99
unlink,2053,1954,99
uptime,13110,12971,139
users,2167,2068,99
vdir,52786,44647,8139
wc,53798,3528,50270
who,5007,4904,103
whoami,2069,1970,99
yes,2166,2067,99
