,Ground truth decomposed (primitive) varnodes,Decomposed (primitive) varnodes matched @ level=OVERLAP,Decomposed (primitive) varnodes matched @ level=SUBSET,Decomposed (primitive) varnodes matched @ level=ALIGNED,Decomposed (primitive) varnodes matched @ level=MATCH,Missed decomposed (primitive) varnodes,"Decomposed (primitive) varnode average comparison score [0,1]"
[,1190,152,0,484,507,47,0.7630252100840336
b2sum,1954,277,0,1234,396,47,0.7117451381780963
base32,1169,145,0,609,336,79,0.7091531223267751
base64,1197,141,0,673,336,47,0.731829573934837
basename,844,137,0,349,311,47,0.7191943127962085
basenc,1847,171,0,1003,365,308,0.6280454791553871
cat,933,153,0,390,343,47,0.7221329046087889
chcon,17348,180,0,16645,474,49,0.7495244408577357
chgrp,1264,171,0,539,504,50,0.752373417721519
chmod,1305,163,0,543,529,70,0.7486590038314176
chown,1308,175,0,566,518,49,0.7540137614678899
chroot,933,138,0,380,368,47,0.7368703108252947
cksum,31779,19512,0,3271,569,8427,0.24859970420718083
comm,998,171,0,451,329,47,0.7114228456913828
cp,4028,399,0,1746,1678,205,0.7664473684210527
csplit,5532,584,0,2129,2364,455,0.7423626174981923
cut,5022,157,0,4485,333,47,0.743926722421346
date,8648,790,0,4470,3050,338,0.7631822386679001
dd,6329,208,0,4278,1218,625,0.7076157370832675
df,3581,342,0,2002,1188,49,0.7749232058084334
dir,39265,745,0,19731,13865,4924,0.7347383165669171
dircolors,5810,238,0,386,331,4855,0.11703958691910499
dirname,832,129,0,346,310,47,0.7232572115384616
du,8033,789,0,3114,3616,514,0.7654363251587203
echo,810,113,0,343,307,47,0.7314814814814815
env,1464,197,0,486,419,362,0.568818306010929
expand,898,135,0,398,318,47,0.7241091314031181
expr,5727,552,0,2275,2299,601,0.7234590536057273
factor,4701,1750,0,1989,681,281,0.55525420123378
false,801,113,0,338,303,47,0.7300249687890137
fmt,15915,10153,0,5382,333,47,0.4340402136349356
fold,893,137,0,387,322,47,0.7239641657334827
groups,865,125,0,373,320,47,0.7294797687861272
head,33790,155,0,25008,8580,47,0.8101435335898195
hostid,827,125,0,348,307,47,0.7246070133010882
id,1007,153,0,458,349,47,0.7256703078450845
join,1004,166,0,424,367,47,0.723605577689243
kill,1325,137,0,370,343,475,0.4941509433962264
link,826,125,0,347,307,47,0.7245762711864406
ln,1997,210,0,525,1150,112,0.7993239859789685
logname,827,125,0,348,307,47,0.7246070133010882
ls,39265,745,0,19731,13865,4924,0.7347383165669171
md5sum,1170,245,0,514,348,63,0.6792735042735043
mkdir,3260,182,0,2456,558,64,0.7501533742331289
mkfifo,938,133,0,358,383,64,0.7300106609808102
mknod,955,133,0,361,397,64,0.7340314136125654
mktemp,971,148,0,366,347,110,0.6781668383110195
