,Ground truth decomposed (primitive) varnodes w/ metatype=INT,Missed decomposed (primitive) varnodes w/ metatype=INT,Decompiler decomposed (primitive) varnodes w/ metatype=INT matched @ level=OVERLAP,Decompiler decomposed (primitive) varnodes w/ metatype=INT matched @ level=SUBSET,Decompiler decomposed (primitive) varnodes w/ metatype=INT matched @ level=ALIGNED,Decompiler decomposed (primitive) varnodes w/ metatype=INT matched @ level=MATCH,"Decomposed (primitive) varnode average compare score [0,1] w/ metatype=INT"
[,1010,47,123,0,424,416,0.7571782178217822
b2sum,1813,47,228,0,1180,358,0.7170435741864313
base32,1061,79,112,0,565,305,0.7132422243166824
base64,1089,47,108,0,629,305,0.7380624426078971
basename,739,47,104,0,305,283,0.7276725304465493
basenc,1707,308,121,0,952,326,0.6269771528998243
cat,817,47,112,0,342,316,0.7350061199510404
chcon,17106,47,123,0,16523,413,0.7503799836314743
chgrp,1026,47,120,0,418,441,0.7646198830409356
chmod,1080,68,116,0,425,471,0.7581018518518519
chown,1059,47,122,0,440,450,0.7653446647780925
chroot,799,47,105,0,332,315,0.7387359198998749
cksum,31526,8412,19409,0,3193,512,0.24611431834041744
comm,870,47,126,0,397,300,0.7232758620689655
cp,3616,202,280,0,1579,1555,0.7768943584070797
csplit,4086,444,272,0,1102,2268,0.7739843367596672
cut,4899,47,114,0,4436,302,0.7465809348846704
date,8190,333,557,0,4388,2912,0.7743894993894994
dd,6097,625,167,0,4202,1103,0.7046498277841562
df,3127,47,242,0,1860,978,0.7782219379597057
dir,38592,4921,431,0,19529,13711,0.7376010572139303
dircolors,5577,4855,115,0,316,291,0.09982965752196521
dirname,737,47,100,0,305,285,0.7310040705563093
du,6341,500,421,0,1980,3440,0.7932897019397571
echo,725,47,92,0,303,283,0.7355172413793103
env,1323,362,150,0,432,379,0.5597127739984883
expand,796,47,102,0,353,294,0.7339824120603015
expr,4293,590,250,0,1250,2203,0.746098299557419
factor,4491,280,1694,0,1904,613,0.5487641950567802
false,718,47,92,0,298,281,0.7346796657381616
fmt,13788,47,8112,0,5330,299,0.458695967507978
fold,793,47,104,0,346,296,0.7332912988650694
groups,764,47,98,0,330,289,0.7342931937172775
head,33664,47,112,0,24958,8547,0.8107622385931559
hostid,733,47,98,0,307,281,0.7309004092769441
id,872,47,112,0,411,302,0.7319380733944955
join,854,47,120,0,364,323,0.7330210772833724
kill,1222,475,104,0,329,314,0.48015548281505727
link,732,47,98,0,306,281,0.7308743169398907
ln,1705,110,139,0,402,1054,0.8153958944281525
logname,732,47,98,0,306,281,0.7308743169398907
ls,38592,4921,431,0,19529,13711,0.7376010572139303
md5sum,1037,63,198,0,459,317,0.6853905496624879
mkdir,3057,64,138,0,2390,465,0.7497546614327772
mkfifo,837,64,102,0,311,360,0.739247311827957
mknod,849,64,102,0,312,371,0.7426383981154299
mktemp,853,110,108,0,318,317,0.6828839390386869
mv,3668,252,227,0,1585,1604,0.7768538713195202
nice,741,47,100,0,305,289,0.7324561403508771
nl,4682,467,289,0,1747,2179,0.7606791969243912
nohup,767,47,98,0,335,287,0.733702737940026
nproc,768,47,102,0,309,310,0.7386067708333334
numfmt,1088,47,210,0,357,474,0.7300091911764706
od,11712,103,251,0,10921,437,0.7420167349726776
paste,753,47,104,0,313,289,0.7300796812749004
pathchk,771,47,102,0,315,307,0.7376783398184177
pinky,3214,47,107,0,2460,600,0.7690572495332918
pr,2634,101,218,0,563,1752,0.8461465451784358
printenv,732,47,100,0,300,285,0.7308743169398907
printf,3173,222,126,0,2386,439,0.7122596911440278
ptx,5754,652,454,0,2340,2308,0.725842891901286
pwd,863,47,111,0,308,397,0.7598493626882966
readlink,949,47,117,0,333,452,0.7702845100105374
realpath,845,47,121,0,329,348,0.7396449704142012
rm,1032,64,127,0,392,449,0.7507267441860465
rmdir,2886,47,135,0,2356,348,0.7445426195426196
runcon,737,47,108,0,300,282,0.7245590230664858
seq,921,47,138,0,398,338,0.7285559174809989
sha1sum,1046,63,200,0,448,335,0.6892925430210325
sha224sum,1182,63,313,0,466,340,0.6495346869712352
sha256sum,1190,63,313,0,474,340,0.6502100840336135
sha384sum,1466,143,249,0,734,340,0.6498976807639836
sha512sum,1498,143,249,0,766,340,0.6520360480640854
shred,3159,112,178,0,1792,1077,0.7804685026907249
shuf,942,47,114,0,393,388,0.7550424628450106
sleep,748,47,100,0,313,288,0.7322860962566845
sort,11317,243,450,0,2063,8561,0.9031324555977732
split,1369,379,181,0,426,383,0.5462016070124178
stat,2845,224,257,0,682,1682,0.793585237258348
stdbuf,1931,47,139,0,1387,358,0.7421025375453133
stty,1527,53,512,0,600,362,0.6155861165684349
sum,2233,63,104,0,1723,343,0.7439543215405284
sync,751,47,102,0,314,288,0.7310252996005326
tac,12325,444,247,0,9451,2183,0.7572413793103449
tail,33975,68,141,0,33205,561,0.7505518763796909
tee,8961,47,108,0,8514,292,0.7481865863184912
test,959,0,123,0,422,414,0.7937956204379562
timeout,1210,362,110,0,334,404,0.5636363636363636
touch,6684,308,519,0,4017,1840,0.7454368641532017
tr,10057,50,369,0,9295,343,0.7364522223327036
true,718,47,92,0,298,281,0.7346796657381616
truncate,801,47,106,0,313,335,0.7443820224719101
tsort,757,47,104,0,317,289,0.7301849405548216
tty,731,47,102,0,301,281,0.7281121751025992
uname,1155,55,126,0,301,673,0.8054112554112555
unexpand,769,47,104,0,319,299,0.7337451235370611
uniq,818,47,128,0,337,306,0.7221882640586798
unlink,732,47,98,0,306,281,0.7308743169398907
uptime,10247,48,157,0,450,9592,0.9728457109397872
users,739,47,98,0,309,285,0.7324086603518268
vdir,38592,4921,431,0,19529,13711,0.7376010572139303
wc,35868,2234,124,0,33091,419,0.7044789227166276
who,1345,47,175,0,440,683,0.7856877323420074
whoami,734,47,98,0,308,281,0.7309264305177112
yes,742,47,98,0,312,285,0.7324797843665768
