,Ground truth decomposed (primitive) varnodes w/ metatype=UNDEFINED,Missed decomposed (primitive) varnodes w/ metatype=UNDEFINED,Decompiler decomposed (primitive) varnodes w/ metatype=UNDEFINED matched @ level=OVERLAP,Decompiler decomposed (primitive) varnodes w/ metatype=UNDEFINED matched @ level=SUBSET,Decompiler decomposed (primitive) varnodes w/ metatype=UNDEFINED matched @ level=ALIGNED,Decompiler decomposed (primitive) varnodes w/ metatype=UNDEFINED matched @ level=MATCH,"Decomposed (primitive) varnode average compare score [0,1] w/ metatype=UNDEFINED"
[,8,0,8,0,0,0,0.25
b2sum,1,0,1,0,0,0,0.25
base32,1,0,1,0,0,0,0.25
base64,1,0,1,0,0,0,0.25
basename,1,0,1,0,0,0,0.25
basenc,2,0,2,0,0,0,0.25
cat,1,0,1,0,0,0,0.25
chcon,1,0,1,0,0,0,0.25
chgrp,1,0,1,0,0,0,0.25
chmod,1,0,1,0,0,0,0.25
chown,1,0,1,0,0,0,0.25
chroot,1,0,1,0,0,0,0.25
cksum,1,0,1,0,0,0,0.25
comm,1,0,1,0,0,0,0.25
cp,2,0,1,0,0,1,0.625
csplit,22,1,8,0,5,8,0.625
cut,1,0,1,0,0,0,0.25
date,30,0,30,0,0,0,0.25
dd,9,0,8,0,0,1,0.3333333333333333
df,13,2,9,0,0,2,0.3269230769230769
dir,16,2,10,0,0,4,0.40625
dircolors,4,0,4,0,0,0,0.25
dirname,1,0,1,0,0,0,0.25
du,24,1,11,0,5,7,0.5625
echo,1,0,1,0,0,0,0.25
env,3,0,1,0,0,2,0.75
expand,1,0,1,0,0,0,0.25
expr,27,1,14,0,5,7,0.5277777777777778
factor,14,0,12,0,1,1,0.3392857142857143
false,1,0,1,0,0,0,0.25
fmt,1,0,1,0,0,0,0.25
fold,1,0,1,0,0,0,0.25
groups,1,0,1,0,0,0,0.25
head,1,0,1,0,0,0,0.25
hostid,1,0,1,0,0,0,0.25
id,1,0,1,0,0,0,0.25
join,1,0,1,0,0,0,0.25
kill,1,0,1,0,0,0,0.25
link,1,0,1,0,0,0,0.25
ln,4,2,2,0,0,0,0.125
logname,1,0,1,0,0,0,0.25
ls,16,2,10,0,0,4,0.40625
md5sum,1,0,1,0,0,0,0.25
mkdir,9,0,9,0,0,0,0.25
mkfifo,1,0,1,0,0,0,0.25
mknod,1,0,1,0,0,0,0.25
mktemp,1,0,1,0,0,0,0.25
mv,2,0,1,0,0,1,0.625
nice,1,0,1,0,0,0,0.25
nl,21,1,8,0,5,7,0.6071428571428571
nohup,1,0,1,0,0,0,0.25
nproc,1,0,1,0,0,0,0.25
numfmt,1,0,1,0,0,0,0.25
od,16,0,9,0,1,6,0.5625
paste,1,0,1,0,0,0,0.25
pathchk,3,0,3,0,0,0,0.25
pinky,1,0,1,0,0,0,0.25
pr,2,0,0,0,0,2,1.0
printenv,1,0,1,0,0,0,0.25
printf,11,0,11,0,0,0,0.25
ptx,34,1,20,0,6,7,0.4852941176470588
pwd,1,0,1,0,0,0,0.25
readlink,4,2,2,0,0,0,0.125
realpath,4,2,2,0,0,0,0.125
rm,1,0,1,0,0,0,0.25
rmdir,8,0,8,0,0,0,0.25
runcon,1,0,1,0,0,0,0.25
seq,8,0,8,0,0,0,0.25
sha1sum,1,0,1,0,0,0,0.25
sha224sum,1,0,1,0,0,0,0.25
sha256sum,1,0,1,0,0,0,0.25
sha384sum,1,0,1,0,0,0,0.25
sha512sum,1,0,1,0,0,0,0.25
shred,1,0,1,0,0,0,0.25
shuf,1,0,1,0,0,0,0.25
sleep,1,0,1,0,0,0,0.25
sort,14,9,2,0,0,3,0.25
split,2,0,1,0,0,1,0.625
stat,8,0,8,0,0,0,0.25
stdbuf,8,0,8,0,0,0,0.25
stty,8,0,8,0,0,0,0.25
sum,1,0,1,0,0,0,0.25
sync,1,0,1,0,0,0,0.25
tac,21,1,8,0,5,7,0.6071428571428571
tail,1,0,1,0,0,0,0.25
tee,1,0,1,0,0,0,0.25
test,8,0,8,0,0,0,0.25
timeout,3,0,1,0,0,2,0.75
touch,30,0,30,0,0,0,0.25
tr,1,0,1,0,0,0,0.25
true,1,0,1,0,0,0,0.25
truncate,1,0,1,0,0,0,0.25
tsort,1,0,1,0,0,0,0.25
tty,1,0,1,0,0,0,0.25
uname,1,0,1,0,0,0,0.25
unexpand,1,0,1,0,0,0,0.25
uniq,1,0,1,0,0,0,0.25
unlink,1,0,1,0,0,0,0.25
uptime,1,0,1,0,0,0,0.25
users,1,0,1,0,0,0,0.25
vdir,16,2,10,0,0,4,0.40625
wc,12,9,0,0,0,3,0.25
who,8,0,8,0,0,0,0.25
whoami,1,0,1,0,0,0,0.25
yes,1,0,1,0,0,0,0.25
