,Array comparisons,Array length average difference (ground truth length - decompiler length),Array length average absolute error ratio (length error / ground truth length),Array size average difference (ground truth size - decompiler size),Array size average absolute error ratio (size error / ground truth size),"Dimension match ratio [0,1]","Array comparison average element type comparison score [0,1]"
[,10,-15.0,1.379390402075227,-2.9,0.07939040207522698,1.0,0.7666666666666666
b2sum,30,-37.96666666666667,21.879241245136186,27.1,0.4000745784695201,0.9666666666666667,0.37777777777777777
base32,8,-37.625,5.1409046692607,-1.875,0.015904669260700388,1.0,0.6666666666666666
base64,9,-33.44444444444444,4.5696930393428445,-1.6666666666666667,0.014137483787289235,1.0,0.6666666666666666
basename,7,-43.0,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
basenc,13,-42.23076923076923,3.1636336426219693,-1.1538461538461537,0.009787488775815624,1.0,0.6923076923076924
cat,8,-53.125,5.1409046692607,-1.875,0.015904669260700388,1.0,0.6666666666666666
chcon,12,-49.083333333333336,3.4487644885018427,-4.583333333333333,0.03209782183517592,1.0,0.6944444444444445
chgrp,9,-58.22222222222222,4.601439071088876,-2.3333333333333335,0.04588351553332098,1.0,0.6666666666666666
chmod,10,-46.4,4.216569889254714,-2.3,0.11656988925471415,1.0,0.7000000000000001
chown,10,-55.8,4.155580878265703,-2.4,0.05558087826570317,1.0,0.6666666666666666
chroot,8,-38.0,5.158761812117843,-2.25,0.033761812117843244,1.0,0.6666666666666666
cksum,62,188.83870967741936,12.14372250130331,4243.403225806452,0.3152706678859718,0.967741935483871,0.5161290322580645
comm,16,-35.875,4.103190429868445,-3.0,0.10319042986844544,0.8125,0.6875
cp,27,-52.629629629629626,4.476044403427672,-0.7777777777777778,0.07789625527952376,1.0,0.654320987654321
csplit,30,-81.96666666666667,2.344805791267139,270.8333333333333,0.11498808293380582,0.9666666666666667,0.7111111111111111
cut,8,-58.0,5.1411488098857,-2.875,0.016148809885700388,1.0,0.6666666666666666
date,57,-20.228070175438596,3.350887915857317,31.80701754385965,0.1754493193660888,0.9298245614035088,0.6491228070175439
dd,23,157.7826086956522,2.3272540315042423,168.0,0.10986272715641623,0.8695652173913043,0.6956521739130435
df,16,-120.5625,8.07171180430593,-43.5,1.9467118043059304,1.0,0.6458333333333334
dir,61,-102.40983606557377,8.784114041687996,-48.77049180327869,3.0464091236552093,0.9344262295081968,0.6939890710382514
dircolors,9,-102.88888888888889,6.125248594898401,-1.6666666666666667,0.014137483787289235,1.0,0.6666666666666666
dirname,7,-34.142857142857146,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
du,41,-50.4390243902439,2.608183576507911,222.609756097561,0.12295110699571601,0.9512195121951219,0.7317073170731708
echo,6,-19.166666666666668,1.6878728923476005,-2.5,0.021206225680933853,1.0,0.7777777777777778
env,13,-41.76923076923077,3.264848217520755,-3.076923076923077,0.11100206367460104,1.0,0.6666666666666666
expand,9,-31.555555555555557,5.347470817120622,-1.6666666666666667,0.014137483787289235,1.0,0.6666666666666666
expr,27,-81.4074074074074,2.5853331543179854,301.0740740740741,0.10775792283650382,0.9629629629629629,0.7160493827160495
factor,27,-394.8888888888889,11.232225722108991,-2.4444444444444446,0.11185535173862023,1.0,0.32098765432098764
false,6,-19.166666666666668,1.6878728923476005,-2.5,0.021206225680933853,1.0,0.7777777777777778
fmt,9,-4380.555555555556,8.903026372676178,-1.6666666666666667,0.014137483787289235,1.0,0.5925925925925926
fold,8,-37.625,5.1409046692607,-1.875,0.015904669260700388,1.0,0.6666666666666666
groups,8,-26.0,5.1409046692607,-1.875,0.015904669260700388,1.0,0.6666666666666666
head,15,-32.0,3.3277905259866594,-5.133333333333334,0.12779052598665924,1.0,0.688888888888889
hostid,7,-29.714285714285715,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
id,11,-38.90909090909091,3.7518267724493404,-1.6363636363636365,0.02455404517661327,1.0,0.6666666666666666
join,13,-32.69230769230769,5.548249027237354,-1.1538461538461537,0.009787488775815624,1.0,0.6923076923076924
kill,9,-34.55555555555556,4.628172571506587,-2.7777777777777777,0.07261701595103193,1.0,0.7037037037037037
link,7,-29.714285714285715,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
ln,13,-56.53846153846154,4.47613364262197,-2.3846153846153846,0.014595181083507932,1.0,0.717948717948718
logname,7,-29.714285714285715,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
ls,61,-102.40983606557377,8.784114041687996,-48.77049180327869,3.0464091236552093,0.9344262295081968,0.6939890710382514
md5sum,10,-52.6,4.152723735408561,-2.3,0.05272373540856031,1.0,0.6666666666666666
mkdir,11,-34.09090909090909,4.0608817175042855,-3.3636363636363638,0.060881717504285594,1.0,0.7272727272727272
mkfifo,8,-35.5,5.208212361568393,-3.625,0.08321236156839269,1.0,0.7083333333333334
mknod,8,-35.5,5.208212361568393,-3.625,0.08321236156839269,1.0,0.7083333333333334
mktemp,8,-48.0,6.0159046692607,-1.875,0.015904669260700388,1.0,0.6666666666666666
mv,21,-36.857142857142854,4.326342804407007,-1.0,0.10015232821653056,1.0,0.6507936507936508
nice,7,-34.142857142857146,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
nl,28,-89.53571428571429,2.3847408988066285,290.60714285714283,0.10279335416377154,0.9642857142857143,0.7142857142857143
nohup,7,-29.714285714285715,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
nproc,7,-38.57142857142857,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
numfmt,17,-51.35294117647059,4.819065432593271,-1.588235294117647,0.014837491416800184,1.0,0.6862745098039215
od,28,-31.75,2.884210358306582,-2.357142857142857,0.06278178687801071,0.9642857142857143,0.6904761904761906
paste,7,-43.0,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
pathchk,7,-34.142857142857146,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
pinky,14,-33.42857142857143,3.4519996032152367,-19.642857142857142,0.523428174643808,1.0,0.7142857142857143
pr,15,2.3333333333333335,2.9280168674290334,66.53333333333333,0.12801686742903332,0.9333333333333333,0.7999999999999999
printenv,7,-34.142857142857146,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
printf,12,2.6666666666666665,1.2064442586738002,12.75,0.12311092534046693,1.0,0.8333333333333334
ptx,31,-87.41935483870968,2.4811484615949273,262.38709677419354,0.09745390514331438,0.967741935483871,0.7204301075268816
pwd,7,-38.57142857142857,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
readlink,8,-58.0,5.1487171692607,-2.875,0.023717169260700388,1.0,0.7083333333333334
realpath,7,-74.0,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
rm,9,-61.55555555555556,5.680804150453956,-1.6666666666666667,0.014137483787289235,1.0,0.6666666666666666
rmdir,10,-36.1,4.41312373540856,-2.3,0.013123735408560312,1.0,0.7000000000000001
runcon,7,-51.857142857142854,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
seq,10,-32.2,4.41272373540856,-1.5,0.012723735408560312,1.0,0.7000000000000001
sha1sum,11,-46.0,3.8070215776441456,3.0,0.07974885037141846,1.0,0.6969696969696969
sha224sum,12,-59.5,3.7814364461738004,1.4166666666666667,0.11476977950713359,1.0,0.6944444444444445
sha256sum,12,-58.833333333333336,3.758288298025652,2.0833333333333335,0.09162163135898545,1.0,0.6944444444444445
sha384sum,11,-46.0,3.8070215776441456,7.363636363636363,0.07974885037141846,1.0,0.6969696969696969
sha512sum,11,-46.0,3.8070215776441456,7.363636363636363,0.07974885037141846,1.0,0.6969696969696969
shred,19,-71.42105263157895,4.849621762015556,-36.473684210526315,1.639095446226083,1.0,0.7017543859649122
shuf,8,-53.125,5.1409046692607,-1.875,0.015904669260700388,1.0,0.7083333333333334
sleep,7,-29.714285714285715,5.8753196220122295,-2.142857142857143,0.018176764869371875,1.0,0.6666666666666666
sort,27,-52.925925925925924,2.836600985236942,-1.1111111111111112,0.09586024449620115,0.9259259259259259,0.6666666666666666
split,12,-54.916666666666664,3.723009127878061,-2.1666666666666665,0.056342461211394246,1.0,0.6944444444444445
stat,22,24.136363636363637,2.589466375355105,45.18181818181818,0.08946637535510506,0.9545454545454546,0.7575757575757577
