,Ground truth varnodes,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,Missed varnodes,"Varnode average comparison score [0,1]"
[,266,18,5,128,114,1,0.8157894736842105
b2sum,237,8,7,118,103,1,0.8312236286919831
base32,160,6,2,82,68,2,0.825
base64,160,6,2,82,69,1,0.83125
basename,129,6,2,77,43,1,0.8003875968992248
basenc,219,8,2,106,98,5,0.8242009132420092
cat,164,6,2,98,57,1,0.8109756097560976
chcon,363,14,4,234,109,2,0.7988980716253443
chgrp,339,11,5,204,117,2,0.8119469026548672
chmod,347,12,7,211,114,3,0.803314121037464
chown,359,12,5,209,131,2,0.8168523676880223
chroot,198,8,2,87,100,1,0.8497474747474747
cksum,780,24,13,396,232,115,0.6942307692307692
comm,171,11,3,103,53,1,0.7865497076023392
cp,703,28,12,357,303,3,0.8303698435277382
csplit,1003,41,15,544,395,8,0.8182951146560319
cut,192,7,2,117,65,1,0.8098958333333334
date,747,38,26,387,292,4,0.8095716198125836
dd,493,18,9,250,212,4,0.8286004056795132
df,646,20,11,287,327,1,0.8556501547987616
dir,1037,52,13,560,409,3,0.8182256509161041
dircolors,190,6,2,115,65,2,0.8092105263157895
dirname,125,6,2,74,42,1,0.8
du,1520,54,28,842,586,10,0.819078947368421
echo,118,6,2,71,38,1,0.7944915254237288
env,201,11,3,102,83,2,0.8146766169154229
expand,152,7,2,90,52,1,0.8042763157894737
expr,932,37,25,499,363,8,0.8143776824034334
factor,511,24,22,191,251,23,0.8047945205479452
false,109,6,2,66,34,1,0.7889908256880734
fmt,186,6,2,110,67,1,0.8172043010752689
fold,143,7,2,78,55,1,0.8129370629370629
groups,142,6,2,80,53,1,0.8133802816901409
head,215,13,2,116,83,1,0.8104651162790698
hostid,118,6,4,72,35,1,0.7838983050847458
id,196,7,2,102,84,1,0.8329081632653061
join,260,8,3,151,97,1,0.8221153846153846
kill,148,8,2,79,56,3,0.7989864864864865
link,117,6,4,71,35,1,0.7841880341880342
ln,439,12,7,233,185,2,0.8342824601366743
logname,118,6,4,72,35,1,0.7838983050847458
ls,1037,52,13,560,409,3,0.8182256509161041
md5sum,217,12,2,120,81,2,0.8064516129032258
mkdir,306,12,6,149,137,2,0.8325163398692811
mkfifo,148,7,2,86,51,2,0.7989864864864865
mknod,165,7,2,89,65,2,0.8151515151515152
mktemp,164,6,2,94,60,2,0.8109756097560976
mv,773,30,12,433,294,4,0.8179172056921087
nice,130,6,2,73,48,1,0.8096153846153846
nl,917,36,15,483,372,11,0.8187022900763359
nohup,162,7,4,105,45,1,0.7870370370370371
nproc,139,6,2,77,53,1,0.814748201438849
numfmt,291,12,3,142,133,1,0.8384879725085911
od,459,20,7,209,221,2,0.8415032679738562
paste,142,6,2,85,48,1,0.8045774647887324
pathchk,141,6,2,88,44,1,0.7978723404255319
pinky,182,11,2,110,58,1,0.7925824175824175
pr,543,16,8,332,185,2,0.8139963167587477
printenv,119,6,2,68,42,1,0.8025210084033614
printf,283,17,7,136,122,1,0.818904593639576
ptx,1147,44,28,597,470,8,0.8219267654751525
pwd,143,6,3,87,46,1,0.798951048951049
readlink,249,9,5,137,97,1,0.821285140562249
realpath,254,8,5,138,102,1,0.8267716535433071
rm,362,10,5,222,123,2,0.81353591160221
rmdir,234,8,5,115,105,1,0.8365384615384616
runcon,121,6,2,75,37,1,0.7913223140495868
seq,279,20,6,128,124,1,0.8172043010752689
sha1sum,215,9,3,116,85,2,0.8174418604651162
sha224sum,225,12,3,119,89,2,0.8122222222222222
sha256sum,225,12,3,119,89,2,0.8122222222222222
sha384sum,381,7,3,278,90,3,0.791994750656168
sha512sum,381,7,3,278,90,3,0.791994750656168
shred,370,18,2,203,145,2,0.8182432432432433
shuf,374,7,3,218,145,1,0.8335561497326203
sleep,143,8,4,80,50,1,0.7972027972027972
sort,847,34,12,467,327,7,0.8167060212514758
split,297,12,2,159,122,2,0.8257575757575758
stat,608,21,14,321,247,5,0.8223684210526315
stdbuf,267,8,6,128,124,1,0.8426966292134831
stty,301,13,5,138,144,1,0.8413621262458472
sum,278,12,2,140,122,2,0.8309352517985612
sync,133,7,2,81,42,1,0.793233082706767
tac,941,37,15,512,369,8,0.8180127523910733
tail,423,18,5,220,179,1,0.8297872340425532
tee,154,8,2,93,50,1,0.797077922077922
test,260,17,4,128,111,0,0.8201923076923077
timeout,175,9,2,89,73,2,0.8171428571428572
touch,602,33,25,305,236,3,0.8064784053156147
tr,241,8,3,117,112,1,0.8433609958506224
true,109,6,2,66,34,1,0.7889908256880734
truncate,145,6,2,83,53,1,0.8120689655172414
tsort,162,9,4,96,52,1,0.7916666666666666
tty,114,6,2,69,36,1,0.7916666666666666
uname,120,6,2,71,39,2,0.7895833333333333
unexpand,158,6,2,92,57,1,0.8132911392405063
uniq,202,9,2,115,75,1,0.8143564356435643
unlink,117,6,4,71,35,1,0.7841880341880342
uptime,353,11,10,218,113,1,0.8052407932011332
users,133,6,4,81,41,1,0.7913533834586466
vdir,1037,52,13,560,409,3,0.8182256509161041
wc,338,7,5,153,102,71,0.6538461538461539
who,282,9,5,144,123,1,0.8359929078014184
whoami,120,6,4,74,35,1,0.7833333333333333
yes,132,6,4,80,41,1,0.7916666666666666
