,Ground truth varnodes w/ metatype=FLOAT,Missed varnodes w/ metatype=FLOAT,Decompiler varnodes w/ metatype=FLOAT matched @ level=OVERLAP,Decompiler varnodes w/ metatype=FLOAT matched @ level=SUBSET,Decompiler varnodes w/ metatype=FLOAT matched @ level=ALIGNED,Decompiler varnodes w/ metatype=FLOAT matched @ level=MATCH,"Varnode average compare score [0,1] w/ metatype=FLOAT"
[,2,0,1,0,1,0,0.5
b2sum,0,0,0,0,0,0,
base32,0,0,0,0,0,0,
base64,0,0,0,0,0,0,
basename,0,0,0,0,0,0,
basenc,0,0,0,0,0,0,
cat,0,0,0,0,0,0,
chcon,3,0,0,0,3,0,0.75
chgrp,3,0,0,0,3,0,0.75
chmod,3,0,0,0,3,0,0.75
chown,3,0,0,0,3,0,0.75
chroot,0,0,0,0,0,0,
cksum,3,0,2,0,1,0,0.4166666666666667
comm,0,0,0,0,0,0,
cp,3,0,0,0,3,0,0.75
csplit,0,0,0,0,0,0,
cut,0,0,0,0,0,0,
date,2,0,1,0,1,0,0.5
dd,7,0,3,0,4,0,0.5357142857142857
df,13,0,3,0,5,5,0.7307692307692307
dir,6,0,2,0,4,0,0.5833333333333334
dircolors,0,0,0,0,0,0,
dirname,0,0,0,0,0,0,
du,6,0,2,0,4,0,0.5833333333333334
echo,0,0,0,0,0,0,
env,0,0,0,0,0,0,
expand,0,0,0,0,0,0,
expr,0,0,0,0,0,0,
factor,0,0,0,0,0,0,
false,0,0,0,0,0,0,
fmt,0,0,0,0,0,0,
fold,0,0,0,0,0,0,
groups,0,0,0,0,0,0,
head,0,0,0,0,0,0,
hostid,0,0,0,0,0,0,
id,0,0,0,0,0,0,
join,0,0,0,0,0,0,
kill,0,0,0,0,0,0,
link,0,0,0,0,0,0,
ln,3,0,0,0,3,0,0.75
logname,0,0,0,0,0,0,
ls,6,0,2,0,4,0,0.5833333333333334
md5sum,0,0,0,0,0,0,
mkdir,2,0,1,0,1,0,0.5
mkfifo,0,0,0,0,0,0,
mknod,0,0,0,0,0,0,
mktemp,0,0,0,0,0,0,
mv,3,0,0,0,3,0,0.75
nice,0,0,0,0,0,0,
nl,0,0,0,0,0,0,
nohup,0,0,0,0,0,0,
nproc,0,0,0,0,0,0,
numfmt,7,0,5,0,2,0,0.39285714285714285
od,11,0,3,0,8,0,0.6136363636363636
paste,0,0,0,0,0,0,
pathchk,0,0,0,0,0,0,
pinky,0,0,0,0,0,0,
pr,0,0,0,0,0,0,
printenv,0,0,0,0,0,0,
printf,7,0,5,0,2,0,0.39285714285714285
ptx,0,0,0,0,0,0,
pwd,0,0,0,0,0,0,
readlink,3,0,0,0,3,0,0.75
realpath,3,0,0,0,3,0,0.75
rm,3,0,0,0,3,0,0.75
rmdir,2,0,1,0,1,0,0.5
runcon,0,0,0,0,0,0,
seq,10,0,9,0,1,0,0.3
sha1sum,0,0,0,0,0,0,
sha224sum,0,0,0,0,0,0,
sha256sum,0,0,0,0,0,0,
sha384sum,0,0,0,0,0,0,
sha512sum,0,0,0,0,0,0,
shred,3,0,2,0,1,0,0.4166666666666667
shuf,3,0,0,0,3,0,0.75
sleep,7,0,0,0,2,5,0.9285714285714286
sort,18,0,4,0,12,2,0.6666666666666666
split,0,0,0,0,0,0,
stat,2,0,1,0,1,0,0.5
stdbuf,2,0,1,0,1,0,0.5
stty,2,0,1,0,1,0,0.5
sum,3,0,2,0,1,0,0.4166666666666667
sync,0,0,0,0,0,0,
tac,0,0,0,0,0,0,
tail,11,0,0,0,6,5,0.8636363636363636
tee,0,0,0,0,0,0,
test,2,0,1,0,1,0,0.5
timeout,8,0,0,0,4,4,0.875
touch,2,0,1,0,1,0,0.5
tr,0,0,0,0,0,0,
true,0,0,0,0,0,0,
truncate,0,0,0,0,0,0,
tsort,0,0,0,0,0,0,
tty,0,0,0,0,0,0,
uname,0,0,0,0,0,0,
unexpand,0,0,0,0,0,0,
uniq,0,0,0,0,0,0,
unlink,0,0,0,0,0,0,
uptime,2,0,0,0,1,1,0.875
users,0,0,0,0,0,0,
vdir,6,0,2,0,4,0,0.5833333333333334
wc,4,0,0,0,4,0,0.75
who,2,0,1,0,1,0,0.5
whoami,0,0,0,0,0,0,
yes,0,0,0,0,0,0,
