,Ground truth varnodes w/ metatype=STRUCT,Missed varnodes w/ metatype=STRUCT,Decompiler varnodes w/ metatype=STRUCT matched @ level=OVERLAP,Decompiler varnodes w/ metatype=STRUCT matched @ level=SUBSET,Decompiler varnodes w/ metatype=STRUCT matched @ level=ALIGNED,Decompiler varnodes w/ metatype=STRUCT matched @ level=MATCH,"Varnode average compare score [0,1] w/ metatype=STRUCT"
[,24,0,12,2,6,4,0.5208333333333334
b2sum,10,0,4,0,6,0,0.55
base32,11,0,4,0,7,0,0.5681818181818182
base64,11,0,4,0,7,0,0.5681818181818182
basename,10,0,4,0,6,0,0.55
basenc,11,0,5,0,6,0,0.5227272727272727
cat,11,0,4,0,6,1,0.5909090909090909
chcon,23,0,4,2,14,3,0.6739130434782609
chgrp,22,0,4,3,9,6,0.6931818181818182
chmod,22,0,4,3,9,6,0.6931818181818182
chown,22,0,4,3,9,6,0.6931818181818182
chroot,10,0,4,0,6,0,0.55
cksum,22,0,13,0,9,0,0.45454545454545453
comm,10,0,4,0,6,0,0.55
cp,46,0,14,8,10,14,0.6304347826086957
csplit,56,0,27,10,10,9,0.5044642857142857
cut,10,0,4,0,6,0,0.55
date,39,0,13,14,8,4,0.5192307692307693
dd,22,0,8,3,7,4,0.5795454545454546
df,37,0,8,8,12,9,0.6486486486486487
dir,46,0,20,7,12,7,0.532608695652174
dircolors,11,0,4,0,7,0,0.5681818181818182
dirname,10,0,4,0,6,0,0.55
du,73,0,33,20,12,8,0.4828767123287671
echo,10,0,4,0,6,0,0.55
env,17,0,4,1,8,4,0.6764705882352942
expand,10,0,4,0,6,0,0.55
expr,59,0,27,18,9,5,0.4661016949152542
factor,32,0,12,13,6,1,0.46875
false,10,0,4,0,6,0,0.55
fmt,10,0,4,0,6,0,0.55
fold,10,0,4,0,6,0,0.55
groups,10,0,4,0,6,0,0.55
head,12,0,4,0,6,2,0.625
hostid,10,0,4,0,6,0,0.55
id,10,0,4,0,6,0,0.55
join,14,0,5,1,8,0,0.5535714285714286
kill,10,0,4,0,6,0,0.55
link,10,0,4,0,6,0,0.55
ln,28,0,6,5,7,10,0.6875
logname,10,0,4,0,6,0,0.55
ls,46,0,20,7,12,7,0.532608695652174
md5sum,12,0,6,0,6,0,0.5
mkdir,18,0,4,3,7,4,0.6527777777777778
mkfifo,12,0,4,0,6,2,0.625
mknod,12,0,4,0,6,2,0.625
mktemp,12,0,4,0,6,2,0.625
mv,53,0,17,8,11,17,0.6320754716981132
nice,10,0,4,0,6,0,0.55
nl,55,0,27,10,13,5,0.4818181818181818
nohup,10,0,4,0,6,0,0.55
nproc,11,0,4,0,6,1,0.5909090909090909
numfmt,10,0,4,0,6,0,0.55
od,13,0,4,2,6,1,0.5769230769230769
paste,10,0,4,0,6,0,0.55
pathchk,13,0,4,0,8,1,0.6153846153846154
pinky,12,0,4,0,7,1,0.6041666666666666
pr,22,0,9,3,7,3,0.5454545454545454
printenv,10,0,4,0,6,0,0.55
printf,15,0,4,2,9,0,0.5833333333333334
ptx,82,0,33,23,20,6,0.4969512195121951
pwd,17,0,4,1,7,5,0.6911764705882353
readlink,17,0,6,3,7,1,0.5441176470588235
realpath,18,0,6,3,7,2,0.5694444444444444
rm,23,0,5,3,9,6,0.6739130434782609
rmdir,13,0,4,2,6,1,0.5769230769230769
runcon,10,0,4,0,6,0,0.55
seq,17,0,8,3,6,0,0.47058823529411764
sha1sum,12,0,6,0,6,0,0.5
sha224sum,13,0,7,0,6,0,0.4807692307692308
sha256sum,13,0,7,0,6,0,0.4807692307692308
sha384sum,13,0,4,0,9,0,0.5961538461538461
sha512sum,13,0,4,0,9,0,0.5961538461538461
shred,15,0,6,0,6,3,0.6
shuf,15,0,4,1,8,2,0.6333333333333333
sleep,13,0,6,0,6,1,0.5384615384615384
sort,44,1,13,7,13,10,0.6022727272727273
split,15,0,5,0,9,1,0.6
stat,32,0,12,8,9,3,0.5234375
stdbuf,14,0,4,2,7,1,0.5892857142857143
stty,18,0,7,2,9,0,0.5277777777777778
sum,10,0,4,0,6,0,0.55
sync,10,0,4,0,6,0,0.55
tac,53,0,27,10,11,5,0.4716981132075472
tail,29,0,8,2,7,12,0.6982758620689655
tee,10,0,4,0,6,0,0.55
test,24,0,12,2,6,4,0.5208333333333334
timeout,18,0,5,0,7,6,0.6944444444444444
touch,36,0,10,16,7,3,0.5208333333333334
tr,13,0,5,0,8,0,0.5576923076923077
true,10,0,4,0,6,0,0.55
truncate,12,0,4,0,6,2,0.625
tsort,12,0,6,0,6,0,0.5
tty,10,0,4,0,6,0,0.55
uname,11,0,4,0,6,1,0.5909090909090909
unexpand,10,0,4,0,6,0,0.55
uniq,12,0,6,0,6,0,0.5
unlink,10,0,4,0,6,0,0.55
uptime,15,0,6,3,6,0,0.5
users,10,0,4,0,6,0,0.55
vdir,46,0,20,7,12,7,0.532608695652174
wc,16,0,4,1,5,6,0.703125
who,14,0,4,2,7,1,0.5892857142857143
whoami,10,0,4,0,6,0,0.55
yes,10,0,4,0,6,0,0.55
