,Ground truth array varnodes,Array comparisons,Array varnodes inferred as array,Array varnodes inferred as array fraction,Array length (elements) average error,Array length (elements) average error ratio,Array size (bytes) average error,Array size (bytes) average error ratio,Array dimension match score,Array average element type comparison score
[,15,10,10,0.6666666666666666,15.0,1.379390402075227,2.9,0.0793904020752269,1.0,0.7666666666666666
b2sum,24,30,20,0.8333333333333334,43.3,21.879241245136186,28.633333333333333,0.4000745784695201,0.9666666666666668,0.3777777777777777
base32,12,8,8,0.6666666666666666,37.625,5.1409046692607,1.875,0.0159046692607003,1.0,0.6666666666666666
base64,12,9,9,0.75,33.44444444444444,4.5696930393428445,1.6666666666666667,0.0141374837872892,1.0,0.6666666666666666
basename,10,7,7,0.7,43.0,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
basenc,20,13,13,0.65,42.23076923076923,3.1636336426219693,1.1538461538461535,0.0097874887758156,1.0,0.6923076923076924
cat,11,8,8,0.7272727272727273,53.125,5.1409046692607,1.875,0.0159046692607003,1.0,0.6666666666666666
chcon,18,12,12,0.6666666666666666,49.083333333333336,3.4487644885018427,4.583333333333333,0.0320978218351759,1.0,0.6944444444444445
chgrp,15,9,9,0.6,58.22222222222222,4.601439071088876,2.333333333333333,0.0458835155333209,1.0,0.6666666666666666
chmod,19,10,10,0.5263157894736842,47.6,4.216569889254714,3.5,0.1165698892547141,1.0,0.7000000000000001
chown,16,10,10,0.625,55.8,4.155580878265703,2.4,0.0555808782657031,1.0,0.6666666666666666
chroot,11,8,8,0.7272727272727273,38.0,5.158761812117843,2.25,0.0337618121178432,1.0,0.6666666666666666
cksum,66,62,50,0.7575757575757576,738.516129032258,12.14372250130331,4245.5,0.3152706678859718,0.967741935483871,0.5161290322580645
comm,22,16,16,0.7272727272727273,35.875,4.103190429868445,3.0,0.1031904298684454,0.8125,0.6875
cp,40,27,26,0.65,52.629629629629626,4.476044403427672,3.740740740740741,0.0778962552795237,1.0,0.654320987654321
csplit,35,30,28,0.8,115.43333333333334,2.344805791267139,275.3,0.1149880829338058,0.9666666666666668,0.7111111111111111
cut,12,8,8,0.6666666666666666,58.0,5.1411488098857,2.875,0.0161488098857003,1.0,0.6666666666666666
date,63,57,55,0.873015873015873,91.84210526315788,3.350887915857317,39.80701754385965,0.1754493193660888,0.9298245614035088,0.6491228070175439
dd,34,23,21,0.6176470588235294,182.91304347826087,2.3272540315042423,172.69565217391303,0.1098627271564162,0.8695652173913043,0.6956521739130435
df,25,16,16,0.64,120.5625,8.07171180430593,43.5,1.9467118043059304,1.0,0.6458333333333334
dir,71,61,60,0.8450704225352113,135.95081967213116,8.784114041687996,82.31147540983606,3.0464091236552093,0.9344262295081968,0.6939890710382514
dircolors,13,9,9,0.6923076923076923,102.88888888888889,6.125248594898401,1.6666666666666667,0.0141374837872892,1.0,0.6666666666666666
dirname,10,7,7,0.7,34.142857142857146,5.8753196220122295,2.142857142857143,0.0181767648693718,1.0,0.6666666666666666
du,51,41,38,0.7450980392156863,124.6829268292683,2.608183576507911,226.7560975609756,0.122951106995716,0.951219512195122,0.7317073170731708
