,Array comparisons,Array length (elements) average error,Array length (elements) average error ratio,Array size (bytes) average error,Array size (bytes) average error ratio,"Array dimension match score [0,1]","Array average element type comparison score [0,1]"
[,16,0.0,0.0,0.0,0.0,1.0,1.0
b2sum,25,0.0,0.0,0.0,0.0,1.0,1.0
base32,13,0.0,0.0,0.0,0.0,1.0,1.0
base64,12,0.0,0.0,0.0,0.0,1.0,1.0
basename,10,0.0,0.0,0.0,0.0,1.0,1.0
basenc,21,0.0,0.0,0.0,0.0,1.0,1.0
cat,12,0.0,0.0,0.0,0.0,1.0,1.0
chcon,18,0.0,0.0,0.0,0.0,1.0,1.0
chgrp,15,0.0,0.0,0.0,0.0,1.0,1.0
chmod,20,0.0,0.0,0.0,0.0,1.0,1.0
chown,16,0.0,0.0,0.0,0.0,1.0,1.0
chroot,11,0.0,0.0,0.0,0.0,1.0,1.0
cksum,67,0.0,0.0,0.0,0.0,1.0,1.0
comm,22,0.0,0.0,0.0,0.0,1.0,1.0
cp,44,0.0,0.0,0.0,0.0,1.0,1.0
csplit,36,6.666666666666667,0.026041666666666668,6.666666666666667,0.026041666666666668,1.0,1.0
cut,12,0.0,0.0,0.0,0.0,1.0,1.0
date,70,31.071428571428573,0.10030588624338625,31.071428571428573,0.10030588624338625,1.0,0.9857142857142858
dd,37,0.0,0.0,0.0,0.0,1.0,1.0
df,26,24.26923076923077,1.1556776556776556,24.26923076923077,1.1556776556776556,1.0,1.0
dir,75,47.2,0.8403067788976532,47.2,0.8403067788976532,1.0,1.0
dircolors,13,0.0,0.0,0.0,0.0,1.0,1.0
dirname,10,0.0,0.0,0.0,0.0,1.0,1.0
du,54,23.25925925925926,0.035734953703703706,23.25925925925926,0.035734953703703706,1.0,1.0
echo,9,0.0,0.0,0.0,0.0,1.0,1.0
env,19,0.0,0.0,0.0,0.0,1.0,1.0
expand,13,0.0,0.0,0.0,0.0,1.0,1.0
expr,33,7.2727272727272725,0.028409090909090908,7.2727272727272725,0.028409090909090908,1.0,1.0
factor,32,0.0,0.0,0.0,0.0,1.0,1.0
false,9,0.0,0.0,0.0,0.0,1.0,1.0
fmt,12,0.0,0.0,0.0,0.0,1.0,1.0
fold,12,0.0,0.0,0.0,0.0,1.0,1.0
groups,12,0.0,0.0,0.0,0.0,1.0,1.0
head,19,0.0,0.0,0.0,0.0,1.0,1.0
hostid,12,0.0,0.0,0.0,0.0,1.0,1.0
id,17,0.0,0.0,0.0,0.0,1.0,1.0
join,18,0.0,0.0,0.0,0.0,1.0,1.0
kill,14,0.0,0.0,0.0,0.0,1.0,1.0
link,12,0.0,0.0,0.0,0.0,1.0,1.0
ln,23,0.0,0.0,0.0,0.0,1.0,1.0
logname,12,0.0,0.0,0.0,0.0,1.0,1.0
ls,75,47.2,0.8403067788976532,47.2,0.8403067788976532,1.0,1.0
md5sum,17,0.0,0.0,0.0,0.0,1.0,1.0
mkdir,20,0.0,0.0,0.0,0.0,1.0,1.0
mkfifo,13,0.0,0.0,0.0,0.0,1.0,1.0
mknod,13,0.0,0.0,0.0,0.0,1.0,1.0
mktemp,13,0.0,0.0,0.0,0.0,1.0,1.0
mv,36,0.0,0.0,0.0,0.0,1.0,1.0
nice,10,0.0,0.0,0.0,0.0,1.0,1.0
nl,36,6.666666666666667,0.026041666666666668,6.666666666666667,0.026041666666666668,1.0,1.0
nohup,13,0.0,0.0,0.0,0.0,1.0,1.0
nproc,10,0.0,0.0,0.0,0.0,1.0,1.0
numfmt,20,0.0,0.0,0.0,0.0,1.0,1.0
od,42,0.0,0.0,0.0,0.0,1.0,1.0
paste,10,0.0,0.0,0.0,0.0,1.0,1.0
pathchk,10,0.0,0.0,0.0,0.0,1.0,1.0
pinky,19,11.789473684210526,0.04587343845996314,11.789473684210526,0.04587343845996314,1.0,1.0
pr,21,48.38095238095238,0.04724702380952381,48.38095238095238,0.04724702380952381,1.0,1.0
printenv,10,0.0,0.0,0.0,0.0,1.0,1.0
printf,18,0.0,0.0,0.0,0.0,1.0,1.0
ptx,39,6.153846153846154,0.02403846153846154,6.153846153846154,0.02403846153846154,1.0,1.0
pwd,10,0.0,0.0,0.0,0.0,1.0,1.0
readlink,12,0.0,0.0,0.0,0.0,1.0,1.0
realpath,11,0.0,0.0,0.0,0.0,1.0,1.0
rm,15,0.0,0.0,0.0,0.0,1.0,1.0
rmdir,15,0.0,0.0,0.0,0.0,1.0,1.0
runcon,10,0.0,0.0,0.0,0.0,1.0,1.0
seq,17,0.0,0.0,0.0,0.0,1.0,1.0
sha1sum,17,0.0,0.0,0.0,0.0,1.0,1.0
sha224sum,18,0.0,0.0,0.0,0.0,1.0,1.0
sha256sum,18,0.0,0.0,0.0,0.0,1.0,1.0
sha384sum,18,0.0,0.0,0.0,0.0,1.0,1.0
sha512sum,18,0.0,0.0,0.0,0.0,1.0,1.0
shred,27,23.37037037037037,0.03584412633492388,23.37037037037037,0.03584412633492388,1.0,1.0
shuf,12,0.0,0.0,0.0,0.0,1.0,1.0
sleep,12,0.0,0.0,0.0,0.0,1.0,1.0
sort,50,0.32,0.01032258064516129,0.32,0.01032258064516129,1.0,1.0
split,18,0.0,0.0,0.0,0.0,1.0,1.0
stat,37,27.45945945945946,0.02681587837837838,27.45945945945946,0.02681587837837838,1.0,1.0
stdbuf,17,0.0,0.0,0.0,0.0,1.0,1.0
stty,21,0.0,0.0,0.0,0.0,1.0,1.0
sum,23,0.0,0.0,0.0,0.0,1.0,1.0
sync,11,0.0,0.0,0.0,0.0,1.0,1.0
tac,35,6.857142857142857,0.026785714285714284,6.857142857142857,0.026785714285714284,1.0,1.0
tail,19,0.0,0.0,0.0,0.0,1.0,1.0
tee,14,0.0,0.0,0.0,0.0,1.0,1.0
test,13,0.0,0.0,0.0,0.0,1.0,1.0
timeout,13,0.0,0.0,0.0,0.0,1.0,1.0
touch,60,19.316666666666666,0.10048707561728396,19.316666666666666,0.10048707561728396,1.0,0.9833333333333334
tr,17,0.0,0.0,0.0,0.0,1.0,1.0
true,9,0.0,0.0,0.0,0.0,1.0,1.0
truncate,10,0.0,0.0,0.0,0.0,1.0,1.0
tsort,13,0.0,0.0,0.0,0.0,1.0,1.0
tty,10,0.0,0.0,0.0,0.0,1.0,1.0
uname,13,0.0,0.0,0.0,0.0,1.0,1.0
unexpand,11,0.0,0.0,0.0,0.0,1.0,1.0
uniq,15,0.0,0.0,0.0,0.0,1.0,1.0
unlink,12,0.0,0.0,0.0,0.0,1.0,1.0
uptime,19,53.473684210526315,0.052220394736842105,53.473684210526315,0.052220394736842105,1.0,1.0
users,12,0.0,0.0,0.0,0.0,1.0,1.0
vdir,75,47.2,0.8403067788976532,47.2,0.8403067788976532,1.0,1.0
wc,18,0.0,0.0,0.0,0.0,1.0,1.0
who,29,0.0,0.0,0.0,0.0,1.0,1.0
whoami,12,0.0,0.0,0.0,0.0,1.0,1.0
yes,12,0.0,0.0,0.0,0.0,1.0,1.0
