,Ground truth data bytes,Bytes found,Bytes missed
[,4463,4491,-28
b2sum,4472,4504,-32
base32,2671,2703,-32
base64,2699,2699,0
basename,2193,2193,0
basenc,3793,3825,-32
cat,2644,2964,-320
chcon,20631,20651,-20
chgrp,4803,4819,-16
chmod,4776,4809,-33
chown,4964,4980,-16
chroot,2626,2626,0
cksum,162392,161304,1088
comm,2785,2785,0
cp,12062,13345,-1283
csplit,31426,31254,172
cut,6800,6808,-8
date,18373,18795,-422
dd,11354,11443,-89
df,13992,14028,-36
dir,52786,51657,1129
dircolors,8180,8180,0
dirname,2101,2102,-1
du,37625,37448,177
echo,1915,1915,0
env,4112,4120,-8
expand,2319,2327,-8
expr,30758,30518,240
factor,22798,22786,12
false,1885,1885,0
fmt,47599,47599,0
fold,2276,2292,-16
groups,2165,2186,-21
head,35911,35928,-17
hostid,2057,2057,0
id,2721,2784,-63
join,3126,3126,0
kill,2834,2834,0
link,2053,2053,0
ln,9709,9733,-24
logname,2061,2061,0
ls,52786,51657,1129
md5sum,3345,3361,-16
mkdir,6846,6891,-45
mkfifo,2546,2563,-17
mknod,2655,2672,-17
mktemp,2681,2705,-24
mv,12285,13404,-1119
nice,2122,2122,0
nl,31193,30961,232
nohup,2299,2303,-4
nproc,2358,2358,0
numfmt,4029,4045,-16
od,16365,16408,-43
paste,2217,2217,0
pathchk,2344,2344,0
pinky,5002,4889,113
pr,6996,7028,-32
printenv,2052,2052,0
printf,6293,6337,-44
ptx,38637,38381,256
pwd,3093,3093,0
readlink,6710,6710,0
realpath,6801,6801,0
rm,5075,5093,-18
rmdir,5987,6015,-28
runcon,2214,2214,0
seq,4357,4413,-56
sha1sum,3349,3365,-16
sha224sum,3869,3885,-16
sha256sum,3877,3893,-16
sha384sum,6229,6245,-16
sha512sum,6261,6277,-16
shred,6721,6094,627
shuf,4465,4465,0
sleep,2255,2255,0
sort,20811,21048,-237
split,4729,4774,-45
stat,9167,9330,-163
stdbuf,5343,5371,-28
stty,8535,8757,-222
sum,4413,4445,-32
sync,2146,2150,-4
tac,38680,46672,-7992
tail,38862,38875,-13
tee,10555,10555,0
test,4288,4316,-28
timeout,3663,3663,0
touch,15837,16003,-166
tr,12260,12260,0
true,1885,1885,0
truncate,2585,2585,0
tsort,2391,2391,0
tty,2062,2062,0
uname,2860,2869,-9
unexpand,2344,2352,-8
uniq,2943,2943,0
unlink,2053,2053,0
uptime,13110,13118,-8
users,2167,2167,0
vdir,52786,51657,1129
wc,53798,36626,17172
who,5007,5173,-166
whoami,2069,2069,0
yes,2166,2166,0
