,,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,"Varnode comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
strip,INT,94,48,0,12240,8730,0.8489010989010989,0.9955475558923836,0.4135089048882152
strip,FLOAT,0,56,0,113,22,0.6321989528795812,1.0,0.1151832460732984
strip,POINTER,68,4,0,5840,3590,0.8388760260997685,0.992843611871185,0.3778151968006735
strip,ARRAY,788,597,565,19,228,0.3067819754210287,0.6413290851160673,0.1037778789258079
strip,STRUCT,152,955,432,390,106,0.4192874692874693,0.9253071253071252,0.052088452088452
standard,INT,51,48,0,12284,8729,0.8504168245547555,0.9975843122394846,0.4134615384615384
standard,FLOAT,0,56,0,113,22,0.6321989528795812,1.0,0.1151832460732984
standard,POINTER,59,4,0,5842,3597,0.8397705746158703,0.993790780888234,0.3785518838139339
standard,ARRAY,240,578,352,45,982,0.6082157487482931,0.890760127446518,0.4469731451979972
standard,STRUCT,1,762,257,777,238,0.5600737100737101,0.9995085995085996,0.1169533169533169
debug,INT,41,27,0,40,21004,0.99662514209928,0.9980579765062524,0.9948844259189088
debug,FLOAT,0,0,0,0,191,1.0,1.0,1.0
debug,POINTER,18,0,0,1,9483,0.9980793517154284,0.998105661965902,0.9980004209640077
debug,ARRAY,64,17,24,0,2092,0.9596040054619936,0.9708693673190716,0.9522075557578517
debug,STRUCT,2,8,0,0,2025,0.996068796068796,0.999017199017199,0.995085995085995
