,Ground truth varnodes,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,Varnode average comparison score,Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,266,0,0,0,0,266,1.0,1.0,1.0
b2sum,237,0,0,0,0,237,1.0,1.0,1.0
base32,160,0,0,0,0,160,1.0,1.0,1.0
base64,160,0,0,0,0,160,1.0,1.0,1.0
basename,129,0,0,0,0,129,1.0,1.0,1.0
basenc,219,0,0,0,0,219,1.0,1.0,1.0
cat,164,0,0,0,0,164,1.0,1.0,1.0
chcon,363,0,0,0,0,363,1.0,1.0,1.0
chgrp,339,0,0,0,0,339,1.0,1.0,1.0
chmod,347,0,0,0,0,347,1.0,1.0,1.0
chown,359,0,0,0,0,359,1.0,1.0,1.0
chroot,198,0,1,0,0,197,0.9962121212121212,1.0,0.9949494949494949
cksum,678,0,0,0,0,678,1.0,1.0,1.0
comm,171,0,0,0,0,171,1.0,1.0,1.0
cp,703,0,2,0,2,699,0.9971550497866288,1.0,0.9943100995732574
csplit,982,0,1,1,0,980,0.9987270875763749,1.0,0.9979633401221996
cut,192,0,0,0,0,192,1.0,1.0,1.0
date,747,0,8,2,0,737,0.9906291834002676,1.0,0.9866131191432396
dd,493,0,0,0,0,493,1.0,1.0,1.0
df,640,0,2,0,0,638,0.99765625,1.0,0.996875
dir,1031,0,4,3,0,1024,0.995635305528613,1.0,0.9932104752667313
dircolors,190,0,0,0,0,190,1.0,1.0,1.0
dirname,125,0,0,0,0,125,1.0,1.0,1.0
du,1499,0,2,2,0,1495,0.9983322214809872,1.0,0.9973315543695798
echo,118,0,0,0,0,118,1.0,1.0,1.0
env,201,0,0,0,0,201,1.0,1.0,1.0
expand,152,0,0,0,0,152,1.0,1.0,1.0
expr,911,0,1,1,0,909,0.9986278814489572,1.0,0.9978046103183315
factor,511,23,1,0,0,487,0.953522504892368,0.9549902152641878,0.9530332681017613
false,109,0,0,0,0,109,1.0,1.0,1.0
fmt,186,0,0,0,0,186,1.0,1.0,1.0
fold,143,0,0,0,0,143,1.0,1.0,1.0
groups,142,0,0,0,0,142,1.0,1.0,1.0
head,215,0,0,0,0,215,1.0,1.0,1.0
hostid,118,0,0,0,0,118,1.0,1.0,1.0
id,196,0,0,0,0,196,1.0,1.0,1.0
join,260,0,0,0,0,260,1.0,1.0,1.0
kill,148,0,0,0,0,148,1.0,1.0,1.0
link,117,0,0,0,0,117,1.0,1.0,1.0
ln,433,0,0,0,0,433,1.0,1.0,1.0
logname,118,0,0,0,0,118,1.0,1.0,1.0
ls,1031,0,4,3,0,1024,0.995635305528613,1.0,0.9932104752667313
md5sum,217,0,0,0,0,217,1.0,1.0,1.0
mkdir,306,0,1,0,0,305,0.9975490196078431,1.0,0.9967320261437909
mkfifo,148,0,0,0,0,148,1.0,1.0,1.0
mknod,165,0,0,0,0,165,1.0,1.0,1.0
mktemp,164,0,0,0,0,164,1.0,1.0,1.0
mv,773,0,1,0,2,770,0.9983829236739974,1.0,0.9961190168175937
nice,130,0,0,0,0,130,1.0,1.0,1.0
nl,896,0,1,1,0,894,0.9986049107142856,1.0,0.9977678571428571
nohup,162,0,0,0,0,162,1.0,1.0,1.0
nproc,139,0,0,0,0,139,1.0,1.0,1.0
numfmt,291,0,0,0,0,291,1.0,1.0,1.0
od,459,0,1,0,0,458,0.9983660130718954,1.0,0.9978213507625272
paste,142,0,0,0,0,142,1.0,1.0,1.0
pathchk,141,0,0,0,0,141,1.0,1.0,1.0
pinky,182,0,0,1,0,181,0.9972527472527472,1.0,0.9945054945054945
pr,543,0,0,1,0,542,0.9990791896869244,1.0,0.998158379373849
printenv,119,0,0,0,0,119,1.0,1.0,1.0
printf,283,0,3,0,0,280,0.9920494699646644,1.0,0.9893992932862191
ptx,1126,0,2,1,0,1123,0.9982238010657194,1.0,0.9973357015985791
pwd,143,0,0,0,0,143,1.0,1.0,1.0
readlink,243,0,0,0,0,243,1.0,1.0,1.0
realpath,248,0,0,0,0,248,1.0,1.0,1.0
rm,362,0,0,0,0,362,1.0,1.0,1.0
rmdir,234,0,0,0,0,234,1.0,1.0,1.0
runcon,121,0,0,0,0,121,1.0,1.0,1.0
seq,279,0,0,0,0,279,1.0,1.0,1.0
sha1sum,215,0,0,0,0,215,1.0,1.0,1.0
sha224sum,225,0,0,0,0,225,1.0,1.0,1.0
sha256sum,225,0,0,0,0,225,1.0,1.0,1.0
sha384sum,381,0,0,0,0,381,1.0,1.0,1.0
sha512sum,381,0,0,0,0,381,1.0,1.0,1.0
shred,370,0,0,1,0,369,0.9986486486486488,1.0,0.9972972972972973
shuf,374,0,0,0,0,374,1.0,1.0,1.0
sleep,143,0,0,0,0,143,1.0,1.0,1.0
sort,847,0,2,0,0,845,0.9982290436835892,1.0,0.9976387249114522
split,297,0,1,0,0,296,0.9974747474747476,1.0,0.9966329966329966
stat,608,0,0,1,0,607,0.9991776315789472,1.0,0.9983552631578947
stdbuf,267,0,0,0,0,267,1.0,1.0,1.0
stty,301,0,0,0,0,301,1.0,1.0,1.0
sum,278,0,0,0,0,278,1.0,1.0,1.0
sync,133,0,0,0,0,133,1.0,1.0,1.0
tac,920,0,1,1,0,918,0.998641304347826,1.0,0.9978260869565218
tail,423,0,1,0,0,422,0.99822695035461,1.0,0.9976359338061466
tee,154,0,0,0,0,154,1.0,1.0,1.0
test,260,0,0,0,0,260,1.0,1.0,1.0
timeout,175,0,0,0,0,175,1.0,1.0,1.0
touch,602,0,8,1,2,591,0.9883720930232558,1.0,0.9817275747508306
tr,241,0,0,0,0,241,1.0,1.0,1.0
true,109,0,0,0,0,109,1.0,1.0,1.0
truncate,145,0,0,0,0,145,1.0,1.0,1.0
tsort,162,0,0,0,0,162,1.0,1.0,1.0
tty,114,0,0,0,0,114,1.0,1.0,1.0
uname,120,0,0,0,0,120,1.0,1.0,1.0
unexpand,158,0,0,0,0,158,1.0,1.0,1.0
uniq,202,0,0,0,0,202,1.0,1.0,1.0
unlink,117,0,0,0,0,117,1.0,1.0,1.0
uptime,353,0,0,1,1,351,0.9978753541076488,1.0,0.9943342776203966
users,133,0,0,0,0,133,1.0,1.0,1.0
vdir,1031,0,4,3,0,1024,0.995635305528613,1.0,0.9932104752667313
wc,268,0,0,0,0,268,1.0,1.0,1.0
who,282,0,0,0,0,282,1.0,1.0,1.0
whoami,120,0,0,0,0,120,1.0,1.0,1.0
yes,132,0,0,0,0,132,1.0,1.0,1.0
