,Ground truth varnodes,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,"Varnode average comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,266,5,20,10,125,106,0.7885338345864662,0.981203007518797,0.39849624060150374
b2sum,237,8,9,9,115,96,0.7974683544303798,0.9662447257383966,0.4050632911392405
base32,160,7,7,4,79,63,0.7875,0.95625,0.39375
base64,160,7,7,4,79,63,0.7875,0.95625,0.39375
basename,129,5,7,4,74,39,0.7616279069767442,0.9612403100775194,0.3023255813953488
basenc,219,14,9,4,103,89,0.7785388127853882,0.9360730593607306,0.4063926940639269
cat,164,5,8,5,92,54,0.7774390243902439,0.9695121951219512,0.32926829268292684
chcon,363,8,16,7,229,103,0.7775482093663911,0.977961432506887,0.2837465564738292
chgrp,339,8,15,9,200,107,0.782448377581121,0.976401179941003,0.31563421828908556
chmod,347,9,16,11,206,105,0.7752161383285303,0.9740634005763689,0.3025936599423631
chown,359,8,16,9,206,120,0.7883008356545961,0.9777158774373259,0.3342618384401114
chroot,198,5,9,4,84,96,0.8244949494949495,0.9747474747474747,0.48484848484848486
cksum,678,31,26,20,392,209,0.7662241887905604,0.9542772861356932,0.308259587020649
comm,171,5,13,5,99,49,0.7543859649122807,0.9707602339181286,0.28654970760233917
cp,703,17,32,30,351,273,0.7955192034139402,0.9758179231863442,0.3883357041251778
csplit,982,15,43,17,533,374,0.8075356415478615,0.984725050916497,0.38085539714867617
cut,192,7,8,4,112,61,0.7760416666666666,0.9635416666666666,0.3177083333333333
date,747,29,40,37,383,258,0.7680722891566265,0.9611780455153949,0.3453815261044177
dd,493,18,20,12,243,200,0.7976673427991886,0.9634888438133874,0.4056795131845842
df,640,9,25,15,283,308,0.834375,0.9859375,0.48125
dir,1031,30,56,28,544,373,0.7846750727449079,0.9709020368574199,0.3617846750727449
dircolors,190,6,8,6,111,59,0.775,0.968421052631579,0.3105263157894737
