,Ground truth varnodes,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,"Varnode average comparison score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,266,1,18,5,128,114,0.8157894736842105,0.9962406015037594,0.42857142857142855
b2sum,237,1,8,7,118,103,0.8312236286919831,0.9957805907172996,0.4345991561181435
base32,160,2,6,2,82,68,0.825,0.9875,0.425
base64,160,1,6,2,82,69,0.83125,0.99375,0.43125
basename,129,1,6,2,77,43,0.8003875968992248,0.9922480620155039,0.3333333333333333
basenc,219,5,8,2,106,98,0.8242009132420092,0.9771689497716894,0.4474885844748858
cat,164,1,6,2,98,57,0.8109756097560976,0.9939024390243902,0.3475609756097561
chcon,363,2,14,4,234,109,0.7988980716253443,0.9944903581267218,0.3002754820936639
chgrp,339,2,11,5,204,117,0.8119469026548672,0.9941002949852508,0.34513274336283184
chmod,347,3,12,7,211,114,0.803314121037464,0.9913544668587896,0.3285302593659942
chown,359,2,12,5,209,131,0.8168523676880223,0.9944289693593314,0.3649025069637883
chroot,198,1,8,2,87,100,0.8497474747474747,0.9949494949494949,0.5050505050505051
cksum,678,13,24,13,396,232,0.7986725663716814,0.9808259587020649,0.3421828908554572
comm,171,1,11,3,103,53,0.7865497076023392,0.9941520467836257,0.30994152046783624
cp,703,3,28,12,357,303,0.8303698435277382,0.9957325746799431,0.4310099573257468
csplit,982,8,41,15,537,381,0.8161914460285132,0.9918533604887984,0.3879837067209776
cut,192,1,7,2,117,65,0.8098958333333334,0.9947916666666666,0.3385416666666667
date,747,4,38,26,387,292,0.8095716198125836,0.9946452476572959,0.3908969210174029
dd,493,4,18,9,250,212,0.8286004056795132,0.9918864097363083,0.4300202839756592
df,640,1,20,11,287,321,0.854296875,0.9984375,0.5015625
dir,1031,3,52,13,560,403,0.8171677982541222,0.997090203685742,0.39088263821532493
dircolors,190,2,6,2,115,65,0.8092105263157895,0.9894736842105263,0.34210526315789475
dirname,125,1,6,2,74,42,0.8,0.992,0.336
du,1499,10,54,28,835,572,0.8177118078719147,0.9933288859239493,0.3815877251501001
echo,118,1,6,2,71,38,0.7944915254237288,0.9915254237288136,0.3220338983050847
