,Ground truth varnodes,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,Varnode average comparison score,Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,1190,0,0,0,0,1190,1.0,1.0,1.0
b2sum,1954,0,0,0,0,1954,1.0,1.0,1.0
base32,1169,0,0,0,0,1169,1.0,1.0,1.0
base64,1197,0,0,0,0,1197,1.0,1.0,1.0
basename,844,0,0,0,0,844,1.0,1.0,1.0
basenc,1847,0,0,0,0,1847,1.0,1.0,1.0
cat,933,0,0,0,0,933,1.0,1.0,1.0
chcon,17348,0,0,0,0,17348,1.0,1.0,1.0
chgrp,1264,0,0,0,0,1264,1.0,1.0,1.0
chmod,1305,0,0,0,0,1305,1.0,1.0,1.0
chown,1308,0,0,0,0,1308,1.0,1.0,1.0
chroot,933,0,1,0,0,932,0.9991961414790996,1.0,0.9989281886387996
cksum,31618,0,0,0,0,31618,1.0,1.0,1.0
comm,998,0,0,0,0,998,1.0,1.0,1.0
cp,4028,0,2,0,2,4024,0.9995034756703078,1.0,0.9990069513406157
csplit,5511,295,2,0,0,5214,0.9461985120667756,0.946470694973689,0.9461077844311377
cut,5022,0,0,0,0,5022,1.0,1.0,1.0
date,8648,9,6,0,0,8633,0.9984389454209066,0.998959296947271,0.9982654949121184
dd,6329,0,0,0,0,6329,1.0,1.0,1.0
df,3575,0,7,0,0,3568,0.9985314685314686,1.0,0.998041958041958
dir,39259,1255,21,0,0,37983,0.9676316258692276,0.9680328077638248,0.9674978985710283
dircolors,5810,3,0,0,0,5807,0.9994836488812392,0.9994836488812392,0.9994836488812392
dirname,832,0,0,0,0,832,1.0,1.0,1.0
du,8012,295,3,0,0,7714,0.962899400898652,0.9631802296555168,0.9628057913130305
echo,810,0,0,0,0,810,1.0,1.0,1.0
env,1464,0,0,0,0,1464,1.0,1.0,1.0
expand,898,0,0,0,0,898,1.0,1.0,1.0
expr,5706,302,2,0,0,5402,0.9468103750438136,0.9470732562215212,0.9467227479845777
factor,4701,53,7,0,0,4641,0.9876090193575836,0.988725803020634,0.9872367581365666
false,801,0,0,0,0,801,1.0,1.0,1.0
fmt,15915,4000,0,0,0,11915,0.748664781652529,0.748664781652529,0.748664781652529
fold,893,0,0,0,0,893,1.0,1.0,1.0
groups,865,0,0,0,0,865,1.0,1.0,1.0
head,33790,0,0,0,0,33790,1.0,1.0,1.0
hostid,827,0,0,0,0,827,1.0,1.0,1.0
id,1007,0,0,0,0,1007,1.0,1.0,1.0
join,1004,0,0,0,0,1004,1.0,1.0,1.0
kill,1325,0,0,0,0,1325,1.0,1.0,1.0
link,826,0,0,0,0,826,1.0,1.0,1.0
ln,1991,0,0,0,0,1991,1.0,1.0,1.0
logname,827,0,0,0,0,827,1.0,1.0,1.0
ls,39259,1255,21,0,0,37983,0.9676316258692276,0.9680328077638248,0.9674978985710283
md5sum,1170,0,0,0,0,1170,1.0,1.0,1.0
mkdir,3260,0,2,0,0,3258,0.9995398773006134,1.0,0.9993865030674847
mkfifo,938,0,0,0,0,938,1.0,1.0,1.0
mknod,955,0,0,0,0,955,1.0,1.0,1.0
mktemp,971,0,0,0,0,971,1.0,1.0,1.0
mv,4056,0,1,0,2,4053,0.9996918145956608,1.0,0.9992603550295858
nice,837,0,0,0,0,837,1.0,1.0,1.0
nl,6094,316,2,0,0,5776,0.9478995733508369,0.9481457170987857,0.947817525434854
nohup,874,0,0,0,0,874,1.0,1.0,1.0
nproc,865,0,0,0,0,865,1.0,1.0,1.0
numfmt,1280,0,0,0,0,1280,1.0,1.0,1.0
od,11965,0,1,0,0,11964,0.999937317175094,1.0,0.9999164229001254
paste,857,0,0,0,0,857,1.0,1.0,1.0
pathchk,869,0,0,0,0,869,1.0,1.0,1.0
pinky,3335,224,0,0,0,3111,0.9328335832083958,0.9328335832083958,0.9328335832083958
pr,2854,0,0,0,0,2854,1.0,1.0,1.0
printenv,826,0,0,0,0,826,1.0,1.0,1.0
printf,3369,0,3,0,0,3366,0.9993321460373998,1.0,0.9991095280498664
ptx,7315,325,9,0,0,6981,0.954647983595352,0.9555707450444293,0.9543403964456596
pwd,969,0,0,0,0,969,1.0,1.0,1.0
readlink,1146,0,0,0,0,1146,1.0,1.0,1.0
realpath,1051,0,0,0,0,1051,1.0,1.0,1.0
rm,1276,0,0,0,0,1276,1.0,1.0,1.0
rmdir,3076,0,0,0,0,3076,1.0,1.0,1.0
runcon,844,0,0,0,0,844,1.0,1.0,1.0
seq,1136,0,0,0,0,1136,1.0,1.0,1.0
sha1sum,1178,0,0,0,0,1178,1.0,1.0,1.0
sha224sum,1315,0,0,0,0,1315,1.0,1.0,1.0
sha256sum,1323,0,0,0,0,1323,1.0,1.0,1.0
sha384sum,1599,0,0,0,0,1599,1.0,1.0,1.0
sha512sum,1631,0,0,0,0,1631,1.0,1.0,1.0
shred,3337,631,0,0,0,2706,0.8109080011986814,0.8109080011986814,0.8109080011986814
shuf,1168,0,0,0,0,1168,1.0,1.0,1.0
sleep,855,0,0,0,0,855,1.0,1.0,1.0
sort,11845,9,1,0,0,11835,0.9991768678767412,0.9992401857323765,0.9991557619248628
split,1533,0,2,0,0,1531,0.9990215264187868,1.0,0.9986953685583823
stat,3141,0,0,0,0,3141,1.0,1.0,1.0
stdbuf,2142,0,0,0,0,2142,1.0,1.0,1.0
stty,1868,0,0,0,0,1868,1.0,1.0,1.0
sum,2368,0,0,0,0,2368,1.0,1.0,1.0
sync,847,0,0,0,0,847,1.0,1.0,1.0
tac,13723,302,2,0,0,13419,0.9778838446403848,0.9779931501858194,0.9778474094585732
tail,34216,0,6,0,0,34210,0.9998684825812484,1.0,0.9998246434416648
tee,9070,0,0,0,0,9070,1.0,1.0,1.0
test,1126,0,0,0,0,1126,1.0,1.0,1.0
timeout,1334,0,0,0,0,1334,1.0,1.0,1.0
touch,7107,9,6,0,0,7092,0.9981004643309414,0.9987336428872943,0.997889404812157
tr,10204,0,0,0,0,10204,1.0,1.0,1.0
true,801,0,0,0,0,801,1.0,1.0,1.0
truncate,902,0,0,0,0,902,1.0,1.0,1.0
tsort,876,0,0,0,0,876,1.0,1.0,1.0
tty,825,0,0,0,0,825,1.0,1.0,1.0
uname,1274,0,0,0,0,1274,1.0,1.0,1.0
unexpand,874,0,0,0,0,874,1.0,1.0,1.0
uniq,962,0,0,0,0,962,1.0,1.0,1.0
unlink,826,0,0,0,0,826,1.0,1.0,1.0
uptime,10379,0,0,0,1,10378,0.99997591290105,1.0,0.9999036516042008
users,842,0,0,0,0,842,1.0,1.0,1.0
vdir,39259,1255,21,0,0,37983,0.9676316258692276,0.9680328077638248,0.9674978985710283
wc,33888,9,0,0,0,33879,0.999734419263456,0.9997344192634561,0.9997344192634561
who,1577,0,0,0,0,1577,1.0,1.0,1.0
whoami,829,0,0,0,0,829,1.0,1.0,1.0
yes,841,0,0,0,0,841,1.0,1.0,1.0
