,Ground truth varnodes,Varnodes matched @ level NO MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,Varnode average compare score,Varnode fraction partially recovered,Varnode fraction exactly recovered
[,2,0,1,0,1,0,0.5,1.0,0.0
b2sum,0,0,0,0,0,0,,,
base32,0,0,0,0,0,0,,,
base64,0,0,0,0,0,0,,,
basename,0,0,0,0,0,0,,,
basenc,0,0,0,0,0,0,,,
cat,0,0,0,0,0,0,,,
chcon,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
chgrp,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
chmod,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
chown,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
chroot,0,0,0,0,0,0,,,
cksum,3,0,3,0,0,0,0.25,1.0,0.0
comm,0,0,0,0,0,0,,,
cp,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
csplit,0,0,0,0,0,0,,,
cut,0,0,0,0,0,0,,,
date,2,0,1,0,1,0,0.5,1.0,0.0
dd,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
df,17,0,8,0,4,5,0.5882352941176471,1.0,0.29411764705882354
dir,10,0,7,0,3,0,0.4,1.0,0.0
dircolors,0,0,0,0,0,0,,,
dirname,0,0,0,0,0,0,,,
du,10,0,7,0,3,0,0.4,1.0,0.0
echo,0,0,0,0,0,0,,,
env,0,0,0,0,0,0,,,
expand,0,0,0,0,0,0,,,
expr,0,0,0,0,0,0,,,
factor,0,0,0,0,0,0,,,
false,0,0,0,0,0,0,,,
fmt,0,0,0,0,0,0,,,
fold,0,0,0,0,0,0,,,
groups,0,0,0,0,0,0,,,
head,0,0,0,0,0,0,,,
hostid,0,0,0,0,0,0,,,
id,0,0,0,0,0,0,,,
join,0,0,0,0,0,0,,,
kill,0,0,0,0,0,0,,,
link,0,0,0,0,0,0,,,
ln,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
logname,0,0,0,0,0,0,,,
ls,10,0,7,0,3,0,0.4,1.0,0.0
md5sum,0,0,0,0,0,0,,,
mkdir,2,0,1,0,1,0,0.5,1.0,0.0
mkfifo,0,0,0,0,0,0,,,
mknod,0,0,0,0,0,0,,,
mktemp,0,0,0,0,0,0,,,
mv,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
nice,0,0,0,0,0,0,,,
nl,0,0,0,0,0,0,,,
nohup,0,0,0,0,0,0,,,
nproc,0,0,0,0,0,0,,,
numfmt,7,0,6,0,1,0,0.3214285714285714,1.0,0.0
od,11,0,4,0,7,0,0.5681818181818182,1.0,0.0
paste,0,0,0,0,0,0,,,
pathchk,0,0,0,0,0,0,,,
pinky,0,0,0,0,0,0,,,
pr,0,0,0,0,0,0,,,
printenv,0,0,0,0,0,0,,,
printf,7,0,6,0,1,0,0.3214285714285714,1.0,0.0
ptx,0,0,0,0,0,0,,,
pwd,0,0,0,0,0,0,,,
readlink,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
realpath,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
rm,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
rmdir,2,0,1,0,1,0,0.5,1.0,0.0
runcon,0,0,0,0,0,0,,,
seq,14,0,13,0,1,0,0.2857142857142857,1.0,0.0
sha1sum,0,0,0,0,0,0,,,
sha224sum,0,0,0,0,0,0,,,
sha256sum,0,0,0,0,0,0,,,
sha384sum,0,0,0,0,0,0,,,
sha512sum,0,0,0,0,0,0,,,
shred,3,0,3,0,0,0,0.25,1.0,0.0
shuf,7,0,4,0,3,0,0.4642857142857143,1.0,0.0
sleep,7,0,0,0,2,5,0.9285714285714286,1.0,0.7142857142857143
sort,22,0,9,0,11,2,0.5681818181818182,1.0,0.09090909090909091
split,0,0,0,0,0,0,,,
stat,2,0,1,0,1,0,0.5,1.0,0.0
stdbuf,2,0,1,0,1,0,0.5,1.0,0.0
stty,2,0,1,0,1,0,0.5,1.0,0.0
sum,3,0,3,0,0,0,0.25,1.0,0.0
sync,0,0,0,0,0,0,,,
tac,0,0,0,0,0,0,,,
tail,15,0,4,0,6,5,0.7,1.0,0.3333333333333333
tee,0,0,0,0,0,0,,,
test,2,0,1,0,1,0,0.5,1.0,0.0
timeout,8,0,0,0,4,4,0.875,1.0,0.5
touch,2,0,1,0,1,0,0.5,1.0,0.0
tr,0,0,0,0,0,0,,,
true,0,0,0,0,0,0,,,
truncate,0,0,0,0,0,0,,,
tsort,0,0,0,0,0,0,,,
tty,0,0,0,0,0,0,,,
uname,0,0,0,0,0,0,,,
unexpand,0,0,0,0,0,0,,,
uniq,0,0,0,0,0,0,,,
unlink,0,0,0,0,0,0,,,
uptime,5,0,0,0,4,1,0.8,1.0,0.2
users,0,0,0,0,0,0,,,
vdir,10,0,7,0,3,0,0.4,1.0,0.0
wc,4,0,0,0,4,0,0.75,1.0,0.0
who,2,0,1,0,1,0,0.5,1.0,0.0
whoami,0,0,0,0,0,0,,,
yes,0,0,0,0,0,0,,,
