,Ground truth varnodes,Varnodes matched @ level NO MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,Varnode average compare score,Varnode fraction partially recovered,Varnode fraction exactly recovered
[,170,0,0,0,0,170,1.0,1.0,1.0
b2sum,140,0,0,0,0,140,1.0,1.0,1.0
base32,107,0,0,0,0,107,1.0,1.0,1.0
base64,107,0,0,0,0,107,1.0,1.0,1.0
basename,104,0,0,0,0,104,1.0,1.0,1.0
basenc,138,0,0,0,0,138,1.0,1.0,1.0
cat,115,0,0,0,0,115,1.0,1.0,1.0
chcon,234,0,0,0,0,234,1.0,1.0,1.0
chgrp,230,0,0,0,0,230,1.0,1.0,1.0
chmod,217,0,0,0,0,217,1.0,1.0,1.0
chown,241,0,0,0,0,241,1.0,1.0,1.0
chroot,133,0,0,0,0,133,1.0,1.0,1.0
cksum,234,0,0,0,0,234,1.0,1.0,1.0
comm,127,0,0,0,0,127,1.0,1.0,1.0
cp,403,0,0,0,0,403,1.0,1.0,1.0
csplit,1416,0,0,0,0,1416,1.0,1.0,1.0
cut,122,0,0,0,0,122,1.0,1.0,1.0
date,426,1,0,0,0,425,0.9976525821596244,0.9976525821596244,0.9976525821596244
dd,216,0,0,0,0,216,1.0,1.0,1.0
df,419,0,0,0,0,419,1.0,1.0,1.0
dir,642,0,0,0,0,642,1.0,1.0,1.0
dircolors,229,0,0,0,0,229,1.0,1.0,1.0
dirname,94,0,0,0,0,94,1.0,1.0,1.0
du,1650,0,0,0,0,1650,1.0,1.0,1.0
echo,84,0,0,0,0,84,1.0,1.0,1.0
env,138,0,0,0,0,138,1.0,1.0,1.0
expand,101,0,0,0,0,101,1.0,1.0,1.0
expr,1399,0,0,0,0,1399,1.0,1.0,1.0
factor,196,12,1,0,0,183,0.9349489795918368,0.9387755102040817,0.9336734693877551
false,82,0,0,0,0,82,1.0,1.0,1.0
fmt,2126,0,0,0,0,2126,1.0,1.0,1.0
fold,99,0,0,0,0,99,1.0,1.0,1.0
