,Ground truth varnodes,Varnodes matched @ level NO_MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,Varnode average compare score,Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,170,0,20,0,59,91,0.825,1.0,0.5352941176470588
b2sum,140,0,48,0,54,38,0.6464285714285715,1.0,0.2714285714285714
base32,107,0,32,0,44,31,0.6728971962616822,1.0,0.2897196261682243
base64,107,0,32,0,44,31,0.6728971962616822,1.0,0.2897196261682243
basename,104,0,32,0,44,28,0.6634615384615384,1.0,0.2692307692307692
basenc,138,0,48,0,51,39,0.6467391304347826,1.0,0.2826086956521739
cat,115,0,40,0,48,27,0.6347826086956522,1.0,0.23478260869565218
chcon,234,2,52,0,119,61,0.6976495726495726,0.9914529914529915,0.2606837606837607
chgrp,230,3,46,0,118,63,0.7086956521739131,0.9869565217391304,0.27391304347826084
chmod,217,2,42,0,115,58,0.7131336405529954,0.9907834101382489,0.2672811059907834
chown,241,2,48,0,123,68,0.7147302904564315,0.991701244813278,0.2821576763485477
chroot,133,0,32,0,48,53,0.7293233082706767,1.0,0.39849624060150374
cksum,234,0,99,0,78,57,0.5993589743589743,1.0,0.24358974358974358
comm,127,0,44,0,54,29,0.6338582677165354,1.0,0.2283464566929134
cp,403,3,114,0,164,122,0.6786600496277916,0.9925558312655087,0.3027295285359802
csplit,1416,10,304,0,1021,81,0.651659604519774,0.9929378531073446,0.057203389830508475
cut,122,0,42,0,49,31,0.6413934426229508,1.0,0.2540983606557377
date,426,5,202,0,81,138,0.585093896713615,0.9882629107981221,0.323943661971831
dd,216,0,29,0,73,114,0.8148148148148148,1.0,0.5277777777777778
df,419,0,83,0,138,198,0.7690930787589498,1.0,0.47255369928400953
dir,642,1,297,0,199,145,0.57398753894081,0.9984423676012462,0.22585669781931464
dircolors,229,0,119,0,70,40,0.5338427947598253,1.0,0.17467248908296942
dirname,94,0,28,0,41,25,0.6675531914893617,1.0,0.26595744680851063
du,1650,13,350,0,1125,162,0.6625757575757576,0.9921212121212121,0.09818181818181818
echo,84,0,20,0,40,24,0.7023809523809523,1.0,0.2857142857142857
env,138,0,46,0,54,38,0.6521739130434783,1.0,0.2753623188405797
expand,101,0,32,0,45,24,0.650990099009901,1.0,0.2376237623762376
expr,1399,10,288,0,1019,82,0.656361686919228,0.9928520371694067,0.058613295210864905
factor,196,1,44,0,84,67,0.7193877551020408,0.9948979591836735,0.34183673469387754
false,82,0,20,0,40,22,0.6951219512195121,1.0,0.2682926829268293
fmt,2126,0,2040,0,52,34,0.2742238946378175,1.0,0.01599247412982126
fold,99,0,32,0,41,26,0.6540404040404041,1.0,0.26262626262626265
groups,100,0,26,0,43,31,0.6975,1.0,0.31
head,125,0,42,0,50,33,0.648,1.0,0.264
hostid,93,0,26,0,41,26,0.6801075268817204,1.0,0.27956989247311825
id,134,0,40,0,47,47,0.6884328358208955,1.0,0.35074626865671643
join,149,0,45,0,60,44,0.6728187919463087,1.0,0.2953020134228188
kill,102,0,32,0,41,29,0.6642156862745098,1.0,0.28431372549019607
link,93,0,26,0,41,26,0.6801075268817204,1.0,0.27956989247311825
ln,276,0,65,0,120,91,0.7146739130434783,1.0,0.32971014492753625
logname,94,0,26,0,42,26,0.6808510638297872,1.0,0.2765957446808511
ls,642,1,297,0,199,145,0.57398753894081,0.9984423676012462,0.22585669781931464
md5sum,132,0,46,0,55,31,0.634469696969697,1.0,0.23484848484848486
mkdir,192,0,34,0,65,93,0.7825520833333334,1.0,0.484375
mkfifo,100,0,30,0,47,23,0.6575,1.0,0.23
