,Ground truth varnodes,Decompiler varnodes matched @ level NO_MATCH,Decompiler varnodes matched @ level OVERLAP,Decompiler varnodes matched @ level SUBSET,Decompiler varnodes matched @ level ALIGNED,Decompiler varnodes matched @ level MATCH,Varnode average compare score,Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,157,0,0,0,0,157,1.0,1.0,1.0
b2sum,147,0,0,0,0,147,1.0,1.0,1.0
base32,96,0,0,0,0,96,1.0,1.0,1.0
base64,96,0,0,0,0,96,1.0,1.0,1.0
basename,71,0,0,0,0,71,1.0,1.0,1.0
basenc,133,0,0,0,0,133,1.0,1.0,1.0
cat,101,0,0,0,0,101,1.0,1.0,1.0
chcon,185,0,0,0,0,185,1.0,1.0,1.0
chgrp,166,0,0,0,0,166,1.0,1.0,1.0
chmod,176,0,0,0,0,176,1.0,1.0,1.0
chown,176,0,0,0,0,176,1.0,1.0,1.0
chroot,110,0,1,0,0,109,0.9931818181818182,1.0,0.990909090909091
cksum,488,0,0,0,0,488,1.0,1.0,1.0
comm,104,0,0,0,0,104,1.0,1.0,1.0
cp,382,0,1,0,2,379,0.9967277486910996,1.0,0.9921465968586387
csplit,619,0,1,0,0,618,0.9987883683360258,1.0,0.9983844911147012
cut,124,0,0,0,0,124,1.0,1.0,1.0
date,516,0,5,0,0,511,0.9927325581395348,1.0,0.9903100775193798
dd,332,0,0,0,0,332,1.0,1.0,1.0
df,326,0,0,0,0,326,1.0,1.0,1.0
dir,615,0,1,0,0,614,0.998780487804878,1.0,0.9983739837398374
dircolors,90,0,0,0,0,90,1.0,1.0,1.0
dirname,73,0,0,0,0,73,1.0,1.0,1.0
du,931,0,2,0,0,929,0.9983888292158968,1.0,0.9978517722878625
echo,69,0,0,0,0,69,1.0,1.0,1.0
env,112,0,0,0,0,112,1.0,1.0,1.0
expand,94,0,0,0,0,94,1.0,1.0,1.0
expr,560,0,1,0,0,559,0.9986607142857142,1.0,0.9982142857142857
factor,343,13,0,0,0,330,0.9620991253644317,0.9620991253644315,0.9620991253644315
false,62,0,0,0,0,62,1.0,1.0,1.0
fmt,112,0,0,0,0,112,1.0,1.0,1.0
fold,88,0,0,0,0,88,1.0,1.0,1.0
groups,81,0,0,0,0,81,1.0,1.0,1.0
head,138,0,0,0,0,138,1.0,1.0,1.0
hostid,67,0,0,0,0,67,1.0,1.0,1.0
id,112,0,0,0,0,112,1.0,1.0,1.0
join,162,0,0,0,0,162,1.0,1.0,1.0
kill,88,0,0,0,0,88,1.0,1.0,1.0
link,66,0,0,0,0,66,1.0,1.0,1.0
ln,219,0,0,0,0,219,1.0,1.0,1.0
logname,66,0,0,0,0,66,1.0,1.0,1.0
ls,615,0,1,0,0,614,0.998780487804878,1.0,0.9983739837398374
md5sum,139,0,0,0,0,139,1.0,1.0,1.0
mkdir,196,0,0,0,0,196,1.0,1.0,1.0
mkfifo,88,0,0,0,0,88,1.0,1.0,1.0
mknod,100,0,0,0,0,100,1.0,1.0,1.0
mktemp,96,0,0,0,0,96,1.0,1.0,1.0
mv,428,0,0,0,2,426,0.9988317757009346,1.0,0.9953271028037384
nice,77,0,0,0,0,77,1.0,1.0,1.0
nl,558,0,1,0,0,557,0.9986559139784946,1.0,0.9982078853046595
nohup,99,0,0,0,0,99,1.0,1.0,1.0
nproc,86,0,0,0,0,86,1.0,1.0,1.0
numfmt,184,0,0,0,0,184,1.0,1.0,1.0
od,294,0,1,0,0,293,0.9974489795918368,1.0,0.9965986394557823
paste,85,0,0,0,0,85,1.0,1.0,1.0
pathchk,85,0,0,0,0,85,1.0,1.0,1.0
pinky,96,0,0,0,0,96,1.0,1.0,1.0
pr,399,0,0,0,0,399,1.0,1.0,1.0
printenv,68,0,0,0,0,68,1.0,1.0,1.0
printf,168,0,3,0,0,165,0.9866071428571428,1.0,0.9821428571428571
ptx,673,0,1,0,0,672,0.99888558692422,1.0,0.9985141158989599
pwd,75,0,0,0,0,75,1.0,1.0,1.0
readlink,111,0,0,0,0,111,1.0,1.0,1.0
realpath,111,0,0,0,0,111,1.0,1.0,1.0
rm,185,0,0,0,0,185,1.0,1.0,1.0
rmdir,139,0,0,0,0,139,1.0,1.0,1.0
runcon,65,0,0,0,0,65,1.0,1.0,1.0
seq,156,0,0,0,0,156,1.0,1.0,1.0
sha1sum,138,0,0,0,0,138,1.0,1.0,1.0
sha224sum,145,0,0,0,0,145,1.0,1.0,1.0
sha256sum,145,0,0,0,0,145,1.0,1.0,1.0
sha384sum,301,0,0,0,0,301,1.0,1.0,1.0
sha512sum,301,0,0,0,0,301,1.0,1.0,1.0
shred,238,0,0,0,0,238,1.0,1.0,1.0
shuf,210,0,0,0,0,210,1.0,1.0,1.0
sleep,76,0,0,0,0,76,1.0,1.0,1.0
sort,440,0,1,0,0,439,0.9982954545454544,1.0,0.9977272727272727
split,195,0,0,0,0,195,1.0,1.0,1.0
stat,392,0,0,0,0,392,1.0,1.0,1.0
stdbuf,156,0,0,0,0,156,1.0,1.0,1.0
stty,189,0,0,0,0,189,1.0,1.0,1.0
sum,183,0,0,0,0,183,1.0,1.0,1.0
sync,83,0,0,0,0,83,1.0,1.0,1.0
tac,584,0,1,0,0,583,0.9987157534246576,1.0,0.9982876712328768
tail,239,0,0,0,0,239,1.0,1.0,1.0
tee,95,0,0,0,0,95,1.0,1.0,1.0
test,155,0,0,0,0,155,1.0,1.0,1.0
timeout,95,0,0,0,0,95,1.0,1.0,1.0
touch,396,0,5,0,0,391,0.990530303030303,1.0,0.9873737373737373
tr,153,0,0,0,0,153,1.0,1.0,1.0
true,62,0,0,0,0,62,1.0,1.0,1.0
truncate,91,0,0,0,0,91,1.0,1.0,1.0
tsort,85,0,0,0,0,85,1.0,1.0,1.0
tty,65,0,0,0,0,65,1.0,1.0,1.0
uname,67,0,0,0,0,67,1.0,1.0,1.0
unexpand,101,0,0,0,0,101,1.0,1.0,1.0
uniq,125,0,0,0,0,125,1.0,1.0,1.0
unlink,66,0,0,0,0,66,1.0,1.0,1.0
uptime,261,0,0,0,0,261,1.0,1.0,1.0
users,73,0,0,0,0,73,1.0,1.0,1.0
vdir,615,0,1,0,0,614,0.998780487804878,1.0,0.9983739837398374
wc,148,0,0,0,0,148,1.0,1.0,1.0
who,158,0,0,0,0,158,1.0,1.0,1.0
whoami,68,0,0,0,0,68,1.0,1.0,1.0
yes,76,0,0,0,0,76,1.0,1.0,1.0
