,Ground truth varnodes,Decompiler varnodes matched @ level NO_MATCH,Decompiler varnodes matched @ level OVERLAP,Decompiler varnodes matched @ level SUBSET,Decompiler varnodes matched @ level ALIGNED,Decompiler varnodes matched @ level MATCH,Varnode average compare score,Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,157,0,0,0,83,74,0.8678343949044586,1.0,0.4713375796178344
b2sum,147,0,0,0,80,67,0.8639455782312925,1.0,0.4557823129251701
base32,96,0,0,0,51,45,0.8671875,1.0,0.46875
base64,96,0,0,0,51,45,0.8671875,1.0,0.46875
basename,71,0,0,0,47,24,0.8345070422535211,1.0,0.3380281690140845
basenc,133,0,1,0,70,62,0.8627819548872181,1.0,0.46616541353383456
cat,101,0,0,0,64,37,0.8415841584158416,1.0,0.36633663366336633
chcon,185,0,0,0,124,61,0.8324324324324325,1.0,0.32972972972972975
chgrp,166,0,0,0,103,63,0.8448795180722891,1.0,0.3795180722891566
chmod,176,0,0,0,110,66,0.84375,1.0,0.375
chown,176,0,0,0,105,71,0.8508522727272727,1.0,0.4034090909090909
chroot,110,0,1,0,53,56,0.8727272727272727,1.0,0.509090909090909
cksum,488,2,0,0,329,157,0.8273565573770492,0.9959016393442623,0.32172131147540983
comm,104,0,0,0,74,30,0.8221153846153846,1.0,0.28846153846153844
cp,382,2,1,0,206,173,0.8579842931937173,0.9947643979057592,0.45287958115183247
csplit,619,0,1,0,325,293,0.8675282714054927,1.0,0.47334410339256866
cut,124,1,0,0,80,43,0.8306451612903226,0.9919354838709677,0.3467741935483871
date,516,4,10,0,317,185,0.8241279069767442,0.9922480620155039,0.35852713178294576
dd,332,1,0,0,186,145,0.8569277108433735,0.9969879518072289,0.4367469879518072
df,326,0,0,0,158,168,0.8788343558282209,1.0,0.5153374233128835
dir,615,4,3,0,364,244,0.841869918699187,0.9934959349593496,0.3967479674796748
dircolors,90,0,0,0,58,32,0.8388888888888889,1.0,0.35555555555555557
dirname,73,1,0,0,46,26,0.8287671232876712,0.9863013698630136,0.3561643835616438
du,931,4,3,0,518,406,0.8541890440386681,0.9957035445757251,0.43609022556390975
echo,69,0,0,0,45,24,0.8369565217391305,1.0,0.34782608695652173
env,112,0,0,0,61,51,0.8638392857142857,1.0,0.45535714285714285
expand,94,0,0,0,59,35,0.8430851063829787,1.0,0.3723404255319149
expr,560,0,1,0,286,273,0.8709821428571428,1.0,0.4875
factor,343,21,2,0,128,192,0.8411078717201166,0.9387755102040817,0.5597667638483965
false,62,0,0,0,40,22,0.8387096774193549,1.0,0.3548387096774194
fmt,112,0,0,0,72,40,0.8392857142857143,1.0,0.35714285714285715
fold,88,0,0,0,51,37,0.8551136363636364,1.0,0.42045454545454547
groups,81,0,0,0,51,30,0.8425925925925926,1.0,0.37037037037037035
head,138,0,0,0,82,56,0.8514492753623188,1.0,0.4057971014492754
hostid,67,0,0,0,45,22,0.832089552238806,1.0,0.3283582089552239
id,112,0,0,0,69,43,0.8459821428571429,1.0,0.38392857142857145
join,162,0,0,0,104,58,0.8395061728395061,1.0,0.35802469135802467
kill,88,0,0,0,52,36,0.8522727272727273,1.0,0.4090909090909091
link,66,0,0,0,44,22,0.8333333333333334,1.0,0.3333333333333333
ln,219,0,0,0,125,94,0.8573059360730594,1.0,0.4292237442922374
logname,66,0,0,0,44,22,0.8333333333333334,1.0,0.3333333333333333
ls,615,4,3,0,364,244,0.841869918699187,0.9934959349593496,0.3967479674796748
md5sum,139,0,0,0,81,58,0.85431654676259,1.0,0.4172661870503597
mkdir,196,0,0,0,102,94,0.8698979591836735,1.0,0.47959183673469385
mkfifo,88,0,0,0,53,35,0.8494318181818182,1.0,0.3977272727272727
mknod,100,0,0,0,54,46,0.865,1.0,0.46
mktemp,96,0,0,0,60,36,0.84375,1.0,0.375
