,Ground truth varnodes,Decompiler varnodes matched @ level NO_MATCH,Decompiler varnodes matched @ level OVERLAP,Decompiler varnodes matched @ level SUBSET,Decompiler varnodes matched @ level ALIGNED,Decompiler varnodes matched @ level MATCH,"Varnode average compare score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,68,0,0,0,38,30,0.8602941176470589,1.0,0.4411764705882353
b2sum,56,0,0,0,32,24,0.8571428571428571,1.0,0.42857142857142855
base32,41,0,0,0,24,17,0.8536585365853658,1.0,0.4146341463414634
base64,41,0,0,0,24,17,0.8536585365853658,1.0,0.4146341463414634
basename,38,0,0,0,24,14,0.8421052631578947,1.0,0.3684210526315789
basenc,55,0,0,0,30,25,0.8636363636363636,1.0,0.45454545454545453
cat,41,0,0,0,25,16,0.8475609756097561,1.0,0.3902439024390244
chcon,134,1,0,0,93,40,0.8190298507462687,0.9925373134328358,0.29850746268656714
chgrp,133,1,0,0,90,42,0.8233082706766918,0.9924812030075187,0.3157894736842105
chmod,127,1,0,0,89,37,0.8169291338582677,0.9921259842519685,0.29133858267716534
chown,142,1,0,0,94,47,0.8274647887323944,0.9929577464788732,0.33098591549295775
chroot,67,0,0,0,28,39,0.8955223880597015,1.0,0.582089552238806
cksum,99,0,0,0,56,43,0.8585858585858586,1.0,0.43434343434343436
comm,35,0,0,0,22,13,0.8428571428571429,1.0,0.37142857142857144
cp,231,0,0,0,133,98,0.8560606060606061,1.0,0.42424242424242425
csplit,272,6,0,0,202,64,0.7922794117647058,0.9779411764705882,0.23529411764705882
cut,46,0,0,0,29,17,0.842391304347826,1.0,0.3695652173913043
date,125,1,0,0,60,64,0.872,0.992,0.512
dd,98,0,0,0,50,48,0.8724489795918368,1.0,0.4897959183673469
df,239,0,0,0,110,129,0.8849372384937239,1.0,0.5397489539748954
dir,293,1,0,0,171,121,0.8506825938566553,0.9965870307167235,0.4129692832764505
dircolors,76,0,0,0,50,26,0.8355263157894737,1.0,0.34210526315789475
dirname,32,0,0,0,21,11,0.8359375,1.0,0.34375
du,438,8,0,0,295,135,0.8133561643835616,0.9817351598173516,0.3082191780821918
echo,30,0,0,0,20,10,0.8333333333333334,1.0,0.3333333333333333
env,54,0,0,0,32,22,0.8518518518518519,1.0,0.4074074074074074
expand,35,0,0,0,25,10,0.8214285714285714,1.0,0.2857142857142857
expr,259,6,0,0,197,56,0.7866795366795367,0.9768339768339769,0.21621621621621623
factor,98,1,0,0,57,40,0.8443877551020408,0.9897959183673469,0.40816326530612246
false,28,0,0,0,20,8,0.8214285714285714,1.0,0.2857142857142857
fmt,52,0,0,0,32,20,0.8461538461538461,1.0,0.38461538461538464
fold,33,0,0,0,21,12,0.8409090909090909,1.0,0.36363636363636365
groups,40,0,0,0,23,17,0.85625,1.0,0.425
head,47,0,0,0,28,19,0.851063829787234,1.0,0.40425531914893614
hostid,29,0,0,0,21,8,0.8189655172413793,1.0,0.27586206896551724
id,60,0,0,0,27,33,0.8875,1.0,0.55
join,66,0,0,0,38,28,0.8560606060606061,1.0,0.42424242424242425
kill,36,0,0,0,21,15,0.8541666666666666,1.0,0.4166666666666667
link,29,0,0,0,21,8,0.8189655172413793,1.0,0.27586206896551724
ln,161,0,0,0,95,66,0.8524844720496895,1.0,0.40993788819875776
logname,30,0,0,0,22,8,0.8166666666666667,1.0,0.26666666666666666
ls,293,1,0,0,171,121,0.8506825938566553,0.9965870307167235,0.4129692832764505
md5sum,50,0,0,0,33,17,0.835,1.0,0.34
mkdir,71,0,0,0,39,32,0.8626760563380281,1.0,0.4507042253521127
mkfifo,36,0,0,0,27,9,0.8125,1.0,0.25
mknod,41,0,0,0,29,12,0.823170731707317,1.0,0.2926829268292683
mktemp,44,0,0,0,28,16,0.8409090909090909,1.0,0.36363636363636365
mv,254,1,0,0,176,77,0.8228346456692913,0.9960629921259843,0.3031496062992126
nice,33,0,0,0,20,13,0.8484848484848485,1.0,0.3939393939393939
nl,247,6,0,0,174,67,0.7995951417004049,0.9757085020242915,0.27125506072874495
nohup,40,0,0,0,28,12,0.825,1.0,0.3
nproc,32,0,0,0,20,12,0.84375,1.0,0.375
numfmt,70,0,0,0,36,34,0.8714285714285714,1.0,0.4857142857142857
od,93,0,0,0,40,53,0.8924731182795699,1.0,0.5698924731182796
paste,37,0,0,0,24,13,0.8378378378378378,1.0,0.35135135135135137
pathchk,33,0,0,0,23,10,0.8257575757575758,1.0,0.30303030303030304
pinky,57,0,0,0,38,19,0.8333333333333334,1.0,0.3333333333333333
pr,102,1,0,0,62,39,0.8382352941176471,0.9901960784313726,0.38235294117647056
printenv,31,0,0,0,20,11,0.8387096774193549,1.0,0.3548387096774194
printf,76,0,2,0,40,34,0.8486842105263158,1.0,0.4473684210526316
ptx,331,6,0,0,219,106,0.8164652567975831,0.9818731117824774,0.3202416918429003
pwd,41,0,0,0,30,11,0.8170731707317073,1.0,0.2682926829268293
readlink,100,0,0,0,57,43,0.8575,1.0,0.43
realpath,105,0,0,0,62,43,0.8523809523809524,1.0,0.4095238095238095
rm,136,1,0,0,96,39,0.8161764705882353,0.9926470588235294,0.2867647058823529
rmdir,66,0,0,0,35,31,0.8674242424242424,1.0,0.4696969696969697
runcon,36,0,0,0,27,9,0.8125,1.0,0.25
seq,81,0,1,0,39,41,0.8703703703703703,1.0,0.5061728395061729
sha1sum,49,0,0,0,32,17,0.8367346938775511,1.0,0.3469387755102041
sha224sum,50,0,0,0,33,17,0.835,1.0,0.34
sha256sum,50,0,0,0,33,17,0.835,1.0,0.34
sha384sum,50,0,0,0,33,17,0.835,1.0,0.34
sha512sum,50,0,0,0,33,17,0.835,1.0,0.34
shred,87,0,0,0,56,31,0.8390804597701149,1.0,0.3563218390804598
shuf,134,0,0,0,79,55,0.8526119402985075,1.0,0.41044776119402987
sleep,35,0,0,0,23,12,0.8357142857142857,1.0,0.34285714285714286
sort,299,0,0,0,182,117,0.8478260869565217,1.0,0.391304347826087
split,69,0,0,0,41,28,0.8514492753623188,1.0,0.4057971014492754
