,Ground truth varnodes,Varnodes matched @ level NO MATCH,Varnodes matched @ level OVERLAP,Varnodes matched @ level SUBSET,Varnodes matched @ level ALIGNED,Varnodes matched @ level MATCH,Varnode average compare score,Varnode fraction partially recovered,Varnode fraction exactly recovered
[,24,1,14,6,3,0,0.3645833333333333,0.9583333333333334,0.0
b2sum,10,1,5,1,3,0,0.4,0.9,0.0
base32,11,1,5,1,4,0,0.4318181818181818,0.9090909090909091,0.0
base64,11,1,5,1,4,0,0.4318181818181818,0.9090909090909091,0.0
basename,10,1,5,1,3,0,0.4,0.9,0.0
basenc,11,1,6,1,3,0,0.3863636363636363,0.9090909090909091,0.0
cat,11,1,5,2,3,0,0.4090909090909091,0.9090909090909091,0.0
chcon,23,3,6,4,9,1,0.4891304347826087,0.8695652173913043,0.043478260869565216
chgrp,22,3,8,6,4,1,0.4090909090909091,0.8636363636363636,0.045454545454545456
chmod,22,3,8,6,4,1,0.4090909090909091,0.8636363636363636,0.045454545454545456
chown,22,3,8,6,4,1,0.4090909090909091,0.8636363636363636,0.045454545454545456
chroot,10,1,5,1,3,0,0.4,0.9,0.0
cksum,22,1,14,1,6,0,0.3863636363636363,0.9545454545454546,0.0
comm,10,1,5,1,3,0,0.4,0.9,0.0
cp,46,3,18,19,5,1,0.4076086956521739,0.9347826086956522,0.021739130434782608
csplit,56,1,29,11,6,9,0.46875,0.9821428571428571,0.16071428571428573
cut,10,1,5,1,3,0,0.4,0.9,0.0
date,39,1,15,15,5,3,0.4615384615384615,0.9743589743589743,0.07692307692307693
dd,22,1,10,4,3,4,0.4886363636363636,0.9545454545454546,0.18181818181818182
df,37,2,13,9,9,4,0.5,0.9459459459459459,0.10810810810810811
dir,46,4,24,9,4,5,0.4021739130434782,0.9130434782608695,0.10869565217391304
dircolors,11,1,6,1,3,0,0.3863636363636363,0.9090909090909091,0.0
dirname,10,1,5,1,3,0,0.4,0.9,0.0
du,73,3,35,22,7,6,0.4246575342465753,0.958904109589041,0.0821917808219178
echo,10,1,5,1,3,0,0.4,0.9,0.0
env,17,3,5,2,3,4,0.5,0.8235294117647058,0.23529411764705882
expand,10,1,5,1,3,0,0.4,0.9,0.0
expr,59,1,28,19,6,5,0.4406779661016949,0.9830508474576272,0.0847457627118644
factor,32,1,14,14,2,1,0.40625,0.96875,0.03125
false,10,1,5,1,3,0,0.4,0.9,0.0
fmt,10,1,5,1,3,0,0.4,0.9,0.0
fold,10,1,5,1,3,0,0.4,0.9,0.0
groups,10,1,5,1,3,0,0.4,0.9,0.0
head,12,1,6,2,3,0,0.3958333333333333,0.9166666666666666,0.0
hostid,10,1,5,1,3,0,0.4,0.9,0.0
id,10,1,5,1,3,0,0.4,0.9,0.0
join,14,2,7,2,3,0,0.3571428571428571,0.8571428571428571,0.0
kill,10,1,5,1,3,0,0.4,0.9,0.0
link,10,1,5,1,3,0,0.4,0.9,0.0
ln,28,2,10,11,4,1,0.4285714285714285,0.9285714285714286,0.03571428571428571
logname,10,1,5,1,3,0,0.4,0.9,0.0
ls,46,4,24,9,4,5,0.4021739130434782,0.9130434782608695,0.10869565217391304
md5sum,12,1,7,1,3,0,0.375,0.9166666666666666,0.0
mkdir,18,1,7,6,4,0,0.4305555555555556,0.9444444444444444,0.0
mkfifo,12,1,6,2,3,0,0.3958333333333333,0.9166666666666666,0.0
mknod,12,1,6,2,3,0,0.3958333333333333,0.9166666666666666,0.0
mktemp,12,1,6,1,3,1,0.4375,0.9166666666666666,0.08333333333333333
mv,53,3,23,19,6,2,0.410377358490566,0.9433962264150944,0.03773584905660377
nice,10,1,5,1,3,0,0.4,0.9,0.0
nl,55,4,29,11,6,5,0.4045454545454545,0.9272727272727272,0.09090909090909091
nohup,10,1,5,1,3,0,0.4,0.9,0.0
nproc,11,1,5,1,3,1,0.4545454545454545,0.9090909090909091,0.09090909090909091
numfmt,10,1,5,1,3,0,0.4,0.9,0.0
od,13,1,5,4,3,0,0.4230769230769231,0.9230769230769231,0.0
paste,10,1,5,1,3,0,0.4,0.9,0.0
pathchk,13,2,6,1,4,0,0.3846153846153846,0.8461538461538461,0.0
pinky,12,2,5,2,3,0,0.375,0.8333333333333334,0.0
pr,22,1,11,4,4,2,0.4431818181818182,0.9545454545454546,0.09090909090909091
printenv,10,1,5,1,3,0,0.4,0.9,0.0
printf,15,1,5,3,6,0,0.4833333333333333,0.9333333333333333,0.0
ptx,82,1,45,25,6,5,0.4054878048780488,0.9878048780487805,0.06097560975609756
pwd,17,1,6,6,4,0,0.4411764705882353,0.9411764705882353,0.0
readlink,17,2,7,4,4,0,0.3970588235294117,0.8823529411764706,0.0
realpath,18,2,8,4,4,0,0.3888888888888889,0.8888888888888888,0.0
rm,23,3,10,5,4,1,0.391304347826087,0.8695652173913043,0.043478260869565216
rmdir,13,1,6,3,3,0,0.4038461538461538,0.9230769230769231,0.0
runcon,10,1,5,1,3,0,0.4,0.9,0.0
seq,17,1,9,4,3,0,0.3823529411764705,0.9411764705882353,0.0
sha1sum,12,1,7,1,3,0,0.375,0.9166666666666666,0.0
sha224sum,13,1,8,1,3,0,0.3653846153846153,0.9230769230769231,0.0
sha256sum,13,1,8,1,3,0,0.3653846153846153,0.9230769230769231,0.0
sha384sum,13,1,5,1,6,0,0.4807692307692308,0.9230769230769231,0.0
sha512sum,13,1,5,1,6,0,0.4807692307692308,0.9230769230769231,0.0
shred,15,1,8,3,3,0,0.3833333333333333,0.9333333333333333,0.0
shuf,15,2,6,3,4,0,0.4,0.8666666666666667,0.0
sleep,13,1,7,1,3,1,0.4230769230769231,0.9230769230769231,0.07692307692307693
sort,44,3,17,10,6,8,0.4943181818181818,0.9318181818181818,0.18181818181818182
split,15,3,7,1,3,1,0.3666666666666666,0.8,0.06666666666666667
stat,32,1,13,11,6,1,0.4453125,0.96875,0.03125
stdbuf,14,1,6,4,3,0,0.4107142857142857,0.9285714285714286,0.0
stty,18,3,9,3,3,0,0.3333333333333333,0.8333333333333334,0.0
sum,10,1,5,1,3,0,0.4,0.9,0.0
sync,10,1,5,1,3,0,0.4,0.9,0.0
tac,53,2,29,11,6,5,0.419811320754717,0.9622641509433962,0.09433962264150944
tail,29,2,15,6,3,3,0.4137931034482758,0.9310344827586207,0.10344827586206896
tee,10,1,5,1,3,0,0.4,0.9,0.0
test,24,1,14,6,3,0,0.3645833333333333,0.9583333333333334,0.0
timeout,18,1,6,1,4,6,0.6111111111111112,0.9444444444444444,0.3333333333333333
touch,36,1,13,17,4,1,0.4375,0.9722222222222222,0.027777777777777776
tr,13,1,6,1,5,0,0.4423076923076923,0.9230769230769231,0.0
true,10,1,5,1,3,0,0.4,0.9,0.0
truncate,12,1,6,2,3,0,0.3958333333333333,0.9166666666666666,0.0
tsort,12,1,7,1,3,0,0.375,0.9166666666666666,0.0
tty,10,1,5,1,3,0,0.4,0.9,0.0
uname,11,1,5,1,3,1,0.4545454545454545,0.9090909090909091,0.09090909090909091
unexpand,10,1,5,1,3,0,0.4,0.9,0.0
uniq,12,1,7,1,3,0,0.375,0.9166666666666666,0.0
unlink,10,1,5,1,3,0,0.4,0.9,0.0
uptime,15,1,7,4,3,0,0.4,0.9333333333333333,0.0
users,10,1,5,1,3,0,0.4,0.9,0.0
vdir,46,4,24,9,4,5,0.4021739130434782,0.9130434782608695,0.10869565217391304
wc,16,1,5,3,2,5,0.578125,0.9375,0.3125
