,Ground truth varnodes,Decompiler varnodes matched @ level NO_MATCH,Decompiler varnodes matched @ level OVERLAP,Decompiler varnodes matched @ level SUBSET,Decompiler varnodes matched @ level ALIGNED,Decompiler varnodes matched @ level MATCH,"Varnode average compare score [0,1]",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,24,0,12,2,6,4,0.5208333333333334,1.0,0.16666666666666666
b2sum,10,0,4,0,6,0,0.55,1.0,0.0
base32,11,0,4,0,7,0,0.5681818181818182,1.0,0.0
base64,11,0,4,0,7,0,0.5681818181818182,1.0,0.0
basename,10,0,4,0,6,0,0.55,1.0,0.0
basenc,11,0,5,0,6,0,0.5227272727272727,1.0,0.0
cat,11,0,4,0,6,1,0.5909090909090909,1.0,0.09090909090909091
chcon,23,0,4,2,14,3,0.6739130434782609,1.0,0.13043478260869565
chgrp,22,0,4,3,9,6,0.6931818181818182,1.0,0.2727272727272727
chmod,22,0,4,3,9,6,0.6931818181818182,1.0,0.2727272727272727
chown,22,0,4,3,9,6,0.6931818181818182,1.0,0.2727272727272727
chroot,10,0,4,0,6,0,0.55,1.0,0.0
cksum,22,0,13,0,9,0,0.4545454545454545,1.0,0.0
comm,10,0,4,0,6,0,0.55,1.0,0.0
cp,46,0,14,8,10,14,0.6304347826086957,1.0,0.30434782608695654
csplit,56,0,27,10,10,9,0.5044642857142857,1.0,0.16071428571428573
cut,10,0,4,0,6,0,0.55,1.0,0.0
date,39,0,13,14,8,4,0.5192307692307693,1.0,0.10256410256410256
dd,22,0,8,3,7,4,0.5795454545454546,1.0,0.18181818181818182
df,37,0,8,8,12,9,0.6486486486486487,1.0,0.24324324324324326
dir,46,0,20,7,12,7,0.532608695652174,1.0,0.15217391304347827
dircolors,11,0,4,0,7,0,0.5681818181818182,1.0,0.0
dirname,10,0,4,0,6,0,0.55,1.0,0.0
du,73,0,33,20,12,8,0.4828767123287671,1.0,0.1095890410958904
echo,10,0,4,0,6,0,0.55,1.0,0.0
env,17,0,4,1,8,4,0.6764705882352942,1.0,0.23529411764705882
expand,10,0,4,0,6,0,0.55,1.0,0.0
expr,59,0,27,18,9,5,0.4661016949152542,1.0,0.0847457627118644
factor,32,0,12,13,6,1,0.46875,1.0,0.03125
false,10,0,4,0,6,0,0.55,1.0,0.0
fmt,10,0,4,0,6,0,0.55,1.0,0.0
fold,10,0,4,0,6,0,0.55,1.0,0.0
groups,10,0,4,0,6,0,0.55,1.0,0.0
head,12,0,4,0,6,2,0.625,1.0,0.16666666666666666
hostid,10,0,4,0,6,0,0.55,1.0,0.0
id,10,0,4,0,6,0,0.55,1.0,0.0
join,14,0,5,1,8,0,0.5535714285714286,1.0,0.0
kill,10,0,4,0,6,0,0.55,1.0,0.0
link,10,0,4,0,6,0,0.55,1.0,0.0
ln,28,0,6,5,7,10,0.6875,1.0,0.35714285714285715
logname,10,0,4,0,6,0,0.55,1.0,0.0
ls,46,0,20,7,12,7,0.532608695652174,1.0,0.15217391304347827
md5sum,12,0,6,0,6,0,0.5,1.0,0.0
mkdir,18,0,4,3,7,4,0.6527777777777778,1.0,0.2222222222222222
mkfifo,12,0,4,0,6,2,0.625,1.0,0.16666666666666666
mknod,12,0,4,0,6,2,0.625,1.0,0.16666666666666666
mktemp,12,0,4,0,6,2,0.625,1.0,0.16666666666666666
mv,53,0,17,8,11,17,0.6320754716981132,1.0,0.32075471698113206
nice,10,0,4,0,6,0,0.55,1.0,0.0
nl,55,0,27,10,13,5,0.4818181818181818,1.0,0.09090909090909091
nohup,10,0,4,0,6,0,0.55,1.0,0.0
nproc,11,0,4,0,6,1,0.5909090909090909,1.0,0.09090909090909091
numfmt,10,0,4,0,6,0,0.55,1.0,0.0
od,13,0,4,2,6,1,0.5769230769230769,1.0,0.07692307692307693
paste,10,0,4,0,6,0,0.55,1.0,0.0
pathchk,13,0,4,0,8,1,0.6153846153846154,1.0,0.07692307692307693
pinky,12,0,4,0,7,1,0.6041666666666666,1.0,0.08333333333333333
pr,22,0,9,3,7,3,0.5454545454545454,1.0,0.13636363636363635
printenv,10,0,4,0,6,0,0.55,1.0,0.0
printf,15,0,4,2,9,0,0.5833333333333334,1.0,0.0
ptx,82,0,33,23,20,6,0.4969512195121951,1.0,0.07317073170731707
pwd,17,0,4,1,7,5,0.6911764705882353,1.0,0.29411764705882354
readlink,17,0,6,3,7,1,0.5441176470588235,1.0,0.058823529411764705
realpath,18,0,6,3,7,2,0.5694444444444444,1.0,0.1111111111111111
rm,23,0,5,3,9,6,0.6739130434782609,1.0,0.2608695652173913
rmdir,13,0,4,2,6,1,0.5769230769230769,1.0,0.07692307692307693
runcon,10,0,4,0,6,0,0.55,1.0,0.0
seq,17,0,8,3,6,0,0.4705882352941176,1.0,0.0
sha1sum,12,0,6,0,6,0,0.5,1.0,0.0
sha224sum,13,0,7,0,6,0,0.4807692307692308,1.0,0.0
sha256sum,13,0,7,0,6,0,0.4807692307692308,1.0,0.0
sha384sum,13,0,4,0,9,0,0.5961538461538461,1.0,0.0
sha512sum,13,0,4,0,9,0,0.5961538461538461,1.0,0.0
shred,15,0,6,0,6,3,0.6,1.0,0.2
shuf,15,0,4,1,8,2,0.6333333333333333,1.0,0.13333333333333333
sleep,13,0,6,0,6,1,0.5384615384615384,1.0,0.07692307692307693
sort,44,1,13,7,13,10,0.6022727272727273,0.9772727272727273,0.22727272727272727
split,15,0,5,0,9,1,0.6,1.0,0.06666666666666667
stat,32,0,12,8,9,3,0.5234375,1.0,0.09375
stdbuf,14,0,4,2,7,1,0.5892857142857143,1.0,0.07142857142857142
stty,18,0,7,2,9,0,0.5277777777777778,1.0,0.0
sum,10,0,4,0,6,0,0.55,1.0,0.0
sync,10,0,4,0,6,0,0.55,1.0,0.0
tac,53,0,27,10,11,5,0.4716981132075472,1.0,0.09433962264150944
tail,29,0,8,2,7,12,0.6982758620689655,1.0,0.41379310344827586
tee,10,0,4,0,6,0,0.55,1.0,0.0
test,24,0,12,2,6,4,0.5208333333333334,1.0,0.16666666666666666
timeout,18,0,5,0,7,6,0.6944444444444444,1.0,0.3333333333333333
touch,36,0,10,16,7,3,0.5208333333333334,1.0,0.08333333333333333
tr,13,0,5,0,8,0,0.5576923076923077,1.0,0.0
true,10,0,4,0,6,0,0.55,1.0,0.0
truncate,12,0,4,0,6,2,0.625,1.0,0.16666666666666666
tsort,12,0,6,0,6,0,0.5,1.0,0.0
tty,10,0,4,0,6,0,0.55,1.0,0.0
uname,11,0,4,0,6,1,0.5909090909090909,1.0,0.09090909090909091
unexpand,10,0,4,0,6,0,0.55,1.0,0.0
uniq,12,0,6,0,6,0,0.5,1.0,0.0
unlink,10,0,4,0,6,0,0.55,1.0,0.0
uptime,15,0,6,3,6,0,0.5,1.0,0.0
users,10,0,4,0,6,0,0.55,1.0,0.0
vdir,46,0,20,7,12,7,0.532608695652174,1.0,0.15217391304347827
wc,16,0,4,1,5,6,0.703125,1.0,0.375
who,14,0,4,2,7,1,0.5892857142857143,1.0,0.07142857142857142
whoami,10,0,4,0,6,0,0.55,1.0,0.0
yes,10,0,4,0,6,0,0.55,1.0,0.0
