,Ground truth varnodes,Varnodes matched @ level=NO_MATCH,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,"Varnode average comparison score [0,1]"
[,266,1,18,5,128,114,0.8157894736842105
b2sum,237,1,8,7,118,103,0.8312236286919831
base32,160,2,6,2,82,68,0.825
base64,160,1,6,2,82,69,0.83125
basename,129,1,6,2,77,43,0.8003875968992248
basenc,219,5,8,2,106,98,0.8242009132420092
cat,164,1,6,2,98,57,0.8109756097560976
chcon,363,2,14,4,234,109,0.7988980716253443
chgrp,339,2,11,5,204,117,0.8119469026548672
chmod,347,3,12,7,211,114,0.803314121037464
chown,359,2,12,5,209,131,0.8168523676880223
chroot,198,1,8,2,87,100,0.8497474747474747
cksum,780,115,24,13,396,232,0.6942307692307692
comm,171,1,11,3,103,53,0.7865497076023392
cp,703,3,28,12,357,303,0.8303698435277382
csplit,1003,8,41,15,544,395,0.8182951146560319
cut,192,1,7,2,117,65,0.8098958333333334
date,747,4,38,26,387,292,0.8095716198125836
dd,493,4,18,9,250,212,0.8286004056795132
df,646,1,20,11,287,327,0.8556501547987616
dir,1037,3,52,13,560,409,0.8182256509161041
dircolors,190,2,6,2,115,65,0.8092105263157895
dirname,125,1,6,2,74,42,0.8
du,1520,10,54,28,842,586,0.819078947368421
echo,118,1,6,2,71,38,0.7944915254237288
env,201,2,11,3,102,83,0.8146766169154229
expand,152,1,7,2,90,52,0.8042763157894737
expr,932,8,37,25,499,363,0.8143776824034334
factor,511,23,24,22,191,251,0.8047945205479452
false,109,1,6,2,66,34,0.7889908256880734
fmt,186,1,6,2,110,67,0.8172043010752689
fold,143,1,7,2,78,55,0.8129370629370629
groups,142,1,6,2,80,53,0.8133802816901409
head,215,1,13,2,116,83,0.8104651162790698
hostid,118,1,6,4,72,35,0.7838983050847458
id,196,1,7,2,102,84,0.8329081632653061
join,260,1,8,3,151,97,0.8221153846153846
kill,148,3,8,2,79,56,0.7989864864864865
link,117,1,6,4,71,35,0.7841880341880342
ln,439,2,12,7,233,185,0.8342824601366743
logname,118,1,6,4,72,35,0.7838983050847458
ls,1037,3,52,13,560,409,0.8182256509161041
md5sum,217,2,12,2,120,81,0.8064516129032258
mkdir,306,2,12,6,149,137,0.8325163398692811
mkfifo,148,2,7,2,86,51,0.7989864864864865
mknod,165,2,7,2,89,65,0.8151515151515152
mktemp,164,2,6,2,94,60,0.8109756097560976
mv,773,4,30,12,433,294,0.8179172056921087
nice,130,1,6,2,73,48,0.8096153846153846
nl,917,11,36,15,483,372,0.8187022900763359
nohup,162,1,7,4,105,45,0.7870370370370371
nproc,139,1,6,2,77,53,0.814748201438849
numfmt,291,1,12,3,142,133,0.8384879725085911
od,459,2,20,7,209,221,0.8415032679738562
paste,142,1,6,2,85,48,0.8045774647887324
pathchk,141,1,6,2,88,44,0.7978723404255319
pinky,182,1,11,2,110,58,0.7925824175824175
pr,543,2,16,8,332,185,0.8139963167587477
printenv,119,1,6,2,68,42,0.8025210084033614
printf,283,1,17,7,136,122,0.818904593639576
ptx,1147,8,44,28,597,470,0.8219267654751525
pwd,143,1,6,3,87,46,0.798951048951049
readlink,249,1,9,5,137,97,0.821285140562249
realpath,254,1,8,5,138,102,0.8267716535433071
rm,362,2,10,5,222,123,0.81353591160221
rmdir,234,1,8,5,115,105,0.8365384615384616
runcon,121,1,6,2,75,37,0.7913223140495868
seq,279,1,20,6,128,124,0.8172043010752689
sha1sum,215,2,9,3,116,85,0.8174418604651162
sha224sum,225,2,12,3,119,89,0.8122222222222222
sha256sum,225,2,12,3,119,89,0.8122222222222222
sha384sum,381,3,7,3,278,90,0.791994750656168
sha512sum,381,3,7,3,278,90,0.791994750656168
shred,370,2,18,2,203,145,0.8182432432432433
shuf,374,1,7,3,218,145,0.8335561497326203
sleep,143,1,8,4,80,50,0.7972027972027972
sort,847,7,34,12,467,327,0.8167060212514758
split,297,2,12,2,159,122,0.8257575757575758
stat,608,5,21,14,321,247,0.8223684210526315
stdbuf,267,1,8,6,128,124,0.8426966292134831
stty,301,1,13,5,138,144,0.8413621262458472
sum,278,2,12,2,140,122,0.8309352517985612
sync,133,1,7,2,81,42,0.793233082706767
tac,941,8,37,15,512,369,0.8180127523910733
tail,423,1,18,5,220,179,0.8297872340425532
tee,154,1,8,2,93,50,0.797077922077922
test,260,0,17,4,128,111,0.8201923076923077
timeout,175,2,9,2,89,73,0.8171428571428572
touch,602,3,33,25,305,236,0.8064784053156147
tr,241,1,8,3,117,112,0.8433609958506224
true,109,1,6,2,66,34,0.7889908256880734
truncate,145,1,6,2,83,53,0.8120689655172414
tsort,162,1,9,4,96,52,0.7916666666666666
tty,114,1,6,2,69,36,0.7916666666666666
uname,120,2,6,2,71,39,0.7895833333333333
unexpand,158,1,6,2,92,57,0.8132911392405063
uniq,202,1,9,2,115,75,0.8143564356435643
unlink,117,1,6,4,71,35,0.7841880341880342
uptime,353,1,11,10,218,113,0.8052407932011332
users,133,1,6,4,81,41,0.7913533834586466
vdir,1037,3,52,13,560,409,0.8182256509161041
wc,268,1,7,5,153,102,0.8246268656716418
who,282,1,9,5,144,123,0.8359929078014184
whoami,120,1,6,4,74,35,0.7833333333333333
yes,132,1,6,4,80,41,0.7916666666666666
