,Ground truth varnodes,Varnodes matched @ level=OVERLAP,Varnodes matched @ level=SUBSET,Varnodes matched @ level=ALIGNED,Varnodes matched @ level=MATCH,"Varnode average comparison score [0,1]"
[,266,0,0,0,266,1.0
b2sum,237,0,0,0,237,1.0
base32,160,0,0,0,160,1.0
base64,160,0,0,0,160,1.0
basename,129,0,0,0,129,1.0
basenc,219,0,0,0,219,1.0
cat,164,0,0,0,164,1.0
chcon,363,0,0,0,363,1.0
chgrp,339,0,0,0,339,1.0
chmod,347,0,0,0,347,1.0
chown,359,0,0,0,359,1.0
chroot,198,1,0,0,197,0.9962121212121212
cksum,780,0,0,0,678,0.8692307692307693
comm,171,0,0,0,171,1.0
cp,703,2,0,3,698,0.9967994310099573
csplit,1003,1,1,6,995,0.997258225324028
cut,192,0,0,0,192,1.0
date,747,8,2,2,735,0.9899598393574297
dd,493,0,0,0,493,1.0
df,646,2,0,0,644,0.9976780185758514
dir,1037,4,3,0,1030,0.9956605593056895
dircolors,190,0,0,0,190,1.0
dirname,125,0,0,0,125,1.0
du,1520,2,2,6,1510,0.9973684210526316
echo,118,0,0,0,118,1.0
env,201,0,0,0,201,1.0
expand,152,0,0,0,152,1.0
expr,932,1,1,6,924,0.9970493562231759
factor,488,1,0,1,486,0.9979508196721312
false,109,0,0,0,109,1.0
fmt,186,0,0,0,186,1.0
fold,143,0,0,0,143,1.0
groups,142,0,0,0,142,1.0
head,215,0,0,0,215,1.0
hostid,118,0,0,0,118,1.0
id,196,0,0,0,196,1.0
join,260,0,0,0,260,1.0
kill,148,0,0,0,148,1.0
link,117,0,0,0,117,1.0
ln,439,0,0,0,439,1.0
logname,118,0,0,0,118,1.0
ls,1037,4,3,0,1030,0.9956605593056895
md5sum,217,0,0,0,217,1.0
mkdir,306,1,0,0,305,0.9975490196078431
mkfifo,148,0,0,0,148,1.0
mknod,165,0,0,0,165,1.0
mktemp,164,0,0,0,164,1.0
mv,773,1,0,3,769,0.9980595084087969
nice,130,0,0,0,130,1.0
nl,917,1,1,6,909,0.9970010905125409
nohup,162,0,0,0,162,1.0
nproc,139,0,0,0,139,1.0
numfmt,291,0,0,0,291,1.0
od,459,1,0,8,450,0.9940087145969498
paste,142,0,0,0,142,1.0
pathchk,141,0,0,0,141,1.0
pinky,182,0,1,0,181,0.9972527472527473
pr,543,0,1,0,542,0.9990791896869244
printenv,119,0,0,0,119,1.0
printf,283,3,0,0,280,0.9920494699646644
ptx,1147,2,1,7,1137,0.9967306015693113
pwd,143,0,0,0,143,1.0
readlink,249,0,0,0,249,1.0
realpath,254,0,0,0,254,1.0
rm,362,0,0,0,362,1.0
rmdir,234,0,0,0,234,1.0
runcon,121,0,0,0,121,1.0
seq,279,0,0,0,279,1.0
sha1sum,215,0,0,0,215,1.0
sha224sum,225,0,0,0,225,1.0
sha256sum,225,0,0,0,225,1.0
sha384sum,381,0,0,0,381,1.0
sha512sum,381,0,0,0,381,1.0
shred,370,0,1,0,369,0.9986486486486487
shuf,374,0,0,0,374,1.0
sleep,143,0,0,0,143,1.0
sort,847,2,0,0,845,0.9982290436835891
split,297,1,0,0,296,0.9974747474747475
stat,608,0,1,0,607,0.9991776315789473
stdbuf,267,0,0,0,267,1.0
stty,301,0,0,0,301,1.0
sum,278,0,0,0,278,1.0
sync,133,0,0,0,133,1.0
tac,941,1,1,6,933,0.9970775770456961
tail,423,1,0,0,422,0.99822695035461
tee,154,0,0,0,154,1.0
test,260,0,0,0,260,1.0
timeout,175,0,0,0,175,1.0
touch,602,8,1,2,591,0.9883720930232558
tr,241,0,0,0,241,1.0
true,109,0,0,0,109,1.0
truncate,145,0,0,0,145,1.0
tsort,162,0,0,0,162,1.0
tty,114,0,0,0,114,1.0
uname,120,0,0,0,120,1.0
unexpand,158,0,0,0,158,1.0
uniq,202,0,0,0,202,1.0
unlink,117,0,0,0,117,1.0
uptime,353,0,1,1,351,0.9978753541076487
users,133,0,0,0,133,1.0
vdir,1037,4,3,0,1030,0.9956605593056895
wc,338,0,0,0,268,0.7928994082840237
who,282,0,0,0,282,1.0
whoami,120,0,0,0,120,1.0
yes,132,0,0,0,132,1.0
