,Ground truth varnodes (decomposed),Varnodes matched @ level=NO_MATCH (decomposed),Varnodes matched @ level=OVERLAP (decomposed),Varnodes matched @ level=SUBSET (decomposed),Varnodes matched @ level=ALIGNED (decomposed),Varnodes matched @ level=MATCH (decomposed),"Varnode average comparison score [0,1] (decomposed)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,3141,0,0,0,0,3141,1.0,1.0,1.0
nohup,874,0,0,0,0,874,1.0,1.0,1.0
pinky,3335,224,0,0,0,3111,0.9328335832083958,0.9328335832083958,0.9328335832083958
csplit,5532,295,2,0,6,5229,0.9461315979754158,0.9466738973246566,0.9452277657266811
fmt,15915,4000,0,0,0,11915,0.748664781652529,0.748664781652529,0.748664781652529
df,3581,0,7,0,0,3574,0.9985339290700922,1.0,0.9980452387601229
join,1004,0,0,0,0,1004,1.0,1.0,1.0
expr,5727,302,2,0,6,5417,0.9467434957220184,0.9472673301903265,0.9458704382748385
seq,1136,0,0,0,0,1136,1.0,1.0,1.0
unexpand,874,0,0,0,0,874,1.0,1.0,1.0
tsort,876,0,0,0,0,876,1.0,1.0,1.0
tee,9070,0,0,0,0,9070,1.0,1.0,1.0
base64,1197,0,0,0,0,1197,1.0,1.0,1.0
sum,2368,0,0,0,0,2368,1.0,1.0,1.0
cksum,31779,161,0,0,0,31618,0.9949337612889014,0.9949337612889014,0.9949337612889014
wc,33888,9,0,0,0,33879,0.999734419263456,0.9997344192634561,0.9997344192634561
