,Ground truth varnodes (decomposed) (metatype=FLOAT),Varnodes matched @ level=NO_MATCH (decomposed) (metatype=FLOAT),Varnodes matched @ level=OVERLAP (decomposed) (metatype=FLOAT),Varnodes matched @ level=SUBSET (decomposed) (metatype=FLOAT),Varnodes matched @ level=ALIGNED (decomposed) (metatype=FLOAT),Varnodes matched @ level=MATCH (decomposed) (metatype=FLOAT),"Varnode average compare score [0,1] (decomposed) (metatype=FLOAT)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,2,0,1,0,1,0,0.5,1.0,0.0
nohup,0,0,0,0,0,0,,,
pinky,0,0,0,0,0,0,,,
csplit,0,0,0,0,0,0,,,
fmt,0,0,0,0,0,0,,,
df,17,4,4,0,4,5,0.5294117647058824,0.7647058823529411,0.29411764705882354
join,0,0,0,0,0,0,,,
expr,0,0,0,0,0,0,,,
seq,14,0,13,0,1,0,0.2857142857142857,1.0,0.0
unexpand,0,0,0,0,0,0,,,
tsort,0,0,0,0,0,0,,,
tee,0,0,0,0,0,0,,,
base64,0,0,0,0,0,0,,,
sum,3,0,3,0,0,0,0.25,1.0,0.0
cksum,3,0,3,0,0,0,0.25,1.0,0.0
wc,4,0,0,0,4,0,0.75,1.0,0.0
