,Ground truth varnodes (decomposed) (metatype=INT),Varnodes matched @ level=NO_MATCH (decomposed) (metatype=INT),Varnodes matched @ level=OVERLAP (decomposed) (metatype=INT),Varnodes matched @ level=SUBSET (decomposed) (metatype=INT),Varnodes matched @ level=ALIGNED (decomposed) (metatype=INT),Varnodes matched @ level=MATCH (decomposed) (metatype=INT),"Varnode average compare score [0,1] (decomposed) (metatype=INT)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,2845,224,257,0,682,1682,0.793585237258348,0.9212653778558875,0.5912126537785589
nohup,767,47,98,0,335,287,0.733702737940026,0.9387222946544981,0.3741851368970013
pinky,3214,47,107,0,2460,600,0.7690572495332918,0.9853764779091475,0.18668326073428748
csplit,4086,444,272,0,1102,2268,0.7739843367596672,0.8913362701908958,0.5550660792951542
fmt,13788,47,8112,0,5330,299,0.458695967507978,0.9965912387583405,0.02168552364374819
df,3127,47,242,0,1860,978,0.7782219379597057,0.9849696194435561,0.3127598337064279
join,854,47,120,0,364,323,0.7330210772833724,0.9449648711943794,0.37822014051522246
expr,4293,590,250,0,1250,2203,0.746098299557419,0.8625669694852085,0.5131609597018402
seq,921,47,138,0,398,338,0.7285559174809989,0.9489685124864278,0.36699239956568946
unexpand,769,47,104,0,319,299,0.7337451235370611,0.9388816644993498,0.38881664499349805
tsort,757,47,104,0,317,289,0.7301849405548216,0.9379128137384413,0.3817701453104359
tee,8961,47,108,0,8514,292,0.7481865863184912,0.9947550496596362,0.03258564892311126
base64,1089,47,108,0,629,305,0.7380624426078971,0.9568411386593205,0.2800734618916437
sum,2233,63,104,0,1723,343,0.7439543215405284,0.9717868338557993,0.1536050156739812
cksum,31526,8412,19409,0,3193,512,0.2461143183404174,0.7331726194252363,0.016240563344541013
wc,33696,62,124,0,33091,419,0.7498887108262108,0.9981600189933523,0.012434710351377018
