,Ground truth varnodes (decomposed) (metatype=INT),Varnodes matched @ level=NO_MATCH (decomposed) (metatype=INT),Varnodes matched @ level=OVERLAP (decomposed) (metatype=INT),Varnodes matched @ level=SUBSET (decomposed) (metatype=INT),Varnodes matched @ level=ALIGNED (decomposed) (metatype=INT),Varnodes matched @ level=MATCH (decomposed) (metatype=INT),"Varnode average compare score [0,1] (decomposed) (metatype=INT)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
[,1010,0,0,0,0,1010,1.0,1.0,1.0
b2sum,1813,0,0,0,0,1813,1.0,1.0,1.0
base32,1061,0,0,0,0,1061,1.0,1.0,1.0
base64,1089,0,0,0,0,1089,1.0,1.0,1.0
basename,739,0,0,0,0,739,1.0,1.0,1.0
basenc,1707,0,0,0,0,1707,1.0,1.0,1.0
cat,817,0,0,0,0,817,1.0,1.0,1.0
chcon,17106,0,0,0,0,17106,1.0,1.0,1.0
chgrp,1026,0,0,0,0,1026,1.0,1.0,1.0
chmod,1080,0,0,0,0,1080,1.0,1.0,1.0
chown,1059,0,0,0,0,1059,1.0,1.0,1.0
chroot,799,0,1,0,0,798,0.9990613266583228,1.0,0.9987484355444305
cksum,31526,146,0,0,0,31380,0.9953689018587832,0.9953689018587832,0.9953689018587832
comm,870,0,0,0,0,870,1.0,1.0,1.0
cp,3616,0,2,0,2,3612,0.9994469026548672,1.0,0.9988938053097345
csplit,4086,295,2,0,6,3783,0.9270680372001958,0.9278022515907979,0.9258443465491923
cut,4899,0,0,0,0,4899,1.0,1.0,1.0
date,8190,8,6,0,0,8176,0.9984737484737484,0.999023199023199,0.9982905982905983
dd,6097,0,0,0,0,6097,1.0,1.0,1.0
df,3127,0,7,0,0,3120,0.998321074512312,1.0,0.9977614326830828
dir,38592,1255,21,0,0,37316,0.9670721911276948,0.9674803067993366,0.9669361525704809
dircolors,5577,3,0,0,0,5574,0.9994620763851532,0.9994620763851533,0.9994620763851533
dirname,737,0,0,0,0,737,1.0,1.0,1.0
du,6341,295,3,0,6,6037,0.9528859801293172,0.9534773695000789,0.9520580350102508
echo,725,0,0,0,0,725,1.0,1.0,1.0
env,1323,0,0,0,0,1323,1.0,1.0,1.0
expand,796,0,0,0,0,796,1.0,1.0,1.0
expr,4293,302,2,0,6,3983,0.9289541113440484,0.9296529233636152,0.9277894246447705
factor,4466,16,5,0,0,4445,0.9955776981639052,0.9964173757277206,0.9952978056426333
false,718,0,0,0,0,718,1.0,1.0,1.0
fmt,13788,4000,0,0,0,9788,0.7098926602843052,0.7098926602843052,0.7098926602843052
fold,793,0,0,0,0,793,1.0,1.0,1.0
groups,764,0,0,0,0,764,1.0,1.0,1.0
head,33664,0,0,0,0,33664,1.0,1.0,1.0
hostid,733,0,0,0,0,733,1.0,1.0,1.0
id,872,0,0,0,0,872,1.0,1.0,1.0
join,854,0,0,0,0,854,1.0,1.0,1.0
kill,1222,0,0,0,0,1222,1.0,1.0,1.0
link,732,0,0,0,0,732,1.0,1.0,1.0
ln,1705,0,0,0,0,1705,1.0,1.0,1.0
logname,732,0,0,0,0,732,1.0,1.0,1.0
ls,38592,1255,21,0,0,37316,0.9670721911276948,0.9674803067993366,0.9669361525704809
md5sum,1037,0,0,0,0,1037,1.0,1.0,1.0
mkdir,3057,0,2,0,0,3055,0.9995093228655544,1.0,0.9993457638207393
mkfifo,837,0,0,0,0,837,1.0,1.0,1.0
mknod,849,0,0,0,0,849,1.0,1.0,1.0
mktemp,853,0,0,0,0,853,1.0,1.0,1.0
mv,3668,0,1,0,2,3665,0.9996592148309704,1.0,0.9991821155943293
nice,741,0,0,0,0,741,1.0,1.0,1.0
nl,4682,316,2,0,6,4358,0.9318667236223837,0.9325074754378471,0.9307988039299445
nohup,767,0,0,0,0,767,1.0,1.0,1.0
nproc,768,0,0,0,0,768,1.0,1.0,1.0
numfmt,1088,0,0,0,0,1088,1.0,1.0,1.0
od,11712,0,1,0,0,11711,0.999935963114754,1.0,0.9999146174863388
paste,753,0,0,0,0,753,1.0,1.0,1.0
pathchk,771,0,0,0,0,771,1.0,1.0,1.0
pinky,3214,224,0,0,0,2990,0.9303049159925326,0.9303049159925326,0.9303049159925326
pr,2634,0,0,0,0,2634,1.0,1.0,1.0
printenv,732,0,0,0,0,732,1.0,1.0,1.0
printf,3173,0,3,0,0,3170,0.9992908919004098,1.0,0.9990545225338796
ptx,5754,325,7,0,6,5416,0.9423444560305874,0.9435175530066041,0.9412582551268682
pwd,863,0,0,0,0,863,1.0,1.0,1.0
readlink,949,0,0,0,0,949,1.0,1.0,1.0
realpath,845,0,0,0,0,845,1.0,1.0,1.0
rm,1032,0,0,0,0,1032,1.0,1.0,1.0
rmdir,2886,0,0,0,0,2886,1.0,1.0,1.0
runcon,737,0,0,0,0,737,1.0,1.0,1.0
seq,921,0,0,0,0,921,1.0,1.0,1.0
sha1sum,1046,0,0,0,0,1046,1.0,1.0,1.0
sha224sum,1182,0,0,0,0,1182,1.0,1.0,1.0
sha256sum,1190,0,0,0,0,1190,1.0,1.0,1.0
sha384sum,1466,0,0,0,0,1466,1.0,1.0,1.0
sha512sum,1498,0,0,0,0,1498,1.0,1.0,1.0
shred,3159,631,0,0,0,2528,0.8002532446976891,0.8002532446976891,0.8002532446976891
shuf,942,0,0,0,0,942,1.0,1.0,1.0
sleep,748,0,0,0,0,748,1.0,1.0,1.0
sort,11317,9,1,0,0,11307,0.999138464257312,0.9992047362375188,0.999116373597243
split,1369,0,2,0,0,1367,0.9989043097151206,1.0,0.9985390796201608
stat,2845,0,0,0,0,2845,1.0,1.0,1.0
stdbuf,1931,0,0,0,0,1931,1.0,1.0,1.0
stty,1527,0,0,0,0,1527,1.0,1.0,1.0
sum,2233,0,0,0,0,2233,1.0,1.0,1.0
sync,751,0,0,0,0,751,1.0,1.0,1.0
tac,12325,302,2,0,6,12015,0.9752535496957404,0.9754969574036512,0.9748478701825558
tail,33975,0,6,0,0,33969,0.999867549668874,1.0,0.9998233995584989
tee,8961,0,0,0,0,8961,1.0,1.0,1.0
test,959,0,0,0,0,959,1.0,1.0,1.0
timeout,1210,0,0,0,0,1210,1.0,1.0,1.0
touch,6684,8,6,0,0,6670,0.9981298623578696,0.9988031119090365,0.9979054458408139
tr,10057,0,0,0,0,10057,1.0,1.0,1.0
true,718,0,0,0,0,718,1.0,1.0,1.0
truncate,801,0,0,0,0,801,1.0,1.0,1.0
tsort,757,0,0,0,0,757,1.0,1.0,1.0
tty,731,0,0,0,0,731,1.0,1.0,1.0
uname,1155,0,0,0,0,1155,1.0,1.0,1.0
unexpand,769,0,0,0,0,769,1.0,1.0,1.0
uniq,818,0,0,0,0,818,1.0,1.0,1.0
unlink,732,0,0,0,0,732,1.0,1.0,1.0
uptime,10247,0,0,0,0,10247,1.0,1.0,1.0
users,739,0,0,0,0,739,1.0,1.0,1.0
vdir,38592,1255,21,0,0,37316,0.9670721911276948,0.9674803067993366,0.9669361525704809
wc,33696,9,0,0,0,33687,0.999732905982906,0.999732905982906,0.999732905982906
who,1345,0,0,0,0,1345,1.0,1.0,1.0
whoami,734,0,0,0,0,734,1.0,1.0,1.0
yes,742,0,0,0,0,742,1.0,1.0,1.0
