,Ground truth varnodes (decomposed) (metatype=INT),Varnodes matched @ level=NO_MATCH (decomposed) (metatype=INT),Varnodes matched @ level=OVERLAP (decomposed) (metatype=INT),Varnodes matched @ level=SUBSET (decomposed) (metatype=INT),Varnodes matched @ level=ALIGNED (decomposed) (metatype=INT),Varnodes matched @ level=MATCH (decomposed) (metatype=INT),"Varnode average compare score [0,1] (decomposed) (metatype=INT)"
[,1010,379,116,0,171,344,0.4962871287128713
b2sum,1813,567,169,0,719,358,0.5182018753447325
base32,1061,623,77,0,56,305,0.3451932139491046
base64,1089,655,73,0,56,305,0.33539944903581265
basename,739,335,69,0,52,283,0.45906630581867386
basenc,1707,1236,70,0,75,326,0.23418277680140598
cat,817,362,73,0,82,300,0.46481028151774784
chcon,17106,390,70,0,16271,375,0.7363352040219806
chgrp,1026,418,78,0,168,362,0.4946393762183236
chmod,1080,453,80,0,172,375,0.48518518518518516
chown,1059,420,77,0,192,370,0.5035410764872521
chroot,799,335,70,0,79,315,0.4903003754693367
cksum,31526,11591,17069,0,2354,512,0.20759849013512657
comm,870,339,85,0,146,300,0.4951149425287356
cp,3616,1744,244,0,304,1324,0.44607300884955753
csplit,4086,774,181,0,863,2268,0.7245472344591287
cut,4899,347,69,0,4181,302,0.7052459685650133
date,8190,2255,202,0,2841,2892,0.6194444444444445
dd,6097,1967,112,0,2915,1103,0.5440790552730851
df,3127,437,170,0,1620,900,0.6899584266069715
dir,38592,8808,167,0,15943,13674,0.6652415008291874
dircolors,5577,5150,72,0,64,291,0.06401291016675632
dirname,737,332,69,0,51,285,0.46200814111261873
du,6341,947,277,0,1715,3402,0.7502759817063555
echo,725,323,69,0,50,283,0.46586206896551724
env,1323,713,69,0,162,379,0.39134542705971276
expand,796,367,69,0,66,294,0.4532035175879397
expr,4293,901,192,0,997,2203,0.698520847891917
factor,4491,3399,305,0,174,613,0.1825317301269205
false,718,323,69,0,45,281,0.4623955431754875
fmt,13788,13343,69,0,77,299,0.027125036263417463
fold,793,370,69,0,58,296,0.44987389659520804
groups,764,350,69,0,56,289,0.4558246073298429
head,33664,359,92,0,24705,8508,0.8038186192965779
hostid,733,329,69,0,54,281,0.4621418826739427
id,872,406,69,0,95,302,0.4478211009174312
join,854,347,71,0,113,323,0.49824355971896955
kill,1222,763,69,0,76,314,0.31771685761047463
link,732,329,69,0,53,281,0.46174863387978143
ln,1705,544,135,0,138,888,0.6013196480938416
logname,732,329,69,0,53,281,0.46174863387978143
