,Ground truth varnodes (decomposed) (metatype=POINTER),Varnodes matched @ level=NO_MATCH (decomposed) (metatype=POINTER),Varnodes matched @ level=OVERLAP (decomposed) (metatype=POINTER),Varnodes matched @ level=SUBSET (decomposed) (metatype=POINTER),Varnodes matched @ level=ALIGNED (decomposed) (metatype=POINTER),Varnodes matched @ level=MATCH (decomposed) (metatype=POINTER),"Varnode average compare score [0,1] (decomposed) (metatype=POINTER)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,286,1,44,0,102,139,0.791958041958042,0.9965034965034965,0.486013986013986
nohup,106,0,26,0,50,30,0.6981132075471698,1.0,0.2830188679245283
pinky,120,0,29,0,58,33,0.6979166666666666,1.0,0.275
csplit,1424,10,304,0,1022,88,0.6534410112359551,0.9929775280898876,0.06179775280898876
fmt,2126,0,2040,0,52,34,0.2742238946378175,1.0,0.01599247412982126
df,424,0,83,0,138,203,0.7718160377358491,1.0,0.47877358490566035
join,149,0,45,0,60,44,0.6728187919463087,1.0,0.2953020134228188
expr,1407,10,288,0,1020,89,0.658137882018479,0.9928926794598436,0.06325515280739161
seq,193,0,32,0,59,102,0.7992227979274611,1.0,0.5284974093264249
unexpand,104,0,34,0,45,25,0.6466346153846154,1.0,0.2403846153846154
tsort,118,0,27,0,56,35,0.7097457627118644,1.0,0.2966101694915254
tee,108,0,37,0,47,24,0.6342592592592593,1.0,0.2222222222222222
base64,107,0,32,0,44,31,0.6728971962616822,1.0,0.2897196261682243
sum,131,0,35,0,55,41,0.6946564885496184,1.0,0.31297709923664124
cksum,249,15,99,0,78,57,0.5632530120481928,0.9397590361445783,0.2289156626506024
wc,176,16,40,0,73,47,0.6349431818181818,0.9090909090909091,0.26704545454545453
