,Ground truth varnodes (decomposed) (metatype=POINTER),Varnodes matched @ level=NO_MATCH (decomposed) (metatype=POINTER),Varnodes matched @ level=OVERLAP (decomposed) (metatype=POINTER),Varnodes matched @ level=SUBSET (decomposed) (metatype=POINTER),Varnodes matched @ level=ALIGNED (decomposed) (metatype=POINTER),Varnodes matched @ level=MATCH (decomposed) (metatype=POINTER),"Varnode average compare score [0,1] (decomposed) (metatype=POINTER)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,286,0,0,0,0,286,1.0,1.0,1.0
nohup,106,0,0,0,0,106,1.0,1.0,1.0
pinky,120,0,0,0,0,120,1.0,1.0,1.0
csplit,1424,0,0,0,0,1424,1.0,1.0,1.0
fmt,2126,0,0,0,0,2126,1.0,1.0,1.0
df,424,0,0,0,0,424,1.0,1.0,1.0
join,149,0,0,0,0,149,1.0,1.0,1.0
expr,1407,0,0,0,0,1407,1.0,1.0,1.0
seq,193,0,0,0,0,193,1.0,1.0,1.0
unexpand,104,0,0,0,0,104,1.0,1.0,1.0
tsort,118,0,0,0,0,118,1.0,1.0,1.0
tee,108,0,0,0,0,108,1.0,1.0,1.0
base64,107,0,0,0,0,107,1.0,1.0,1.0
sum,131,0,0,0,0,131,1.0,1.0,1.0
cksum,249,15,0,0,0,234,0.9397590361445785,0.9397590361445783,0.9397590361445783
wc,176,0,0,0,0,176,1.0,1.0,1.0
