,Ground truth varnodes (decomposed) (metatype=POINTER),Varnodes matched @ level=NO_MATCH (decomposed) (metatype=POINTER),Varnodes matched @ level=OVERLAP (decomposed) (metatype=POINTER),Varnodes matched @ level=SUBSET (decomposed) (metatype=POINTER),Varnodes matched @ level=ALIGNED (decomposed) (metatype=POINTER),Varnodes matched @ level=MATCH (decomposed) (metatype=POINTER),"Varnode average compare score [0,1] (decomposed) (metatype=POINTER)"
[,170,12,4,0,61,93,0.8220588235294117
b2sum,140,40,4,0,56,40,0.5928571428571429
base32,107,24,4,0,46,33,0.6401869158878505
base64,107,24,4,0,46,33,0.6401869158878505
basename,104,24,4,0,46,30,0.6298076923076923
basenc,138,40,4,0,53,41,0.592391304347826
cat,115,32,4,0,47,32,0.5934782608695652
chcon,234,42,8,0,121,63,0.6655982905982906
chgrp,230,41,4,0,120,65,0.6782608695652174
chmod,217,36,4,0,117,60,0.6854838709677419
chown,241,42,4,0,125,70,0.6836099585062241
chroot,133,24,4,0,50,55,0.7030075187969925
cksum,249,97,4,0,80,68,0.5180722891566265
comm,127,28,12,0,56,31,0.5984251968503937
cp,403,104,4,0,167,128,0.6308933002481389
csplit,1424,44,266,0,1024,90,0.6492275280898876
cut,122,34,4,0,51,33,0.5922131147540983
date,426,182,5,0,86,153,0.5134976525821596
dd,216,20,4,0,75,117,0.8067129629629629
df,424,71,6,0,140,207,0.7393867924528302
dir,647,267,7,0,204,169,0.500386398763524
dircolors,229,105,4,0,76,44,0.44541484716157204
dirname,94,20,4,0,43,27,0.6409574468085106
du,1658,90,267,0,1127,174,0.6550060313630881
echo,84,12,4,0,42,26,0.6964285714285714
env,138,38,4,0,56,40,0.6014492753623188
expand,101,23,4,0,47,27,0.6262376237623762
expr,1407,28,266,0,1022,91,0.6567164179104478
factor,196,21,18,0,88,69,0.7117346938775511
false,82,12,4,0,42,24,0.6890243902439024
fmt,2126,2031,4,0,55,36,0.03680620884289746
fold,99,24,4,0,43,28,0.6186868686868687
groups,100,18,4,0,45,33,0.6775
head,125,33,4,0,52,36,0.608
hostid,93,18,4,0,43,28,0.6586021505376344
id,134,32,4,0,49,49,0.6473880597014925
join,149,34,4,0,65,46,0.6426174496644296
kill,102,24,4,0,43,31,0.6299019607843137
link,93,18,4,0,43,28,0.6586021505376344
ln,281,54,5,0,122,100,0.6859430604982206
logname,94,18,4,0,44,28,0.6595744680851063
ls,647,267,7,0,204,169,0.500386398763524
md5sum,132,38,4,0,57,33,0.5814393939393939
mkdir,192,26,4,0,67,95,0.76171875
mkfifo,100,22,4,0,49,25,0.6275
mknod,105,22,4,0,51,28,0.6404761904761904
mktemp,117,30,4,0,50,33,0.6111111111111112
mv,379,58,5,0,212,104,0.6972295514511874
nice,95,20,4,0,42,29,0.6473684210526316
nl,1412,59,266,0,995,92,0.640757790368272
nohup,106,18,4,0,52,32,0.6792452830188679
nproc,96,22,4,0,42,28,0.6302083333333334
numfmt,184,68,4,0,58,54,0.5353260869565217
od,226,39,4,0,64,119,0.7433628318584071
paste,103,24,4,0,46,29,0.6262135922330098
pathchk,95,20,4,0,45,26,0.6394736842105263
pinky,120,21,4,0,60,35,0.675
pr,218,68,5,0,89,56,0.5688073394495413
printenv,93,20,4,0,42,27,0.6397849462365591
printf,178,13,5,0,62,98,0.8188202247191011
ptx,1548,71,266,0,1061,150,0.6539082687338501
pwd,105,22,4,0,52,27,0.638095238095238
readlink,192,34,5,0,80,73,0.69921875
realpath,201,38,5,0,85,73,0.6865671641791045
rm,236,44,4,0,125,63,0.6684322033898306
rmdir,180,26,4,0,57,93,0.7597222222222222
runcon,106,28,4,0,49,25,0.5919811320754716
seq,193,24,4,0,61,104,0.7810880829015544
sha1sum,131,38,4,0,56,33,0.5801526717557252
sha224sum,132,38,4,0,57,33,0.5814393939393939
sha256sum,132,38,4,0,57,33,0.5814393939393939
sha384sum,132,38,4,0,57,33,0.5814393939393939
sha512sum,132,38,4,0,57,33,0.5814393939393939
shred,174,39,4,0,82,49,0.6408045977011494
shuf,218,32,5,0,103,78,0.7178899082568807
sleep,99,18,4,0,45,32,0.6742424242424242
sort,492,114,9,0,223,146,0.641260162601626
split,162,46,5,0,66,45,0.5910493827160493
stat,286,34,6,0,103,143,0.7753496503496503
stdbuf,201,27,4,0,65,105,0.7699004975124378
stty,331,165,4,0,63,99,0.44486404833836857
sum,131,24,4,0,57,46,0.6851145038167938
sync,95,22,4,0,45,24,0.618421052631579
tac,1398,38,266,0,1008,86,0.649856938483548
tail,225,46,6,0,91,82,0.6744444444444444
tee,108,28,4,0,49,27,0.5995370370370371
test,157,12,4,0,51,90,0.8232484076433121
timeout,113,28,4,0,45,36,0.6261061946902655
touch,391,165,4,0,79,143,0.5198209718670077
tr,146,37,12,0,61,36,0.5804794520547946
true,82,12,4,0,42,24,0.6890243902439024
truncate,100,26,4,0,44,26,0.6
tsort,118,18,5,0,58,37,0.6927966101694916
tty,93,22,4,0,42,25,0.6182795698924731
uname,118,45,4,0,44,25,0.5
unexpand,104,25,4,0,47,28,0.6177884615384616
uniq,143,45,4,0,54,40,0.5699300699300699
unlink,93,18,4,0,43,28,0.6586021505376344
uptime,126,20,4,0,61,41,0.6964285714285714
users,102,18,4,0,50,30,0.6715686274509803
vdir,647,267,7,0,204,169,0.500386398763524
wc,176,49,4,0,74,49,0.5994318181818182
who,222,51,4,0,66,101,0.6824324324324325
whoami,94,18,4,0,44,28,0.6595744680851063
yes,98,18,4,0,46,30,0.6683673469387755
