,Ground truth varnodes (metatype=ARRAY),Decompiler varnodes matched @ level=NO_MATCH (metatype=ARRAY),Decompiler varnodes matched @ level=OVERLAP (metatype=ARRAY),Decompiler varnodes matched @ level=SUBSET (metatype=ARRAY),Decompiler varnodes matched @ level=ALIGNED (metatype=ARRAY),Decompiler varnodes matched @ level=MATCH (metatype=ARRAY),"Varnode average compare score [0,1] (metatype=ARRAY)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,32,5,7,6,0,14,0.5859375,0.84375,0.4375
nohup,13,1,3,4,0,5,0.5961538461538461,0.9230769230769231,0.38461538461538464
pinky,17,1,7,2,0,7,0.5735294117647058,0.9411764705882353,0.4117647058823529
csplit,35,2,13,5,0,15,0.5928571428571429,0.9428571428571428,0.42857142857142855
fmt,12,1,2,2,0,7,0.7083333333333334,0.9166666666666666,0.5833333333333334
df,25,1,9,3,2,10,0.61,0.96,0.4
join,18,1,3,2,1,11,0.75,0.9444444444444444,0.6111111111111112
expr,33,2,9,7,0,15,0.6287878787878788,0.9393939393939394,0.45454545454545453
seq,15,1,2,3,1,8,0.7166666666666667,0.9333333333333333,0.5333333333333333
unexpand,11,1,2,2,0,6,0.6818181818181818,0.9090909090909091,0.5454545454545454
tsort,13,1,3,4,0,5,0.5961538461538461,0.9230769230769231,0.38461538461538464
tee,14,1,4,2,0,7,0.6428571428571429,0.9285714285714286,0.5
base64,12,1,2,2,0,7,0.7083333333333334,0.9166666666666666,0.5833333333333334
sum,22,2,6,2,1,11,0.6477272727272727,0.9090909090909091,0.5
cksum,125,70,9,13,1,32,0.332,0.44,0.256
wc,16,1,3,4,2,6,0.640625,0.9375,0.375
