,Ground truth varnodes (metatype=ARRAY),Decompiler varnodes matched @ level=NO_MATCH (metatype=ARRAY),Decompiler varnodes matched @ level=OVERLAP (metatype=ARRAY),Decompiler varnodes matched @ level=SUBSET (metatype=ARRAY),Decompiler varnodes matched @ level=ALIGNED (metatype=ARRAY),Decompiler varnodes matched @ level=MATCH (metatype=ARRAY),"Varnode average compare score [0,1] (metatype=ARRAY)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,32,0,0,1,0,31,0.984375,1.0,0.96875
nohup,13,0,0,0,0,13,1.0,1.0,1.0
pinky,17,0,0,1,0,16,0.9705882352941176,1.0,0.9411764705882353
csplit,35,0,0,1,0,34,0.9857142857142858,1.0,0.9714285714285714
fmt,12,0,0,0,0,12,1.0,1.0,1.0
df,25,0,1,0,0,24,0.97,1.0,0.96
join,18,0,0,0,0,18,1.0,1.0,1.0
expr,33,0,0,1,0,32,0.9848484848484848,1.0,0.9696969696969697
seq,15,0,0,0,0,15,1.0,1.0,1.0
unexpand,11,0,0,0,0,11,1.0,1.0,1.0
tsort,13,0,0,0,0,13,1.0,1.0,1.0
tee,14,0,0,0,0,14,1.0,1.0,1.0
base64,12,0,0,0,0,12,1.0,1.0,1.0
sum,22,0,0,0,0,22,1.0,1.0,1.0
cksum,125,59,0,0,0,66,0.528,0.528,0.528
wc,16,0,0,0,0,16,1.0,1.0,1.0
