,Ground truth varnodes (metatype=ARRAY),Decompiler varnodes matched @ level=NO_MATCH (metatype=ARRAY),Decompiler varnodes matched @ level=OVERLAP (metatype=ARRAY),Decompiler varnodes matched @ level=SUBSET (metatype=ARRAY),Decompiler varnodes matched @ level=ALIGNED (metatype=ARRAY),Decompiler varnodes matched @ level=MATCH (metatype=ARRAY),"Varnode average compare score [0,1] (metatype=ARRAY)"
[,15,1,5,3,0,6,0.5833333333333334
b2sum,24,1,4,7,0,12,0.6875
base32,12,2,2,2,0,6,0.625
base64,12,1,2,2,0,7,0.7083333333333334
basename,10,1,2,2,0,5,0.65
basenc,20,5,2,2,0,11,0.625
cat,11,1,2,2,0,6,0.6818181818181818
chcon,18,1,10,2,0,5,0.4722222222222222
chgrp,15,1,7,2,0,5,0.5166666666666667
chmod,19,2,8,4,0,5,0.47368421052631576
chown,16,1,8,2,0,5,0.5
chroot,11,1,3,2,0,5,0.6136363636363636
cksum,125,70,9,13,1,32,0.332
comm,22,1,7,3,1,10,0.6363636363636364
cp,40,3,13,4,3,17,0.6125
csplit,35,2,13,5,0,15,0.5928571428571429
cut,12,1,3,2,1,5,0.625
date,63,4,14,10,0,35,0.6904761904761905
dd,34,4,7,6,2,15,0.625
df,25,1,9,3,2,10,0.61
dir,71,3,27,6,3,32,0.6197183098591549
dircolors,13,2,2,2,0,7,0.6538461538461539
dirname,10,1,2,2,0,5,0.65
du,51,3,16,8,1,23,0.6225490196078431
echo,9,1,2,2,0,4,0.6111111111111112
env,18,2,7,2,1,6,0.5277777777777778
expand,13,1,3,2,0,7,0.6730769230769231
expr,33,2,9,7,0,15,0.6287878787878788
factor,37,1,9,9,0,18,0.668918918918919
false,9,1,2,2,0,4,0.6111111111111112
fmt,12,1,2,2,0,7,0.7083333333333334
fold,12,1,3,2,0,6,0.6458333333333334
groups,11,1,2,2,0,6,0.6818181818181818
head,18,1,9,2,0,6,0.5138888888888888
hostid,12,1,2,4,0,5,0.625
id,14,1,3,2,0,8,0.6964285714285714
join,18,1,3,2,1,11,0.75
kill,14,3,4,2,0,5,0.5
link,12,1,2,4,0,5,0.625
ln,22,2,6,2,3,9,0.625
logname,12,1,2,4,0,5,0.625
ls,71,3,27,6,3,32,0.6197183098591549
md5sum,16,2,6,2,0,6,0.53125
mkdir,19,2,7,3,0,7,0.5394736842105263
mkfifo,12,2,3,2,0,5,0.5625
mknod,12,2,3,2,0,5,0.5625
mktemp,12,2,2,2,0,6,0.625
mv,34,3,13,4,3,11,0.5441176470588235
nice,10,1,2,2,0,5,0.65
nl,36,5,8,5,1,17,0.6180555555555556
nohup,13,1,3,4,0,5,0.5961538461538461
nproc,10,1,2,2,0,5,0.65
numfmt,20,1,3,3,0,13,0.7625
od,40,2,12,5,1,20,0.65625
paste,10,1,2,2,0,5,0.65
pathchk,10,1,2,2,0,5,0.65
pinky,17,1,7,2,0,7,0.5735294117647058
pr,20,2,6,5,0,7,0.55
printenv,10,1,2,2,0,5,0.65
printf,17,1,4,5,0,7,0.6176470588235294
ptx,39,2,9,5,4,19,0.6858974358974359
pwd,10,1,2,2,0,5,0.65
readlink,12,1,3,2,1,5,0.625
realpath,11,1,2,2,1,5,0.6590909090909091
rm,15,1,5,2,0,7,0.6166666666666667
rmdir,14,1,3,3,0,7,0.6607142857142857
runcon,10,1,2,2,0,5,0.65
seq,15,1,2,3,1,8,0.7166666666666667
sha1sum,16,2,3,3,0,8,0.640625
sha224sum,17,2,5,3,0,7,0.5735294117647058
sha256sum,17,2,5,3,0,7,0.5735294117647058
sha384sum,17,3,3,3,0,8,0.6029411764705882
sha512sum,17,3,3,3,0,8,0.6029411764705882
shred,27,2,10,2,1,12,0.6018518518518519
shuf,12,1,3,2,0,6,0.6458333333333334
sleep,12,1,2,4,0,5,0.625
sort,46,6,17,5,1,17,0.532608695652174
split,18,2,7,2,0,7,0.5416666666666666
stat,32,5,7,6,0,14,0.5859375
stdbuf,16,1,3,4,0,8,0.671875
stty,19,1,4,3,0,11,0.7105263157894737
sum,22,2,6,2,1,11,0.6477272727272727
sync,11,1,3,2,0,5,0.6136363636363636
tac,33,2,9,5,0,17,0.6590909090909091
tail,20,1,9,3,1,6,0.525
tee,14,1,4,2,0,7,0.6428571428571429
test,12,0,4,2,0,6,0.6666666666666666
timeout,13,2,4,2,0,5,0.5384615384615384
touch,56,3,13,7,0,33,0.7098214285714286
tr,17,1,3,3,0,10,0.7205882352941176
true,9,1,2,2,0,4,0.6111111111111112
truncate,10,1,2,2,0,5,0.65
tsort,13,1,3,4,0,5,0.5961538461538461
tty,10,1,2,2,0,5,0.65
uname,12,2,2,2,0,6,0.625
unexpand,11,1,2,2,0,6,0.6818181818181818
uniq,15,1,3,2,0,9,0.7166666666666667
unlink,12,1,2,4,0,5,0.625
uptime,18,1,4,7,0,6,0.5833333333333334
users,12,1,2,4,0,5,0.625
vdir,71,3,27,6,3,32,0.6197183098591549
wc,45,30,3,4,2,6,0.22777777777777777
who,25,1,4,3,2,15,0.76
whoami,12,1,2,4,0,5,0.625
yes,12,1,2,4,0,5,0.625
