,Ground truth varnodes (metatype=FLOAT),Decompiler varnodes matched @ level=NO_MATCH (metatype=FLOAT),Decompiler varnodes matched @ level=OVERLAP (metatype=FLOAT),Decompiler varnodes matched @ level=SUBSET (metatype=FLOAT),Decompiler varnodes matched @ level=ALIGNED (metatype=FLOAT),Decompiler varnodes matched @ level=MATCH (metatype=FLOAT),"Varnode average compare score [0,1] (metatype=FLOAT)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,2,0,0,0,0,2,1.0,1.0,1.0
nohup,0,0,0,0,0,0,,,
pinky,0,0,0,0,0,0,,,
csplit,0,0,0,0,0,0,,,
fmt,0,0,0,0,0,0,,,
df,13,0,0,0,0,13,1.0,1.0,1.0
join,0,0,0,0,0,0,,,
expr,0,0,0,0,0,0,,,
seq,10,0,0,0,0,10,1.0,1.0,1.0
unexpand,0,0,0,0,0,0,,,
tsort,0,0,0,0,0,0,,,
tee,0,0,0,0,0,0,,,
base64,0,0,0,0,0,0,,,
sum,3,0,0,0,0,3,1.0,1.0,1.0
cksum,3,0,0,0,0,3,1.0,1.0,1.0
wc,4,0,0,0,0,4,1.0,1.0,1.0
