,Ground truth varnodes (metatype=INT),Decompiler varnodes matched @ level=NO_MATCH (metatype=INT),Decompiler varnodes matched @ level=OVERLAP (metatype=INT),Decompiler varnodes matched @ level=SUBSET (metatype=INT),Decompiler varnodes matched @ level=ALIGNED (metatype=INT),Decompiler varnodes matched @ level=MATCH (metatype=INT),"Varnode average compare score [0,1] (metatype=INT)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,392,0,0,0,0,392,1.0,1.0,1.0
nohup,99,0,0,0,0,99,1.0,1.0,1.0
pinky,96,0,0,0,0,96,1.0,1.0,1.0
csplit,632,0,1,0,6,625,0.9964398734177216,1.0,0.9889240506329114
fmt,112,0,0,0,0,112,1.0,1.0,1.0
df,327,0,0,0,0,327,1.0,1.0,1.0
join,162,0,0,0,0,162,1.0,1.0,1.0
expr,573,0,1,0,6,566,0.9960732984293194,1.0,0.987783595113438
seq,156,0,0,0,0,156,1.0,1.0,1.0
unexpand,101,0,0,0,0,101,1.0,1.0,1.0
tsort,85,0,0,0,0,85,1.0,1.0,1.0
tee,95,0,0,0,0,95,1.0,1.0,1.0
base64,96,0,0,0,0,96,1.0,1.0,1.0
sum,183,0,0,0,0,183,1.0,1.0,1.0
cksum,516,28,0,0,0,488,0.9457364341085271,0.9457364341085271,0.9457364341085271
wc,148,0,0,0,0,148,1.0,1.0,1.0
