,Ground truth varnodes (metatype=INT),Decompiler varnodes matched @ level=NO_MATCH (metatype=INT),Decompiler varnodes matched @ level=OVERLAP (metatype=INT),Decompiler varnodes matched @ level=SUBSET (metatype=INT),Decompiler varnodes matched @ level=ALIGNED (metatype=INT),Decompiler varnodes matched @ level=MATCH (metatype=INT),"Varnode average compare score [0,1] (metatype=INT)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,392,0,1,0,237,154,0.8469387755102041,1.0,0.39285714285714285
nohup,99,0,0,0,71,28,0.8207070707070707,1.0,0.2828282828282828
pinky,96,0,0,0,65,31,0.8307291666666666,1.0,0.3229166666666667
csplit,632,0,1,0,331,300,0.867879746835443,1.0,0.47468354430379744
fmt,112,0,0,0,72,40,0.8392857142857143,1.0,0.35714285714285715
df,327,0,0,0,158,169,0.8792048929663608,1.0,0.5168195718654435
join,162,0,0,0,104,58,0.8395061728395061,1.0,0.35802469135802467
expr,573,0,1,0,292,280,0.8712914485165794,1.0,0.4886561954624782
seq,156,0,0,0,81,75,0.8701923076923077,1.0,0.4807692307692308
unexpand,101,0,0,0,61,40,0.849009900990099,1.0,0.39603960396039606
tsort,85,0,0,0,55,30,0.8382352941176471,1.0,0.35294117647058826
tee,95,0,0,0,62,33,0.8368421052631579,1.0,0.3473684210526316
base64,96,0,0,0,51,45,0.8671875,1.0,0.46875
sum,183,0,0,0,99,84,0.8647540983606558,1.0,0.45901639344262296
cksum,516,30,0,0,329,157,0.7824612403100775,0.9418604651162791,0.30426356589147285
wc,148,0,0,0,90,58,0.847972972972973,1.0,0.3918918918918919
