,Ground truth varnodes (metatype=POINTER),Decompiler varnodes matched @ level=NO_MATCH (metatype=POINTER),Decompiler varnodes matched @ level=OVERLAP (metatype=POINTER),Decompiler varnodes matched @ level=SUBSET (metatype=POINTER),Decompiler varnodes matched @ level=ALIGNED (metatype=POINTER),Decompiler varnodes matched @ level=MATCH (metatype=POINTER),"Varnode average compare score [0,1] (metatype=POINTER)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,150,0,0,0,74,76,0.8766666666666667,1.0,0.5066666666666667
nohup,40,0,0,0,28,12,0.825,1.0,0.3
pinky,57,0,0,0,38,19,0.8333333333333334,1.0,0.3333333333333333
csplit,280,6,0,0,203,71,0.7973214285714286,0.9785714285714285,0.25357142857142856
fmt,52,0,0,0,32,20,0.8461538461538461,1.0,0.38461538461538464
df,244,0,0,0,110,134,0.8872950819672131,1.0,0.5491803278688525
join,66,0,0,0,38,28,0.8560606060606061,1.0,0.42424242424242425
expr,267,6,0,0,198,63,0.7921348314606742,0.9775280898876404,0.23595505617977527
seq,81,0,1,0,39,41,0.8703703703703703,1.0,0.5061728395061729
unexpand,36,0,0,0,25,11,0.8263888888888888,1.0,0.3055555555555556
tsort,52,0,0,0,35,17,0.8317307692307693,1.0,0.3269230769230769
tee,35,0,0,0,25,10,0.8214285714285714,1.0,0.2857142857142857
base64,41,0,0,0,24,17,0.8536585365853658,1.0,0.4146341463414634
sum,60,0,0,0,33,27,0.8625,1.0,0.45
cksum,114,15,0,0,56,43,0.7456140350877193,0.868421052631579,0.37719298245614036
wc,84,0,0,0,52,32,0.8452380952380952,1.0,0.38095238095238093
