,Ground truth varnodes (metatype=POINTER),Decompiler varnodes matched @ level=NO_MATCH (metatype=POINTER),Decompiler varnodes matched @ level=OVERLAP (metatype=POINTER),Decompiler varnodes matched @ level=SUBSET (metatype=POINTER),Decompiler varnodes matched @ level=ALIGNED (metatype=POINTER),Decompiler varnodes matched @ level=MATCH (metatype=POINTER),"Varnode average compare score [0,1] (metatype=POINTER)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,150,0,0,0,0,150,1.0,1.0,1.0
nohup,40,0,0,0,0,40,1.0,1.0,1.0
pinky,57,0,0,0,0,57,1.0,1.0,1.0
csplit,280,0,0,0,0,280,1.0,1.0,1.0
fmt,52,0,0,0,0,52,1.0,1.0,1.0
df,244,0,0,0,0,244,1.0,1.0,1.0
join,66,0,0,0,0,66,1.0,1.0,1.0
expr,267,0,0,0,0,267,1.0,1.0,1.0
seq,81,0,0,0,0,81,1.0,1.0,1.0
unexpand,36,0,0,0,0,36,1.0,1.0,1.0
tsort,52,0,0,0,0,52,1.0,1.0,1.0
tee,35,0,0,0,0,35,1.0,1.0,1.0
base64,41,0,0,0,0,41,1.0,1.0,1.0
sum,60,0,0,0,0,60,1.0,1.0,1.0
cksum,114,15,0,0,0,99,0.868421052631579,0.868421052631579,0.868421052631579
wc,84,0,0,0,0,84,1.0,1.0,1.0
