,Ground truth varnodes (metatype=STRUCT),Decompiler varnodes matched @ level=NO_MATCH (metatype=STRUCT),Decompiler varnodes matched @ level=OVERLAP (metatype=STRUCT),Decompiler varnodes matched @ level=SUBSET (metatype=STRUCT),Decompiler varnodes matched @ level=ALIGNED (metatype=STRUCT),Decompiler varnodes matched @ level=MATCH (metatype=STRUCT),"Varnode average compare score [0,1] (metatype=STRUCT)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,32,0,0,0,0,32,1.0,1.0,1.0
nohup,10,0,0,0,0,10,1.0,1.0,1.0
pinky,12,0,0,0,0,12,1.0,1.0,1.0
csplit,56,0,0,0,0,56,1.0,1.0,1.0
fmt,10,0,0,0,0,10,1.0,1.0,1.0
df,37,0,1,0,0,36,0.9797297297297296,1.0,0.972972972972973
join,14,0,0,0,0,14,1.0,1.0,1.0
expr,59,0,0,0,0,59,1.0,1.0,1.0
seq,17,0,0,0,0,17,1.0,1.0,1.0
unexpand,10,0,0,0,0,10,1.0,1.0,1.0
tsort,12,0,0,0,0,12,1.0,1.0,1.0
tee,10,0,0,0,0,10,1.0,1.0,1.0
base64,11,0,0,0,0,11,1.0,1.0,1.0
sum,10,0,0,0,0,10,1.0,1.0,1.0
cksum,22,0,0,0,0,22,1.0,1.0,1.0
wc,16,0,0,0,0,16,1.0,1.0,1.0
