,Ground truth varnodes (metatype=UNION),Decompiler varnodes matched @ level=NO_MATCH (metatype=UNION),Decompiler varnodes matched @ level=OVERLAP (metatype=UNION),Decompiler varnodes matched @ level=SUBSET (metatype=UNION),Decompiler varnodes matched @ level=ALIGNED (metatype=UNION),Decompiler varnodes matched @ level=MATCH (metatype=UNION),"Varnode average compare score [0,1] (metatype=UNION)",Varnodes fraction partially recovered,Varnodes fraction exactly recovered
stat,0,0,0,0,0,0,,,
nohup,0,0,0,0,0,0,,,
pinky,0,0,0,0,0,0,,,
csplit,0,0,0,0,0,0,,,
fmt,0,0,0,0,0,0,,,
df,0,0,0,0,0,0,,,
join,0,0,0,0,0,0,,,
expr,0,0,0,0,0,0,,,
seq,0,0,0,0,0,0,,,
unexpand,0,0,0,0,0,0,,,
tsort,0,0,0,0,0,0,,,
tee,0,0,0,0,0,0,,,
base64,0,0,0,0,0,0,,,
sum,0,0,0,0,0,0,,,
cksum,0,0,0,0,0,0,,,
wc,0,0,0,0,0,0,,,
